Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
00333;POLIG;035;02100;TARAZONA DE LA MANCHA;Albacete
00197;POLIG;036;02100;TARAZONA DE LA MANCHA;Albacete
00192;POLIG;042;02100;TARAZONA DE LA MANCHA;Albacete
00196;POLIG;044;02100;TARAZONA DE LA MANCHA;Albacete
00189;POLIG;051;02100;TARAZONA DE LA MANCHA;Albacete
00335;POLIG;052;02100;TARAZONA DE LA MANCHA;Albacete
03867;AVDA;1 DE MAYO;02006;ALBACETE;Albacete
00304;POLIG;12  PARAJE HONDO TEJAR;02520;CHINCHILLA DE MONTE-ARAGO;Albacete
00311;POLIG;12 PARAJE COLMENAR DEL CA;02520;CHINCHILLA DE MONTE-ARAGO;Albacete
00313;POLIG;13 PARAJE EL TEJAR;02520;CHINCHILLA DE MONTE-ARAGO;Albacete
00312;POLIG;13 PARAJE SANTA FE;02520;CHINCHILLA DE MONTE-ARAGO;Albacete
00345;POLIG;18 PARAJE ALTO DE LOS MOL;02520;CHINCHILLA DE MONTE-ARAGO;Albacete
00305;PRAJE;18 PARAJE LA ROÑOSA;02520;CHINCHILLA DE MONTE-ARAGO;Albacete
00307;POLIG;18 PARAJE POZO MURCIA;02520;CHINCHILLA DE MONTE-ARAGO;Albacete
00314;POLIG;18 PARAJE SANTA ELENA;02520;CHINCHILLA DE MONTE-ARAGO;Albacete
00033;CALLE;23 DE ENERO;02653;ALBATANA;Albacete
00478;CALLE;3 DE ABRIL;02247;CENIZATE;Albacete
90154;AVDA;4. (POLIGONO CAMPOLLANO);02099;BACARIZA;Albacete
00334;POLIG;43;02100;TARAZONA DE LA MANCHA;Albacete
00194;POLIG;502;02100;TARAZONA DE LA MANCHA;Albacete
00188;POLIG;503;02100;TARAZONA DE LA MANCHA;Albacete
00195;POLIG;65;02100;TARAZONA DE LA MANCHA;Albacete
00001;PLAZA;8 DE MAYO;02510;POZO CAÑADA;Albacete
00191;POLIG;83;02100;TARAZONA DE LA MANCHA;Albacete
00241;CALLE;A. GIMENEZ BARTLETT;02640;ALMANSA;Albacete
00081;CALLE;ABAD;02230;MADRIGUERAS;Albacete
00034;CALLE;ABADIA;02150;VALDEGANGA;Albacete
00001;CALLE;ABADIA (LA);02660;CAUDETE;Albacete
00001;CALLE;ABAJO;02161;YUNQUERA (LA);Albacete
00001;CALLE;ABAJO;02161;YUNQUERA (LA);Albacete
00002;RBLA;ABAJO;02099;POZO CAÑADA;Albacete
00001;CALLE;ABANICO;02006;ALBACETE;Albacete
00001;CALLE;ABDON ATIENZA;02100;TARAZONA DE LA MANCHA;Albacete
00001;CALLE;ABEDUL;02400;HELLIN;Albacete
03817;PQUE;ABELARDO SANCHEZ;02003;ALBACETE;Albacete
00099;CALLE;ABELLAN;02435;SOCOVOS;Albacete
00001;CALLE;ABELLAN;02500;TOBARRA;Albacete
00074;CALLE;ABENGIBRE;02200;CASAS-IBAÑEZ;Albacete
00058;CTRA;ABENGIBRE;02249;BORMATE;Albacete
00122;.;ABENUJ;02500;TOBARRA;Albacete
00002;CALLE;ABETO;02008;ALBACETE;Albacete
00002;CALLE;ABETO;02008;ALBACETE;Albacete
00007;CALLE;ABOGADO LOZANO;02154;VILLAVALIENTE;Albacete
00001;CALLE;ABREVADERO;02154;POZO-LORENTE;Albacete
00001;CALLE;ABREVADOR;02215;VILLATOYA;Albacete
00003;CALLE;ABU ZACARIAS;02004;ALBACETE;Albacete
00600;CMNO;ABUCHAO;02611;LAGUNAS DE RUIDERA;Albacete
00003;CALLE;ACACIA;02400;HELLIN;Albacete
00005;PSAJE;ACACIAS;02003;ALBACETE;Albacete
00194;CALLE;ACACIAS;02513;SANTIAGO DE MORA;Albacete
00123;.;ACACIAS (LAS);02500;TOBARRA;Albacete
00020;CALLE;ACACIO MORENO;02600;VILLARROBLEDO;Albacete
00006;CALLE;ACANTILADO;02006;ALBACETE;Albacete
00149;ALDEA;ACEAS;02488;SEGE;Albacete
