Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
05444;PL;;03203;ELCHE/ELX;Alicante
00050;CALLE;1 DE MAIG;03759;BENIDOLEIG;Alicante
00009;CALLE;1 DE MAYO;03178;BENIJOFAR;Alicante
00153;CALLE;1 DE MAYO;03688;FONDÓ DE LES NEUS (EL);Alicante
03865;CALLE;1 DE MAYO;03315;MURADA (LA);Alicante
03652;CALLE;1-(BARBARROJA);03689;BARBARROJA;Alicante
03540;CALLE;1-(HURCHILLO);03313;HURCHILLO;Alicante
03653;CALLE;1-(RAIGUERO DE BONANZA);03311;BONANZA (RAIGUERO DE);Alicante
01822;C;11 DE MAIG;03700;DENIA;Alicante
03863;CALLE;12 DE OCTUBRE;03315;MURADA (LA);Alicante
00006;CALLE;19 ABRIL 1.979,CONST.AYTO;03349;SAN ISIDRO;Alicante
04499;CALLE;19 DE MARZO;03315;MURADA (LA);Alicante
00054;CALLE;22 DE MARZO DE 1993;03349;SAN ISIDRO;Alicante
00442;CALLE;24 AGOSTO-SAN BARTOLOME;03314;SAN BARTOLOME;Alicante
00204;C;25 D'ABRIL;03820;COCENTAINA;Alicante
00255;AVGDA;25 D'ABRIL;03770;VERGER (EL);Alicante
01300;C;25 D'ABRIL DE 1707;03560;CAMPELLO (EL);Alicante
04455;CALLE;25 DE DICIEMBRE;03315;MURADA (LA);Alicante
01902;AVDA;3 DE ABRIL DE 1979;03690;SAN VICENTE DEL RASPEIG/S;Alicante
00551;CALLE;3 DE MAYO;03360;CEMENTERIO (EL);Alicante
00108;CALLE;30 DE JULIO;03187;MONTESINOS (LOS);Alicante
03514;CALLE;4 DE NOVIEMBRE;03314;SAN BARTOLOME;Alicante
00180;CALLE;6 DE DICIEMBRE;03688;FONDÓ DE LES NEUS (EL);Alicante
03861;CALLE;7 DE JULIO;03315;MURADA (LA);Alicante
03864;CALLE;8 DE DICIEMBRE;03315;MURADA (LA);Alicante
00138;CALLE;8 DE MARZO;03360;CALLOSA DE SEGURA;Alicante
00295;AVDA;8 DE MARZO;03150;DOLORES;Alicante
03672;CALLE;8 DE MARZO;03300;ORIHUELA;Alicante
00787;CALLE;8 DE MARZO;03550;SANT JOAN D'ALACANT;Alicante
00218;C;8 DE MARÇ;03820;ALCUDIA;Alicante
00025;C;9 D'OCTUBRE;03590;ALTEA;Alicante
00057;CALLE;9 D'OCTUBRE;03759;BENIDOLEIG;Alicante
00205;C;9 D'OCTUBRE;03820;COCENTAINA;Alicante
01585;C;9 D'OCTUBRE;03440;IBI;Alicante
00012;C;9 D'OCTUBRE;03750;PEDREGUER;Alicante
00105;PLAÇA;9 D'OCTUBRE (DEL);03778;BENIARBEIG;Alicante
01224;C;9 D'OCTUBRE (DEL);03700;DENIA;Alicante
00423;CALLE;9 DE OCTUBRE;03340;ALBATERA;Alicante
00038;CALLE;9 DE OCTUBRE;03160;ALMORADI;Alicante
00190;CALLE;9 DE OCTUBRE;03688;FONDÓ DE LES NEUS (EL);Alicante
10850;C;A FERIR;03590;ALTEA;Alicante
00050;C;A LLARGUES;03590;ALTEA;Alicante
00032;SECT;A-COMETA;03729;SENIJA;Alicante
07010;CALLE;A-URBANOVA;03008;ALICANTE/ALACANT;Alicante
00428;CARRE;A. VIVALDI;03581;ALFAS DEL PI (L');Alicante
00008;CALLE;A.C.D. VILLAFRANQUEZA;03112;ALICANTE/ALACANT;Alicante
01020;CALLE;A.RGEZ.EGIO MACANDO;03300;ORIHUELA;Alicante
00010;CALLE;AAIUN;03010;ALICANTE/ALACANT;Alicante
00311;CALLE;AARÓN VIDAL LÓPEZ;03370;REDOVAN;Alicante
00020;CALLE;AB-EL-HAMET;03003;ALICANTE/ALACANT;Alicante
00010;CALLE;ABAD DE TORMES;03502;BENIDORM;Alicante
00030;CALLE;ABAD FERNANDEZ HELGUERA;03014;ALICANTE/ALACANT;Alicante
00040;CALLE;ABAD NAJERA;03002;ALICANTE/ALACANT;Alicante
00050;PLAZA;ABAD PENALVA;03002;ALICANTE/ALACANT;Alicante
00001;CALLE;ABAD PENALVA;03300;ORIHUELA;Alicante
00001;CALLE;ABADIA;03820;ALCUDIA;Alicante
00001;CALLE;ABADIA;03820;ALCUDIA;Alicante
00020;C/;ABADIA;03203;ELCHE/ELX;Alicante
00001;C;ABADIA;03820;ALCUDIA;Alicante
00078;CALLE;ABADIA;03828;MARGALIDA;Alicante
00009;CALLE;ABADIA;03108;TORRE DE LES MAÇANES, LA;Alicante
00001;C;ABADIA;03820;ALCUDIA;Alicante
00509;CMNO;ABADIA (DE LOS);03158;CATRAL;Alicante
00027;C;ABADIA (L');03810;BENILLOBA;Alicante
00010;C;ABADIA (LA);03827;ALMUDAINA;Alicante
00023;C;ABADIA (LA);03790;ORBA;Alicante
00042;C;ABAIX;03569;AIGÜES;Alicante
00059;CMNO;ABAJO;03699;ALCORAYA (LA);Alicante
00004;CALLE;ABAJO;03816;BENIFALLIM;Alicante
00256;CALLE;ABAJO;03360;CALLOSA DE SEGURA;Alicante
00001;CALLE;ABAJO;03517;CONFRIDES;Alicante
02085;CALLE;ABAJO;03316;PARROQUIA DE LA MATANZA;Alicante
00068;CALLE;ABAJO;03370;REDOVAN;Alicante
00014;CALLE;ABAJO-ABDET;03517;ABDET;Alicante
00003;CALLE;ABANDERADA (LA);03610;PETRER;Alicante
00101;CTRA;ABANILLA;03316;BENFERRI;Alicante
00106;CMNO;ABANILLA;03316;BENFERRI;Alicante
01426;AVDA;ABANTO -URB SAN LUIS;03184;TORREVIEJA;Alicante
00010;PLAZA;ABASTOS (DE);03140;GUARDAMAR DEL SEGURA;Alicante
04225;CALLE;ABDELACIES;03189;ORIHUELA COSTA;Alicante
00010;C;ABDET;03510;CALLOSA D'EN SARRIA;Alicante
00011;PL;ABDET;03510;CALLOSA D'EN SARRIA;Alicante
05476;C/;ABDET;03208;ELCHE/ELX;Alicante
00409;C;ABDET (L');03530;NUCIA (LA);Alicante
00070;CALLE;ABEDUL;03114;BACAROT (EL);Alicante
00302;CALLE;ABEDUL;03170;ROJALES;Alicante
00004;CALLE;ABEDUL;03690;SAN VICENTE DEL RASPEIG/S;Alicante
03755;CALLE;ABEDUL;03188;TORREVIEJA;Alicante
00233;CALLE;ABEDUL;03191;PILAR DE LA HORADADA;Alicante
00071;CALLE;ABELIA;03699;CAÑADA DEL FENOLLAR;Alicante
00122;C;ABELLEROL;03530;NUCIA (LA);Alicante
04239;CALLE;ABEN-HUMEYA;03189;ORIHUELA COSTA;Alicante
00072;CALLE;ABETO;03699;MORALET;Alicante
00783;CALLE;ABETO;03730;JÁVEA/XÀBIA;Alicante
00006;CALLE;ABETO;03690;SAN VICENTE DEL RASPEIG/S;Alicante
00284;CALLE;ABETO;03724;TEULADA;Alicante
00234;CALLE;ABETO;03191;PILAR DE LA HORADADA;Alicante
04161;CALLE;ABETO-LOS PINOS;03189;ORIHUELA COSTA;Alicante
00001;CALLE;ABETOS (LOS);03600;ELDA;Alicante
00601;SECT;ABETOS (LOS);03750;PEDREGUER;Alicante
00725;CAMI;ABIAR ALTA;03725;TEULADA;Alicante
00741;CAMI;ABIAR BAIXA;03725;TEULADA;Alicante
00671;CALLE;ABOGADO LAZARO LOPEZ;03660;NOVELDA;Alicante
00080;CALLE;ABOGADO PEREZ MIRETE;03011;ALICANTE/ALACANT;Alicante
01698;C/;ABOGADOS DE ATOCHA;03203;ELCHE/ELX;Alicante
01042;CALLE;ABU ZEYAN;03700;DENIA;Alicante
01486;C;ABU-S-SALT;03700;DENIA;Alicante
00770;CALLE;ABUBILLA;03724;TEULADA;Alicante
07160;C/;ACACIA;03802;ALCOI/ALCOY;Alicante
00082;CALLE;ACACIA;03699;MORALET;Alicante
01493;C;ACACIA;03700;DENIA;Alicante
00784;CALLE;ACACIA;03730;JÁVEA/XÀBIA;Alicante
00002;CALLE;ACACIA;03300;ORIHUELA;Alicante
00298;CALLE;ACACIA;03724;TEULADA;Alicante
00097;CALLE;ACACIA;03191;PILAR DE LA HORADADA;Alicante
02490;C;ACACIA (DE L');03110;MUTXAMEL;Alicante
02101;CARRE;ACACIA-PATMORE;03720;FANADIX;Alicante
00020;PASEO;ACACIAS;03502;BENIDORM;Alicante
02250;C;ACACIAS;03339;REALENGO (EL);Alicante
00031;C/;ACACIAS;03320;TORRELLANO;Alicante
00002;AVDA;ACACIAS;03600;ELDA;Alicante
00160;PLAZA;ACACIAS;03430;ONIL;Alicante
10000;CALLE;ACACIAS;03780;PEGO;Alicante
00008;CALLE;ACACIAS;03690;SAN VICENTE DEL RASPEIG/S;Alicante
03031;CALLE;ACACIAS;03184;TORREVIEJA;Alicante
00356;AVDA;ACACIAS (DE LAS);03179;ALMORADI;Alicante
00133;CALLE;ACACIAS (LAS);03668;SOLANA (LA);Alicante
02785;VREDA;ACACIAS (LAS);03312;CAMINO DE BENIEL;Alicante
00263;AV;ACACIES;03530;NUCIA (LA);Alicante
00001;CLLON;ACADEMIA (LA);03660;NOVELDA;Alicante
00264;CALLE;ACAMAR;03737;JÁVEA/XÀBIA;Alicante
02697;CALLE;ACANTILADO -ROCIO DEL MAR;03185;TORREVIEJA;Alicante
00010;CALLE;ACARRETOS;03181;TORREVIEJA;Alicante
03034;CALLE;ACEBO;03184;TORREVIEJA;Alicante
00235;CALLE;ACEBO;03191;PILAR DE LA HORADADA;Alicante
00087;CMNO;ACEBUCHE;03699;ALCORAYA (LA);Alicante
00110;CALLE;ACEQUIA;03380;BIGASTRO;Alicante
00003;CALLE;ACEQUIA;03300;ORIHUELA;Alicante
00597;TRVA;ACEQUIA;03300;ORIHUELA;Alicante
00001;CALLE;ACEQUIA (LA);03350;COX;Alicante
02947;CALLE;ACEQUIA (LA);03313;HURCHILLO;Alicante
03345;PRAJE;ACEQUIA ALQUIBLA;03312;DESAMPARADOS;Alicante
03852;PRAJE;ACEQUIA ALQUIBLA-LAS NORI;03312;NORIAS (LAS);Alicante
00090;CALLE;ACEQUIA DEL RIO;03177;PALACIOS (LOS);Alicante
00855;ACEQ;ACEQUIA LAS PARRAS;03160;ALMORADI;Alicante
00002;CALLE;ACEQUIA NUEVA;03177;PALACIOS (LOS);Alicante
03457;CALLE;ACEQUIAS (LAS);03313;HURCHILLO;Alicante
01997;PLAYA;ACEQUION (DEL);03185;TORREVIEJA;Alicante
00002;CALLE;ACERA ANCHA;03769;SANET Y NEGRALS;Alicante
00005;CALLE;ACTOR ANTONIO PRIETO;03680;ASPE;Alicante
00100;CALLE;ACTOR ARTURO LLEDO;03008;ALICANTE/ALACANT;Alicante
00005;CALLE;ACTOR JESUS TORDESILLAS;03610;PETRER;Alicante
04010;CALLE;ACTOR LUIS PRENDES;03502;BENIDORM;Alicante
02470;C;ACTOR PACO HERNANDEZ;03110;MUTXAMEL;Alicante
01400;CALLE;ACTOR TONY LEBLANC;03503;BENIDORM;Alicante
00187;CARRE;ACUARI;03580;ALFAS DEL PI (L');Alicante
00106;PSAJE;ACUARIO;03006;ALICANTE/ALACANT;Alicante
09940;CALLE;ACUARIO;03680;ASPE;Alicante
00265;CALLE;ACUARIO;03737;JÁVEA/XÀBIA;Alicante
00004;CALLE;ACUARIO;03314;SAN BARTOLOME;Alicante
03821;CALLE;ACUARIO-LA FLORIDA;03189;ORIHUELA COSTA;Alicante
00362;CALLE;ADELA BENEYTO;03340;ALBATERA;Alicante
00109;CMNO;ADELFA;03699;CAÑADA DEL FENOLLAR;Alicante
00785;CALLE;ADELFA;03730;JÁVEA/XÀBIA;Alicante
00855;CALLE;ADELFA (PARTICULAR);03300;ORIHUELA;Alicante
00035;C/;ADELFAS;03320;TORRELLANO;Alicante
00253;CALLE;ADELFAS;03170;ROJALES;Alicante
00525;CALLE;ADELFAS (LAS);03130;SANTA POLA;Alicante
00007;PASEO;ADELFAS (LAS);03690;SAN VICENTE DEL RASPEIG/S;Alicante
02955;AVDA;ADELFAS (LAS)-CAMPOAMOR;03189;ORIHUELA COSTA;Alicante
01789;CALLE;ADELFAS -URB MOLINO BLANC;03188;TORREVIEJA;Alicante
14000;PTDA;ADELFAS, LAS;03710;CALP;Alicante
00797;CALLE;ADELINO CALATAYUD PUJALTE;03660;NOVELDA;Alicante
00771;CALLE;ADEN;03724;TEULADA;Alicante
00012;GRUP;ADMIRRA;03409;CAÑADA;Alicante
00030;C;ADOLF SALVA;03510;CALLOSA D'EN SARRIA;Alicante
00005;CALLE;ADOLFO CLAVARANA;03300;ORIHUELA;Alicante
05367;C/;ADOLFO MARSILLACH;03202;ELCHE/ELX;Alicante
04382;CALLE;ADOLFO SUAREZ;03311;BONANZA (RAIGUERO DE);Alicante
00281;CALLE;ADOLFO SUÁREZ;03370;REDOVAN;Alicante
00984;CALLE;ADOR;03730;JÁVEA/XÀBIA;Alicante
01630;C;ADRA;03560;COVETA FUMA;Alicante
01425;AVDA;ADRADAS -URB SAN LUIS;03184;TORREVIEJA;Alicante
01864;C;ADRASTEA;03700;DENIA;Alicante
00001;CALLE;ADRIAN CARRILLO;03670;MONFORTE DEL CID;Alicante
00140;CALLE;ADRIAN PASTOR;03008;ALICANTE/ALACANT;Alicante
00001;CALLE;ADRIAN VIUDES;03160;ALMORADI;Alicante
03736;CALLE;ADRIANO;03188;MATA (LA);Alicante
04326;CALLE;ADRIATICO;03189;ORIHUELA COSTA;Alicante
00150;CALLE;ADSUBIA;03008;ALICANTE/ALACANT;Alicante
00020;C;ADSUBIA;03510;CALLOSA D'EN SARRIA;Alicante
02000;C;ADSUBIA;03560;PLAYA MUCHAVISTA;Alicante
01400;CAMI;ADVOCAT (L');03690;SAN VICENTE DEL RASPEIG/S;Alicante
00011;C;ADVOCAT SENABRE;03830;MURO DE ALCOY;Alicante
00001;CALLE;AERODROMO;03170;ROJALES;Alicante
00009;CALLE;AEROPLANO;03690;SAN VICENTE DEL RASPEIG/S;Alicante
04695;AVDA;AEROPUERTO;03320;TORRELLANO;Alicante
00284;AVDA;AEROPUERTO;03170;ROJALES;Alicante
00264;CARRE;AFRICA;03580;ALFAS DEL PI (L');Alicante
01795;C;AFRICA;03560;COVETA FUMA;Alicante
00679;CALLE;AFRICA;03170;ROJALES;Alicante
00476;AVDA;AFRICA;03130;SANTA POLA;Alicante
00939;CALLE;AFRO;03730;JÁVEA/XÀBIA;Alicante
00010;CALLE;AFRODISIO BARBERO;03610;PETRER;Alicante
00152;CALLE;AFRODITA;03016;ALICANTE/ALACANT;Alicante
01731;C;AFRODITA;03700;PEDRERA (LA);Alicante
02854;CALLE;AFRODITA -URB TORREBLANCA;03183;TORREVIEJA;Alicante
00017;CALLE;AFUERA;03769;BENIMELI;Alicante
00154;CALLE;AGAMENON;03113;FONT-CALENT;Alicante
02858;CALLE;AGAMENON -URB TORREBLANCA;03183;TORREVIEJA;Alicante
00252;CARRE;AGATA;03580;ALFAS DEL PI (L');Alicante
00155;CALLE;AGATA;03014;ALICANTE/ALACANT;Alicante
00610;CALLE;AGATA;03170;ROJALES;Alicante
01636;CALLE;AGATA -URB TORRETA I;03184;TORREVIEJA;Alicante
00087;PLCET;AGERMANATS;03828;PLANES;Alicante
00268;CALLE;AGOST;03698;AGOST;Alicante
00160;CALLE;AGOST;03012;ALICANTE/ALACANT;Alicante
00161;CTRA;AGOST;03699;CAÑADA DEL FENOLLAR;Alicante
00209;CALLE;AGOST;03688;REBALSO (EL);Alicante
00002;CALLE;AGOST;03670;MONFORTE DEL CID;Alicante
05010;CARRE;AGOST;03110;MUTXAMEL;Alicante
00002;CALLE;AGOST;03670;MONFORTE DEL CID;Alicante
00015;CALLE;AGOST;03610;PETRER;Alicante
01056;CALLE;AGOST;03650;PINOS (EL)/PINOSO;Alicante
00396;CALLE;AGOST;03193;SAN MIGUEL DE SALINAS;Alicante
00010;CALLE;AGOST;03690;SAN VICENTE DEL RASPEIG/S;Alicante
00020;CTRA;AGOST;03690;SAN VICENTE DEL RASPEIG/S;Alicante
00162;CMNO;AGOST A SAN VICENTE;03699;CAÑADA DEL FENOLLAR;Alicante
01001;CARRE;AGRELLA-FANADIX;03720;FANADIX;Alicante
00020;C/;AGRES;03802;ALCOI/ALCOY;Alicante
00170;CALLE;AGRES;03015;ALICANTE/ALACANT;Alicante
00659;CALLE;AGRES;03130;SANTA POLA;Alicante
00156;CTRA;AGRES (DE);03830;MURO DE ALCOY;Alicante
01665;C;AGRET;03700;DENIA;Alicante
00100;C;AGRET (L');03599;ALTEA;Alicante
14857;CALLE;AGRICULTORES;03191;PILAR DE LA HORADADA;Alicante
01334;C;AGRO;03700;DENIA;Alicante
00119;C;AGRO;03530;NUCIA (LA);Alicante
00409;CALLE;AGRO BLAU;03730;JÁVEA/XÀBIA;Alicante
00015;CALLE;AGRONOMO FRANCISCO MIRA;03680;ASPE;Alicante
04200;CALLE;AGROPECUARIA;03312;DESAMPARADOS;Alicante
02860;PL;AGRUP.MUSICAL GUARDAMAR;03140;GUARDAMAR DEL SEGURA;Alicante
00073;CALLE;AGRUPACION CORAL RITMO Y;03186;TORREVIEJA;Alicante
04060;CALLE;AGUA;03189;ORIHUELA COSTA;Alicante
00001;CALLE;AGUA;03349;SAN ISIDRO;Alicante
00176;PRAJE;AGUA AMARGA;03008;ALICANTE/ALACANT;Alicante
00489;CALLE;AGUA AMARGA;03008;ALICANTE/ALACANT;Alicante
00612;CALLE;AGUA MARINA;03170;ROJALES;Alicante
00001;.;AGUADULCE;03150;DOLORES;Alicante
01398;AVDA;AGUALEJAS (LAS);03600;ELDA;Alicante
00005;CMNO;AGUAMARINA;03113;FONT-CALENT;Alicante
00001;CALLE;AGUAOR;03400;VILLENA;Alicante
00180;CALLE;AGUAS DE SAX;03009;ALICANTE/ALACANT;Alicante
02581;URB;AGUAS NUEVAS -FASE I;03183;TORREVIEJA;Alicante
02582;URB;AGUAS NUEVAS -FASE II;03183;TORREVIEJA;Alicante
03801;URB;AGUAS NUEVAS I-CAMPOSOL;03183;TORREVIEJA;Alicante
03802;URB;AGUAS NUEVAS I-CIBELES I;03183;TORREVIEJA;Alicante
03803;URB;AGUAS NUEVAS I-CIBELES II;03183;TORREVIEJA;Alicante
03777;URB;AGUAS NUEVAS II-ABACAL;03183;TORREVIEJA;Alicante
03789;URB;AGUAS NUEVAS II-ANEA;03183;TORREVIEJA;Alicante
03793;URB;AGUAS NUEVAS II-BULEVAR;03183;TORREVIEJA;Alicante
03662;URB;AGUAS NUEVAS II-EL MOLINO;03183;TORREVIEJA;Alicante
03788;URB;AGUAS NUEVAS II-RETAMA;03183;TORREVIEJA;Alicante
03781;URB;AGUAS NUEVAS II-TURYS I;03183;TORREVIEJA;Alicante
03782;URB;AGUAS NUEVAS II-TURYS II;03183;TORREVIEJA;Alicante
03783;URB;AGUAS NUEVAS II-TURYS III;03183;TORREVIEJA;Alicante
00190;CALLE;AGUAS VIVAS;03009;ALICANTE/ALACANT;Alicante
00200;CALLE;AGUILA;03006;ALICANTE/ALACANT;Alicante
00003;CALLE;AGUILA;03600;ELDA;Alicante
00001;CALLE;AGUILA;03630;SAX;Alicante
00920;CALLE;AGUILA (EL);03680;ASPE;Alicante
03319;CALLE;AGUILA (EL);03311;APARECIDA (LA);Alicante
02460;C;AGUILA (L');03110;MUTXAMEL;Alicante
01530;CARRE;AGUILA (L');03690;BOQUERES;Alicante
00040;C;AGUILA (L');03791;BENIMAURELL;Alicante
04156;CALLE;AGUILA -URB LAGO SAL;03184;TORREVIEJA;Alicante
00290;CALLE;AGUILA AUSTRALIANA;03193;SAN MIGUEL DE SALINAS;Alicante
00291;CALLE;AGUILA BARBUDA;03193;SAN MIGUEL DE SALINAS;Alicante
00293;CALLE;AGUILA CALZADA;03193;SAN MIGUEL DE SALINAS;Alicante
00294;CALLE;AGUILA CAUDAL;03193;SAN MIGUEL DE SALINAS;Alicante
00295;CALLE;AGUILA CULEBRERA;03193;SAN MIGUEL DE SALINAS;Alicante
00296;CALLE;AGUILA DE MOÑO;03193;SAN MIGUEL DE SALINAS;Alicante
00297;CALLE;AGUILA IMPERIAL;03193;SAN MIGUEL DE SALINAS;Alicante
00298;CALLE;AGUILA PERDICERA;03193;SAN MIGUEL DE SALINAS;Alicante
00299;CALLE;AGUILA PESCADORA;03193;SAN MIGUEL DE SALINAS;Alicante
00300;CALLE;AGUILA RATONERA;03193;SAN MIGUEL DE SALINAS;Alicante
00301;CALLE;AGUILA REAL;03193;SAN MIGUEL DE SALINAS;Alicante
00302;CALLE;AGUILA VOCINGLERA;03193;SAN MIGUEL DE SALINAS;Alicante
00303;CALLE;AGUILA VOLATINERA;03193;SAN MIGUEL DE SALINAS;Alicante
00380;CALLE;AGUILA-BARRIO LOS SEGUNDA;03190;PILAR DE LA HORADADA;Alicante
02001;CARRE;AGUILA-MONTEMAR;03720;FANADIX;Alicante
00143;CALLE;AGUILAS (DE LAS);03679;MONFORTE DEL CID;Alicante
00147;PLAZA;AGUILAS (DE LAS);03183;TORREVIEJA;Alicante
01849;CALLE;AGUILAS (LAS);03780;DENIA;Alicante
00389;CALLE;AGUILAS (LAS);03730;JÁVEA/XÀBIA;Alicante
00210;AVDA;AGUILERA;03007;ALICANTE/ALACANT;Alicante
00487;CALLE;AGUIRRE (LO);03193;SAN MIGUEL DE SALINAS;Alicante
00232;CARRE;AGULLA-BALADRAR;03720;FANADIX;Alicante
00125;C;AGULLO;03590;ALTEA;Alicante
00015;CALLE;AGUSTIN BERTOMEU;03369;RAFAL;Alicante
00004;CALLE;AGUSTIN CAVERO;03600;ELDA;Alicante
00215;CALLE;AGUSTIN GOSALVEZ ORTS;03010;ALICANTE/ALACANT;Alicante
00034;CALLE;AGUSTIN MARTINEZ;03187;MONTESINOS (LOS);Alicante
00124;CALLE;AGUSTIN PARRES VILLAESCUS;03369;RAFAL;Alicante
00220;CALLE;AGUSTIN SANTONJA;03005;ALICANTE/ALACANT;Alicante
00020;CALLE;AGUSTINA DE ARAGON;03680;ASPE;Alicante
00006;CALLE;AGUSTINA DE ARAGON;03600;ELDA;Alicante
00003;CALLE;AGUSTINA DE ARAGON;03660;NOVELDA;Alicante
00001;CALLE;AGUSTINA DE ARAGON;03650;PINOS (EL)/PINOSO;Alicante
00036;CALLE;AGUSTINA DE ARAGON;03190;PILAR DE LA HORADADA;Alicante
