Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
00001;PLAZA;1 DE MAYO;04008;ALMERIA;Almeria
00206;CALLE;1 DE MAYO;04750;DALIAS;Almeria
00428;CALLE;100 RIFLES;04200;TABERNAS;Almeria
00209;CALLE;11 DE AGOSTO;04750;DALIAS;Almeria
00660;AVDA;11 DE MARZO;04648;SAN JUAN DE TERREROS;Almeria
00636;CALLE;13 DE MAYO;04647;CONVOY (EL);Almeria
02713;PLAZA;15 DE AGOSTO;04110;CAMPOHERMOSO;Almeria
00403;CALLE;17 DE ENERO DE 1966;04617;PALOMARES;Almeria
00580;TRVA;17 DE ENERO DE 1966;04617;PALOMARES;Almeria
00029;AVDA;19 DE OCTUBRE;04650;ZURGENA;Almeria
00239;CALLE;2 DE MAYO;04750;DALIAS;Almeria
00606;CALLE;2 DE MAYO;04746;VENTA DEL VISO;Almeria
00948;TRVA;23 DE ABRIL;04738;CABAÑUELAS (LAS);Almeria
00564;AVDA;28 DE FEBRERO;04814;CAÑICO (EL);Almeria
00002;PLAZA;28 DE FEBRERO;04008;ALMERIA;Almeria
00052;AVDA;28 DE FEBRERO;04410;BENAHADUX;Almeria
00477;AVDA;28 DE FEBRERO;04140;CARBONERAS;Almeria
00210;CALLE;28 DE FEBRERO;04750;DALIAS;Almeria
02069;AVDA;28 DE FEBRERO;04110;CAMPOHERMOSO;Almeria
00759;CALLE;28 DE FEBRERO;04640;PULPI;Almeria
00532;CALLE;28 DE FEBRERO;04620;VERA;Almeria
00003;CALLE;28 FEBRERO DE LA CAÑADA;04120;CAÑADA DE SAN URBANO (LA);Almeria
03034;PLAZA;3 DE ABRIL;04005;ALMERIA;Almeria
01855;CALLE;4 DE DICIEMBRE;04700;EJIDO (EL);Almeria
02408;CRTJO;40 (EL);04115;RODALQUILAR;Almeria
00004;PLAZA;8 DE MARZO;04008;ALMERIA;Almeria
00544;CALLE;8 DE MARZO;04746;VENTA DEL VISO;Almeria
00429;CALLE;800 BALAS;04200;TABERNAS;Almeria
00082;CTRA;A-1003;04114;POLOPOS;Almeria
01084;CTRA;A-327;04693;SANTA MARIA DE NIEVA;Almeria
01087;CTRA;A-350R;04694;SALTADOR (EL);Almeria
00504;CALLE;A. FRANCISCO RUIZ GARRIDO;04620;VERA;Almeria
00401;CTRA;A334R;04660;CUEVA (LA);Almeria
00542;CALLE;AAIUN;04230;FUENSANTA (LA)-VILLA INES;Almeria
00005;CALLE;ABADEJO;04150;CABO DE GATA;Almeria
00001;CALLE;ABADES;04450;CANJAYAR;Almeria
00055;CRTJO;ABADIA;04825;RAMBLA DE ARRIBA (LA);Almeria
00001;CALLE;ABADIA;04820;VELEZ-RUBIO;Almeria
00274;PRAJE;ABADIAS (LA CARRASCA);04820;CARRASCA (LA);Almeria
00018;PLAZA;ABAJO;04888;BAYARQUE;Almeria
00180;CALLE;ABAJO;04899;ZOILOS (LOS);Almeria
00006;CRTJO;ABAJO (DE);04150;CABO DE GATA;Almeria
00018;PLAZA;ABAJO (DE);04859;LIJAR;Almeria
00007;CMNO;ABANICO (DEL);04131;RETAMAR;Almeria
00023;PLAZA;ABASTOS;04540;NACIMIENTO;Almeria
01000;CALLE;ABC;04770;ADRA;Almeria
03089;CALLE;ABDELACID;04720;CAMPILLO DEL MORO;Almeria
00557;CALLE;ABDERRAMAN;04640;PULPI;Almeria
02386;PLAZA;ABDERRAMAN;04720;CAMPILLO DEL MORO;Almeria
00008;CALLE;ABDERRAMAN III;04002;ALMERIA;Almeria
00336;CALLE;ABDERRAMAN III;04661;LLANOS (LOS);Almeria
00009;CALLE;ABEDUL;04130;ALQUIAN (EL);Almeria
03023;CALLE;ABEDUL;04720;AGUADULCE;Almeria
00010;CMNO;ABEJA (DE LA);04131;RETAMAR;Almeria
00208;CALLE;ABEJARUCO;04660;CARRASCOS (LOS);Almeria
00004;CALLE;ABEJARUCO;04710;SANTA MARÍA DEL ÁGUILA;Almeria
00002;PRAJE;ABEJUELA;04691;ABEJUELA;Almeria
00001;CALLE;ABELARDO;04867;MACAEL;Almeria
00001;CALLE;ABELLAN;04815;ALMANZORA;Almeria
00011;CALLE;ABEN HUMEYA;04004;ALMERIA;Almeria
00229;CALLE;ABEN HUMEYA;04660;PERLA (LA);Almeria
01431;CALLE;ABEN HUMEYA;04769;BERJA;Almeria
00213;CALLE;ABEN HUMEYA;04470;LAUJAR DE ANDARAX;Almeria
00685;CALLE;ABEN HUMEYA;04720;CAMPILLO DEL MORO;Almeria
00571;CALLE;ABENCERRAJES;04720;CAMPILLO DEL MORO;Almeria
00003;CALLE;ABETO;04600;HUERCAL-OVERA;Almeria
01933;CALLE;ABETO;04100;NIJAR;Almeria
01012;CALLE;ABETO;04720;PARADOR HORTICHUELAS (EL);Almeria
00371;CALLE;ABETO (EL);04700;EJIDO (EL);Almeria
00426;CALLE;ABETOS (LOS);04745;MOJONERA (LA);Almeria
01040;CALLE;ABIERTA;04712;BALERMA;Almeria
00013;PLAZA;ABIES;04120;COSTACABANA;Almeria
00014;CMNO;ABLA;04520;ABRUCENA;Almeria
00014;CALLE;ABLA;04520;ABRUCENA;Almeria
01101;CALLE;ABLA;04700;EJIDO (EL);Almeria
