Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
02280;CALLE;1 DE MAYO;01230;NANCLARES DE LA OCA/LANGR;Araba-Alava
01200;CLLON;1 DERECHA BERLANDINO;01330;LABASTIDA/BASTIDA;Araba-Alava
01210;CLLON;1 IZQUIERDA BERLANDINO;01330;LABASTIDA/BASTIDA;Araba-Alava
01205;CLLON;2 DERECHA BERLANDINO;01330;LABASTIDA/BASTIDA;Araba-Alava
02285;CALLE;25 DE OCTUBRE;01230;NANCLARES DE LA OCA/LANGR;Araba-Alava
01460;CLLON;3 DERECHA BERLANDINO;01330;LABASTIDA/BASTIDA;Araba-Alava
04679;AVDA;8 DE MARZO;01002;VITORIA-GASTEIZ;Araba-Alava
02270;CALLE;8 DE MARZO;01230;NANCLARES DE LA OCA/LANGR;Araba-Alava
00920;CALLE;ABAJO;01211;BERANTEVILLA;Araba-Alava
00900;CALLE;ABAJO;01118;BERNEDO;Araba-Alava
13005;BARRO;ABAJO;01118;VILLAFRIA;Araba-Alava
04005;BARRO;ABAJO;01128;ATAURI;Araba-Alava
01010;BARRO;ABAJO;01423;ATIEGA/ATIAGA;Araba-Alava
05010;BARRO;ABAJO;01208;GALARRETA;Araba-Alava
00900;BARRO;ABAJO;01118;BERNEDO;Araba-Alava
04005;BARRO;ABAJO (DE);01117;OTEO;Araba-Alava
01510;CALLE;ABALDE;01330;LABASTIDA/BASTIDA;Araba-Alava
05005;CALLE;ABEJAL;01211;MIJANCAS;Araba-Alava
00445;CALLE;ABENDAÑO;01008;VITORIA-GASTEIZ;Araba-Alava
00830;CTRA;ABETXUKO;01013;VITORIA-GASTEIZ;Araba-Alava
00001;CALLE;ABIAGA KALEA;01470;AMURRIO;Araba-Alava
00390;CALLE;ABIAGABARRI KALEA;01470;AMURRIO;Araba-Alava
11085;BARRO;ABIEGA;01478;LLANTENO;Araba-Alava
18075;BARRO;ABO (DE);01479;OLABEZAR;Araba-Alava
02003;CTRA;ABORNIKANO;01449;ABORNIKANO;Araba-Alava
04706;CALLE;ABRAHAM LINCOLN;01015;VITORIA-GASTEIZ;Araba-Alava
01006;CALLE;ABREVADERO;01192;AÑUA;Araba-Alava
00010;CALLE;ABREVADERO;01001;VITORIA-GASTEIZ;Araba-Alava
13045;CALLE;ABREVADERO (DEL);01207;ULLIBARRI-JAUREGI/URIBARR;Araba-Alava
04900;PLAZA;ADANA;01006;VITORIA-GASTEIZ;Araba-Alava
00003;CALLE;ADARRAGA KALEA;01470;AMURRIO;Araba-Alava
01030;CALLE;ADOLFO DIAZ DE GEREÑU;01309;LEZA;Araba-Alava
00020;CALLE;ADRIANO VI;01008;VITORIA-GASTEIZ;Araba-Alava
00030;CALLE;ADURTZA;01006;VITORIA-GASTEIZ;Araba-Alava
07035;CALLE;AFUERA;01129;KORRES;Araba-Alava
20045;BARRO;AGIRRE;01476;ARESPALDITZA/RESPALDIZA;Araba-Alava
04020;BARRO;AGIRRE-VENTILLA;01409;UGALDE;Araba-Alava
00050;CALLE;AGIRRELANDA;01013;VITORIA-GASTEIZ;Araba-Alava
04005;BARRO;AGONZA;01193;ERENTXUN;Araba-Alava
10015;CALLE;AGUIRRE;01449;OIARDO;Araba-Alava
04015;CALLE;AGUIRZA;01449;BELUNTZA;Araba-Alava
01022;KALE;AGURAIN;01240;ALEGRIA-DULANTZI;Araba-Alava
00010;CALLE;AIARA KALEA;01470;AMURRIO;Araba-Alava
06060;CALLE;AITA GABIREL JAUREGI;01160;IBARRA;Araba-Alava
11919;CALLE;AIURDIN;01130;MURGIA;Araba-Alava
17010;CALLE;AIURDIN BIDEA;01138;ZAITEGI;Araba-Alava
04020;CALLE;AIZKOMENDI;01207;EGUILAZ/EGILATZ;Araba-Alava
01415;CMNO;AJOSTE;01330;LABASTIDA/BASTIDA;Araba-Alava
01175;SBIDA;AL DIEZMO;01306;LAPUEBLA DE LABARCA;Araba-Alava
29015;CALLE;ALAGUERO;01426;VILLANAÑE;Araba-Alava
