Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
00037;PLAZA;;05162;BERLANAS (LAS);Avila
00001;LUGAR;"LA ISLA";05520;SALOBRAL;Avila
00031;LUGAR;"LAS ERAS";05427;FRESNEDILLA;Avila
00035;TRVA;1 DE LA IGLESIA;05146;SAN GARCIA DE INGELMOS;Avila
00037;TRVA;1 DE LA MILAGROSA;05146;SAN GARCIA DE INGELMOS;Avila
00042;TRVA;1 DE SAN SEBASTIAN;05146;SAN GARCIA DE INGELMOS;Avila
00048;POLIG;11;05193;OJOS-ALBOS;Avila
00086;CALLE;12;05695;HORCAJADA (LA);Avila
00165;CALLE;14 DE DICIEMBRE;05290;SANCHIDRIAN;Avila
00046;POLIG;15;05193;OJOS-ALBOS;Avila
00036;TRVA;2 DE LA IGLESIA;05146;SAN GARCIA DE INGELMOS;Avila
01581;PASEO;2 DE MAYO;05001;AVILA;Avila
00045;POLIG;25;05193;OJOS-ALBOS;Avila
00005;CALLE;27;05134;NAVALACRUZ;Avila
00007;CALLE;28 DE JUNIO DE 1942;05296;ADANERO;Avila
00031;CALLE;46;05357;VILLAFLOR;Avila
00211;CTRA;502;05413;MOMBELTRAN;Avila
00047;POLIG;8;05193;OJOS-ALBOS;Avila
00070;CALLE;A (BARRIO DE SAN BLAS);05250;HOYO DE PINARES (EL);Avila
00389;CTRA;A. B. ISABEL LA CATOLICA;05270;TIEMBLO (EL);Avila
00089;PRAJE;ABADEJOS;05414;CUEVAS DEL VALLE;Avila
00044;CALLE;ABADIA;05114;VILLANUEVA DE AVILA;Avila
00093;PLAZA;ABADIA (DE LA);05113;BURGOHONDO;Avila
00037;CALLE;ABADÍA;05122;NAVATALGORDO;Avila
00017;CALLE;ABAJO;05620;NAVALMORO;Avila
00022;CALLE;ABAJO;05141;GALLEGOS;Avila
00155;CALLE;ABAJO;05460;GAVILANES;Avila
00010;CALLE;ABAJO;05693;GIL GARCIA;Avila
00001;CALLE;ABAJO;05696;ENCINARES;Avila
00005;CALLE;ABAJO;05191;MIRONCILLO;Avila
00039;CALLE;ABAJO;05380;VILLAMAYOR;Avila
00023;CALLE;ABAJO;05141;BENITOS;Avila
00025;CALLE;ABAJO;05632;ORTIGOSA DE TORMES;Avila
00008;CALLE;ABAJO;05619;NEILA DE SAN MIGUEL;Avila
00061;CALLE;ABAJO;05492;POYALES DEL HOYO;Avila
