Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
00018;CALLE;1 DE MAYO;06928;MALCOCINADO;Badajoz
00044;CALLE;1 DE MAYO;06260;MONESTERIO;Badajoz
00020;CALLE;1 DE MAYO;06880;TORREMAYOR;Badajoz
00189;POLIG;12 (CORDEL MERIDA);06411;MEDELLIN;Badajoz
09234;CALLE;12 DE OCTUBRE;06195;BALBOA;Badajoz
00056;CALLE;12 DE OCTUBRE;06680;CASTILBLANCO;Badajoz
00243;CALLE;14 DE ABRIL;06225;RIBERA DEL FRESNO;Badajoz
00075;CALLE;15 DE MAYO;06715;RENA;Badajoz
00081;CALLE;16 DE MAYO;06170;ALBUERA (LA);Badajoz
00288;TRVA;1ª SIERRA DE SAN PEDRO;06500;SAN VICENTE DE ALCANTARA;Badajoz
00134;AVDA;22 DE ENERO;06716;VILLAR DE RENA;Badajoz
09233;CALLE;28 DE MAYO;06195;BALBOA;Badajoz
01005;CALLE;3 DE ABRIL;06658;TAMUREJO;Badajoz
00179;POLIG;4 (MALASTARDES);06411;MEDELLIN;Badajoz
00249;CALLE;8 DE MARZO;06810;CALAMONTE;Badajoz
00116;CALLE;8 DE MARZO;06715;RENA;Badajoz
00010;CALLE;8 DE MARZO;06650;SIRUELA;Badajoz
00621;CALLE;8 DE MARZO;06220;VILLAFRANCA DE LOS BARROS;Badajoz
00049;CALLE;8 DE SEPTIEMBRE;06134;VALENCIA MOMBUEY;Badajoz
00178;POLIG;9 (LOS TURUÑUELOS);06411;MEDELLIN;Badajoz
10006;CALLE;A (BACOCO);06518;BACOCO;Badajoz
10007;CALLE;A (EL MARCO);06518;MARCO (EL);Badajoz
10008;CALLE;A (LA RABAZA);06518;RABAZA (LA);Badajoz
10009;CALLE;A (LA TOJERA);06518;TOJERA (LA);Badajoz
00410;AVDA;A RUA;06200;ALMENDRALEJO;Badajoz
00120;CALLE;A.MARTINEZ DE PINILLOS;06200;ALMENDRALEJO;Badajoz
00458;CALLE;A.S.FRANCISCO Y S.ANTONIO;06900;LLERENA;Badajoz
01001;AVDA;ABADIAS;06800;MERIDA;Badajoz
00001;CALLE;ABAJO;06420;CASTUERA;Badajoz
00015;CALLE;ABAJO;06441;HIGUERA DE LA SERENA;Badajoz
00001;CALLE;ABAJO;06420;CASTUERA;Badajoz
00001;CALLE;ABAJO;06420;CASTUERA;Badajoz
00223;TRVA;ABAJO;06450;QUINTANA DE LA SERENA;Badajoz
00004;PLAZA;ABAJO;06689;VALDECABALLEROS;Badajoz
05049;CALLE;ABEDUL;06200;SAN MARCOS;Badajoz
00005;CALLE;ABEDUL;06010;BADAJOZ;Badajoz
10025;CALLE;ABEDUL;06660;FUENLABRADA DE LOS MONTES;Badajoz
00091;CALLE;ABEDUL;06717;PALAZUELO;Badajoz
05028;CALLE;ABEJARUCO;06200;SAN MARCOS;Badajoz
01073;CALLE;ABETO;06400;DON BENITO;Badajoz
00010;CALLE;ABRIL;06001;BADAJOZ;Badajoz
05022;CALLE;ABUBILLA;06200;SAN MARCOS;Badajoz
00127;CALLE;ABUELA;06290;USAGRE;Badajoz
05035;CALLE;ACACIA;06200;SAN MARCOS;Badajoz
00030;CALLE;ACACIA;06010;BADAJOZ;Badajoz
09032;CALLE;ACACIA (ALVARADO);06170;ALVARADO - LA RISCA;Badajoz
00076;RONDA;ACACIAS;06717;PALAZUELO;Badajoz
00761;URB;ACACIAS;06300;ZAFRA;Badajoz
02945;LUGAR;ACADEMIA GUARDIA CIVIL;06800;MERIDA;Badajoz
00995;CALLE;ACAPULCO;06412;HERNAN CORTES;Badajoz
00032;CALLE;ACEBO;06011;BADAJOZ;Badajoz
07300;CALLE;ACEBO;06800;MERIDA;Badajoz
00001;CALLE;ACEBUCHE;06207;ACEUCHAL;Badajoz
00095;CALLE;ACEBUCHE;06810;CALAMONTE;Badajoz
00001;CALLE;ACERA DEL CONDE;06460;CAMPANARIO;Badajoz
00513;CALLE;ACERO;06220;VILLAFRANCA DE LOS BARROS;Badajoz
00010;CALLE;ACEUCHAL;06200;ALMENDRALEJO;Badajoz
00020;CTRA;ACEUCHAL;06200;ALMENDRALEJO;Badajoz
02011;CALLE;ACEUCHAL;06800;MERIDA;Badajoz
00001;CALLE;ACEUCHAL;06760;NAVALVILLAR DE PELA;Badajoz
80024;LUGAR;ACEUCHAL;06760;NAVALVILLAR DE PELA;Badajoz
00001;CALLE;ACEUCHAL;06760;NAVALVILLAR DE PELA;Badajoz
00024;CALLE;ACEUCHAL;06208;VILLALBA DE LOS BARROS;Badajoz
10003;CALLE;ACEUCHAL (CORTEGANA);06196;CORTEGANA;Badajoz
10004;CALLE;ACEUCHAL (RETAMAR);06209;RETAMAL;Badajoz
10037;CALLE;ACEUCHE;06200;SAN MARCOS;Badajoz
05120;CALLE;ACUARIO;06800;PROSERPINA;Badajoz
00012;CALLE;ACUEDUCTO;06860;ESPARRAGALEJO;Badajoz
00175;CALLE;ADA SALAS;06227;LLERA;Badajoz
