Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
00542;POLIG;1;07190;ESPORLES;Baleares, illes
00401;CARRE;1;07510;SINEU;Baleares, illes
73152;CARRE;1 DE CALA CORRAL;07829;SANT AGUSTI DES VEDRA;Baleares, illes
03190;CARRE;1 DE CALA MOLI;07830;SANT JOSEP DE SA TALAIA;Baleares, illes
73037;CARRE;1 DE CALO DEN REIAL;07830;SANT JOSEP DE SA TALAIA;Baleares, illes
73063;CARRE;1 DE PUIG DOFI;07829;SANT AGUSTI DES VEDRA;Baleares, illes
73100;CARRE;1 DE SANT JOSEP;07830;SANT JOSEP DE SA TALAIA;Baleares, illes
08838;CALLE;1 TRAVESIA MOLLET;07012;PALMA;Baleares, illes
00551;POLIG;10;07190;ESPORLES;Baleares, illes
73066;CARRE;10 DE CALA CARBO;07830;SANT JOSEP DE SA TALAIA;Baleares, illes
03206;CARRE;10 DE CALA CODOLAR;07839;SANT AGUSTI DES VEDRA;Baleares, illes
73099;CARRE;10 DE CALA VEDELLA;07830;SANT JOSEP DE SA TALAIA;Baleares, illes
73153;CARRE;10 DE CALO DEN REIAL;07830;SANT JOSEP DE SA TALAIA;Baleares, illes
73178;CARRE;10 DE SANT JOSEP;07830;SANT JOSEP DE SA TALAIA;Baleares, illes
02172;CALLE;106;07015;SANT AGUSTI;Baleares, illes
00708;AVGDA;11 DE MAIG, DE L';07108;PORT (EL);Baleares, illes
73114;CARRE;12 DE CALO DEN REAL;07830;SANT JOSEP DE SA TALAIA;Baleares, illes
73090;CARRE;12 DE PUIG DOFI;07829;SANT AGUSTI DES VEDRA;Baleares, illes
02297;PLAZA;122;07014;PALMA;Baleares, illes
02152;CALLE;129;07014;PALMA;Baleares, illes
73173;CARRE;13 DE CALO DEN REIAL;07830;SANT JOSEP DE SA TALAIA;Baleares, illes
73113;CARRE;13 DE SANT JORDI;07818;SANT FRANCESC DE S'ESTANY;Baleares, illes
08582;CALLE;130;07120;SON SARDINA;Baleares, illes
02300;CALLE;131;07120;SON SARDINA;Baleares, illes
02156;CALLE;134;07120;SON SARDINA;Baleares, illes
02303;CALLE;135;07120;SON SARDINA;Baleares, illes
02158;CALLE;136;07120;INDIOTERIA (SA);Baleares, illes
02305;CALLE;138;07120;SON SARDINA;Baleares, illes
02306;CALLE;139;07120;SON SARDINA;Baleares, illes
02307;CMNO;140;07009;INDIOTERIA (SA);Baleares, illes
02190;CALLE;142;07199;CASA BLANCA (SA);Baleares, illes
02191;CALLE;143;07009;PALMA;Baleares, illes
02192;CALLE;144;07009;PALMA;Baleares, illes
02193;CALLE;145;07009;PALMA;Baleares, illes
73089;CARRE;15 DE CALO DEN REIAL;07830;SANT JOSEP DE SA TALAIA;Baleares, illes
03243;CARRE;15 DE PORT DES TORRENT;07829;SANT AGUSTI DES VEDRA;Baleares, illes
03244;CARRE;16 DE PORT DES TORRENT;07829;SANT AGUSTI DES VEDRA;Baleares, illes
02245;CALLE;161;07199;CASA BLANCA (SA);Baleares, illes
73126;CARRE;168 DE SA CARROCA;07817;SANT JORDI DE SES SALINES;Baleares, illes
01152;C/;18 DE NOVEMBRE DE 2005;07100;SOLLER;Baleares, illes
03245;CARRE;18 DE PORT DES TORRENT;07829;SANT AGUSTI DES VEDRA;Baleares, illes
02102;CALLE;19;07013;PALMA;Baleares, illes
