Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
00477;C;;08784;BOSCOS DE CAN MARTI;Barcelona
00145;PTGE;"QUATRE CANTONS";08241;MANRESA;Barcelona
00563;C;1;08757;CORBERA DE LLOBREGAT;Barcelona
00145;C;1;08254;PONT VILOMARA I ROCAFORT;Barcelona
00027;PL;1 D'OCTUBRE;08360;CANET DE MAR;Barcelona
00312;PL;1 D'OCTUBRE;08786;CAPELLADES;Barcelona
00143;C;1 D'OCTUBRE;08719;CASTELLOLI;Barcelona
00374;PL;1 D'OCTUBRE;08259;FONOLLOSA;Barcelona
00221;C;1 D'OCTUBRE;08611;OLVAN;Barcelona
00098;AV;1 D'OCTUBRE;08733;PLA DEL PENEDÈS (EL);Barcelona
00070;PL;1 D'OCTUBRE;08470;SANT CELONI;Barcelona
00247;PL;1 D'OCTUBRE;08263;SANT MATEU DE BAGES;Barcelona
00646;PL;1 D'OCTUBRE;08181;SENTMENAT;Barcelona
00647;PL;1 D'OCTUBRE;08739;SANT PAU D'ORDAL;Barcelona
00310;C;1 D'OCTUBRE;08188;VALLROMANES;Barcelona
00024;C;1 D'OCTUBRE (DE L');08310;ARGENTONA;Barcelona
00270;C;1 D'OCTUBRE (DE L');08319;DOSRIUS;Barcelona
00516;PLAÇA;1 D'OCTUBRE 2017;08459;SANT ANTONI DE VILAMAJOR;Barcelona
99999;PL;1 D'OCTUBRE DE 2017;08859;BEGUES;Barcelona
00275;PL;1 D'OCTUBRE DE 2017;08370;CALELLA;Barcelona
00532;PG;1 D'OCTUBRE DE 2017;08650;SALLENT;Barcelona
00216;C;1 D'OCTUBRE DE 2017;08396;SANT CEBRIÀ DE VALLALTA;Barcelona
00367;C;1 DE MAIG;08160;MONTMELÓ;Barcelona
00303;POLIG;1 PARCEL·LA 30;08795;OLESA DE BONESVALLS;Barcelona
00304;C;10;08860;CASTELLDEFELS;Barcelona
00581;C;10;08757;CORBERA DE LLOBREGAT;Barcelona
00452;POLIG;10 PARCEL·LA 4;08450;LLINARS DEL VALLÈS;Barcelona
00305;C;11;08860;CASTELLDEFELS;Barcelona
00583;C;11;08757;CORBERA DE LLOBREGAT;Barcelona
00155;C;11;08254;PONT VILOMARA I ROCAFORT;Barcelona
00720;C;11 DE MARÇ;08740;SANT ANDREU DE LA BARCA;Barcelona
00070;AV;11 DE SETEMBRE;08349;CABRERA DE MAR;Barcelona
00228;C;11 DE SETEMBRE;08786;CAPELLADES;Barcelona
00135;C;11 DE SETEMBRE;08505;STA EULÀLIA DE RIUPRIMER;Barcelona
00712;PL;11 DE SETEMBRE;08460;STA MARIA DE PALAUTORDERA;Barcelona
00205;PTGE;11 DE SETEMBRE;08570;TORELLÓ;Barcelona
00306;C;12;08860;CASTELLDEFELS;Barcelona
00585;C;12;08757;CORBERA DE LLOBREGAT;Barcelona
00156;C;12;08254;PONT VILOMARA I ROCAFORT;Barcelona
00307;C;13;08860;CASTELLDEFELS;Barcelona
00587;C;13;08757;CORBERA DE LLOBREGAT;Barcelona
00157;C;13;08254;PONT VILOMARA I ROCAFORT;Barcelona
00308;C;13 BIS;08860;CASTELLDEFELS;Barcelona
00440;POLIG;13 PARCEL·LA 9001;08450;LLINARS DEL VALLÈS;Barcelona
00309;C;14;08860;CASTELLDEFELS;Barcelona
00589;C;14;08757;CORBERA DE LLOBREGAT;Barcelona
00158;C;14;08254;PONT VILOMARA I ROCAFORT;Barcelona
00310;C;14 BIS;08860;CASTELLDEFELS;Barcelona
00311;C;15;08860;CASTELLDEFELS;Barcelona
00590;C;15;08757;CORBERA DE LLOBREGAT;Barcelona
00159;C;15;08254;PONT VILOMARA I ROCAFORT;Barcelona
00312;C;16;08860;CASTELLDEFELS;Barcelona
00592;C;16;08757;CORBERA DE LLOBREGAT;Barcelona
00160;C;16;08254;PONT VILOMARA I ROCAFORT;Barcelona
00313;C;17;08860;CASTELLDEFELS;Barcelona
00594;C;17;08757;CORBERA DE LLOBREGAT;Barcelona
00161;C;17;08254;PONT VILOMARA I ROCAFORT;Barcelona
01693;.;17 - CAL ORTIZ (GUIX);08243;GUIX (EL);Barcelona
00314;C;18;08860;CASTELLDEFELS;Barcelona
00596;C;18;08757;CORBERA DE LLOBREGAT;Barcelona
00162;C;18;08254;PONT VILOMARA I ROCAFORT;Barcelona
00315;C;19;08860;CASTELLDEFELS;Barcelona
00601;C;19;08757;CORBERA DE LLOBREGAT;Barcelona
00163;C;19;08254;PONT VILOMARA I ROCAFORT;Barcelona
00146;C;2;08254;PONT VILOMARA I ROCAFORT;Barcelona
00316;C;20;08860;CASTELLDEFELS;Barcelona
00603;C;20;08757;CORBERA DE LLOBREGAT;Barcelona
00164;C;20;08254;PONT VILOMARA I ROCAFORT;Barcelona
00513;C;208;08650;BOTJOSA (LA);Barcelona
00505;C;209;08650;BOTJOSA (LA);Barcelona
00317;C;21;08860;CASTELLDEFELS;Barcelona
00165;C;21;08254;PONT VILOMARA I ROCAFORT;Barcelona
00774;C;210;08650;BOTJOSA (LA);Barcelona
00575;C;211;08650;BOTJOSA (LA);Barcelona
00517;C;212;08650;BOTJOSA (LA);Barcelona
00511;C;213;08650;BOTJOSA (LA);Barcelona
00514;C;214;08650;BOTJOSA (LA);Barcelona
00510;C;215;08650;BOTJOSA (LA);Barcelona
00512;C;217;08650;BOTJOSA (LA);Barcelona
