Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
00198;TRVA;1  BARRIOSUSO;09123;SASAMON;Burgos
00695;CALLE;14 DE ABRIL;09587;VILLANUEVA DE MENA;Burgos
00054;TRVA;1ª CALLE MAYOR;09339;ZAEL;Burgos
00195;TRVA;2  BARRIOSUSO;09123;SASAMON;Burgos
00109;CMNO;A IBEAS DE JUARROS;09199;SAN MEDEL;Burgos
00106;CTRA;A PUENTEDEY;09557;BRIZUELA;Burgos
00150;CTRA;A SAN JUAN;09219;FUENTECALIENTE;Burgos
00116;CALLE;ABACERIA;09109;VILLASILOS;Burgos
00026;CALLE;ABACERIA;09471;FUENTELCESPED;Burgos
00017;AVDA;ABAD GOMEZ CUBILLO;09640;VILLORUEBO;Burgos
00127;CALLE;ABAD ILDEFONSO GUEPIN;09610;SANTO DOMINGO DE SILOS;Burgos
00040;CALLE;ABAD MALUENDA;09005;BURGOS;Burgos
00664;CALLE;ABAD VITULO;09580;VILLASANA DE MENA;Burgos
00019;CALLE;ABADIA;09593;SALAS DE BUREBA;Burgos
00593;CMNO;ABADIA;09586;ANGULO;Burgos
00148;CALLE;ABADIA DE FONCEA;09199;ARLANZON;Burgos
00171;CMNO;ABAJAS;09592;CASTIL DE LENCES;Burgos
00018;CALLE;ABAJO;09258;ALCOCERO DE MOLA;Burgos
00025;CMNO;ABAJO;09410;ARANDILLA;Burgos
00023;CALLE;ABAJO;09450;BAÑOS DE VALDEARADOS;Burgos
00092;CALLE;ABAJO;09125;PIEDRA (LA);Burgos
00317;CALLE;ABAJO;09217;GRANDIVAL;Burgos
00170;CALLE;ABAJO;09198;MOZONCILLO DE JUARROS;Burgos
00008;CALLE;ABAJO;09227;IGLESIAS;Burgos
00018;CALLE;ABAJO;09258;ALCOCERO DE MOLA;Burgos
00010;PLAZA;ABAJO;09441;SOTILLO DE LA RIBERA;Burgos
00002;CALLE;ABAJO;09310;VILLATUELDA;Burgos
00361;CALLE;ABAJO;09141;GREDILLA LA POLERA;Burgos
00192;BARRO;ABAJO;09511;TEZA DE LOSA;Burgos
00200;CALLE;ABAJO;09510;VILLABASIL;Burgos
00050;CALLE;ABAJO (CORTES);09193;CORTES;Burgos
00033;BARRO;ABAJO (DE);09192;QUINTANILLA-RIOPICO;Burgos
00008;CALLE;ABAJO (DE);09270;REDECILLA DEL CAMPO;Burgos
00060;CALLE;ABAJO (VILLAFRIA);09007;VILLAFRIA;Burgos
00176;CALLE;ABANTO;09212;GABANES;Burgos
00089;CALLE;ABARCERIA;09344;ROYUELA DE RIO FRANCO;Burgos
00010;CALLE;ABEDUL;09400;CALABAZA (LA);Burgos
00111;CALLE;ABEDUL;09195;ARCOS;Burgos
00232;CALLE;ABETO;09511;LASTRAS DE TEZA;Burgos
00109;CALLE;ACACIAS;09540;TRESPADERNE;Burgos
00363;CMNO;ACEDILLO;09129;COCULINA;Burgos
00015;CALLE;ACEITE (EL);09400;ARANDA DE DUERO;Burgos
00272;CALLE;ACEQUIA DE SALCEJO;09430;HUERTA DE REY;Burgos
00057;CALLE;ACEÑA VIEJA;09491;FRESNILLO DE LAS DUEÑAS;Burgos
00049;CALLE;ACIGÜEMBRES;09620;HUMIENTA;Burgos
00098;CALLE;ACUARIO;09195;VILLAGONZALO PEDERNALES;Burgos
00048;CALLE;ADENTRO;09125;PIEDRA (LA);Burgos
00169;CALLE;ADIOS;09342;SANTA MARIA DEL CAMPO;Burgos
00020;CALLE;ADOBERAS;09348;SOLARANA;Burgos
