Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
00407;CALLE;11 DE MAYO;39700;CASTRO-URDIALES;Cantabria
00046;AVDA;17 DE JULIO;39583;CASTRO;Cantabria
00023;CALLE;8 DE SEPTIEMBRE;39840;AMPUERO;Cantabria
00504;CALLE;A. PEREZ HORNOAS (CHOLO);39700;CASTRO-URDIALES;Cantabria
00508;CALLE;A. PEREZ RUBALCABA;39710;SOLARES;Cantabria
00206;PLAZA;ABAD FRANCISCO NAVARRO;39330;SANTILLANA;Cantabria
00001;CALLE;ABAD PATERNO;39740;SANTOÑA;Cantabria
00001;BARRO;ABADIA (LA);39526;NOVALES;Cantabria
00139;CALLE;ABADIA (LA);39527;IGLESIA (LA);Cantabria
00209;CALLE;ABADIA (LA) (LIANDRES);39527;LIANDRES;Cantabria
00556;BARRO;ABADILLA;39694;ABADILLA (LA);Cantabria
00388;LUGAR;ABADILLA DISEMINADO;39626;ABADILLA (LA);Cantabria
00001;BARRO;ABAJO;39510;VALLE;Cantabria
00001;BARRO;ABAJO;39510;VALLE;Cantabria
00001;BARRO;ABAJO;39510;VALLE;Cantabria
00058;BARRO;ABAJO;39513;UCIEDA;Cantabria
00079;BARRO;ABAJO;39518;CORREPOCO;Cantabria
00169;CALLE;ABAJO (DE);39160;LOREDO;Cantabria
00240;CALLE;ABAJO (DE);39419;BUSTILLO DEL MONTE;Cantabria
00309;CALLE;ABAJO (DE) (POB. ARRIBA);39230;POBLACION DE ARRIBA;Cantabria
00386;CALLE;ABAJO (DE) (RUIJAS);39230;RUIJAS;Cantabria
00388;BARRO;ABAJO (DE) (SALCEDO);39220;SALCEDO;Cantabria
00426;BARRO;ABAJO (DE) (SOBREPENILLA);39250;SOBREPENILLA;Cantabria
00197;BARRO;ABAJO (FRESNEDA);39518;FRESNEDA;Cantabria
00573;BARRO;ABAJO (HELGUERA);39538;HELGUERA;Cantabria
00021;PLAZA;ABASTOS (DE);39740;SANTOÑA;Cantabria
00287;BARRO;ABAÑO;39549;ABAÑO;Cantabria
00001;BARRO;ABEDUL (EL);39670;HIJAS;Cantabria
04027;CALLE;ABEDULES (LOS);39011;SAN ROMAN;Cantabria
00208;CALLE;ABRA DEL PAS;39310;MOGRO;Cantabria
00001;CALLE;ABREGO;39200;REINOSA;Cantabria
04284;CALLE;ABUBILLA (LA);39012;SAN ROMAN;Cantabria
00192;BARRO;ABURRUELO;39815;OGARRIO;Cantabria
00238;CALLE;ACACIAS (LAS);39212;NESTARES;Cantabria
00071;URB;ACACIAS (LAS);39310;MIENGO;Cantabria
00002;CALLE;ACACIO GUTIERREZ;39340;SUANCES;Cantabria
01377;CTRA;ACCESO BARRIO COVADONGA;39300;CAMPUZANO;Cantabria
00039;BARRO;ACEBAL (EL);39730;BERANGA;Cantabria
00933;URB;ACEBAL (EL);39470;RENEDO;Cantabria
00002;BARRO;ACEBAL (EL);39679;VARGAS;Cantabria
00003;CALLE;ACEBEDOS;39001;SANTANDER;Cantabria
00239;CALLE;ACEBO (EL);39212;NESTARES;Cantabria
00100;URB;ACEBOS (LOS);39310;MIENGO;Cantabria
07501;URB;ACEBOS (LOS);39110;SOTO DE LA MARINA;Cantabria
00579;URB;ACEBOS (LOS);39620;SARON;Cantabria
04158;CALLE;ACEBOS (LOS);39011;SAN ROMAN;Cantabria
00002;BARRO;ACEBOSA (LA);39526;NOVALES;Cantabria
00727;BARRO;ACEBOSA (LA);39478;BOO;Cantabria
00354;BARRO;ACEBOSA (LA);39549;ACEBOSA (LA);Cantabria
00019;BARRO;ACEREDA;39698;ACEREDA;Cantabria
00250;CALLE;ACERUCA (LA);39750;COLINDRES;Cantabria
00254;CMNO;ACERUCA (LA);39750;COLINDRES;Cantabria
00001;CALLE;ACHERO;39450;ARENAS DE IGUÑA;Cantabria
00031;AVDA;ACUEDUCTO (DEL);39820;LIMPIAS;Cantabria
00001;CALLE;ACUERDO;39540;S VICENTE DE LA BARQUERA;Cantabria
00004;BARRO;ADARZO;39011;PEÑACASTILLO;Cantabria
03953;BARRO;ADARZO CAÑAS;39011;SANTANDER;Cantabria
00063;BARRO;ADINO;39788;ADINO;Cantabria
00003;CALLE;ADOLFO SUAREZ;39400;CORRALES (LOS);Cantabria
00445;CALLE;ADOLFO SUAREZ;39340;SUANCES;Cantabria
00007;CALLE;AFRICA;39001;SANTANDER;Cantabria
04226;CALLE;AGAPITO GARCIA RUMAYOR;39012;CUETO;Cantabria
00229;CALLE;AGUA ABIERTA;39170;AJO;Cantabria
00132;BARRO;AGUACHICA;39192;SAN MIGUEL DE MERUELO;Cantabria
00318;LUGAR;AGUANAZ;39794;HOZ DE ANERO;Cantabria
00145;CALLE;AGUAS HONDAS;39160;GALIZANO;Cantabria
00009;CALLE;AGUAYOS;39003;SANTANDER;Cantabria
00413;CALLE;AGUDEDO (DEL);39419;SAN MARTIN DE VALDELOMAR;Cantabria
00580;CALLE;AGUENIT;39200;REINOSA;Cantabria
00002;BARRO;AGUERA;39539;VILLAPRESENTE;Cantabria
00001;BARRO;AGUERA (LA);39794;HOZ DE ANERO;Cantabria
00001;BARRO;AGUERA (LA);39794;HOZ DE ANERO;Cantabria
00578;BARRO;AGUERA (QUIJAS);39590;QUIJAS;Cantabria
00001;BARRO;AGUERAS (LAS);39730;BERANGA;Cantabria
00322;CALLE;AGUERAS (LAS);39211;SOTO;Cantabria
00808;BARRO;AGUILERA (LA);39612;PARBAYON;Cantabria
00013;BARRO;AGUILERA (LA);39213;AGUILERA (LA);Cantabria
04148;CALLE;AGUSTIN DE COLOSIA;39011;PEÑACASTILLO;Cantabria
00001;CALLE;AGUSTIN RIANCHO;39300;TORRELAVEGA;Cantabria
00064;BARRO;AGÜERA;39880;AGÜERA;Cantabria
00173;BARRO;AHEDO;39849;AHEDO;Cantabria
00096;BARRO;AHEDO;39880;PALACIO;Cantabria
00001;CALLE;AHIJON (EL);39815;VALLE;Cantabria
00057;BARRO;AJA;39806;AJA;Cantabria
00053;BARRO;AJANEDO;39728;AJANEDO;Cantabria
00089;BARRO;AJANEDO DE ABAJO;39728;AJANEDO;Cantabria
00088;BARRO;AJANEDO DE ARRIBA;39728;AJANEDO;Cantabria
00002;BARRO;ALAMEDA (LA);39694;SANTA MARIA DE CAYON;Cantabria
00025;CALLE;ALAMEDA (LA);39740;SANTOÑA;Cantabria
00104;URB;ALAMEDA I;39788;PUENTE (EL);Cantabria
00105;URB;ALAMEDA II;39788;PUENTE (EL);Cantabria
00106;URB;ALAMEDA III;39788;PUENTE (EL);Cantabria
00278;URB;ALAMOS I;39100;SANTA CRUZ DE BEZANA;Cantabria
00266;URB;ALAMOS II;39100;SANTA CRUZ DE BEZANA;Cantabria
00220;BARRO;ALANTE (DE);39220;ARANTIONES;Cantabria
00014;BARRO;ALAR;39686;ALAR;Cantabria
00111;CALLE;ALBANES;39570;POTES;Cantabria
00069;URB;ALBATROS (EL);39310;MOGRO;Cantabria
00324;CALLE;ALBERGUE (EL);39191;GUEMES;Cantabria
00012;BARRO;ALBERICIA (LA);39012;SAN ROMAN;Cantabria
00014;BARRO;ALBERICIA LAVAPIES;39012;SAN ROMAN;Cantabria
04134;CALLE;ALBERICO PARDO;39011;PEÑACASTILLO;Cantabria
04218;CALLE;ALBERT EINSTEIN;39011;PEÑACASTILLO;Cantabria
04286;PASEO;ALBERTO PICO;39009;SANTANDER;Cantabria
00136;BARRO;ALBULDE (EL);39192;SAN MAMES DE MERUELO;Cantabria
00003;CALLE;ALCALDE ARCHE;39600;MURIEDAS;Cantabria
00197;CALLE;ALCALDE DOMINGO GOMEZ MAZ;39800;RAMALES DE LA VICTORIA;Cantabria
04088;CALLE;ALCALDE MACARIO RIVERO;39011;PEÑACASTILLO;Cantabria
04012;PLAZA;ALCALDE RODRIGUEZ GUERRA;39008;SANTANDER;Cantabria
04104;CALLE;ALCALDE VEGA LAMERA;39005;SANTANDER;Cantabria
00002;CALLE;ALCANTARILLAS (LAS);39300;TORRELAVEGA;Cantabria
00001;BARRO;ALCARES;39408;COO;Cantabria
00095;CALLE;ALCARITE;39180;NOJA;Cantabria
00016;CALLE;ALCAZAR DE TOLEDO;39008;SANTANDER;Cantabria
00002;BARRO;ALCEDA;39680;ALCEDA;Cantabria
00001;BARRO;ALCOMBA (LA);39860;FRESNO;Cantabria
00001;BARRO;ALCOMBA (LA);39860;FRESNO;Cantabria
04024;CALLE;ALCORNOQUES (LOS);39011;SAN ROMAN;Cantabria
00011;BARRO;ALDANO;39683;ALDANO;Cantabria
