Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
00016;CALLE;;12469;CANALES;Castellón
02435;CARRE;"LA CUBANA" (DE);12590;PLATJA D'ALMENARA;Castellón
00122;POLIG;10;12440;CAUDIEL;Castellón
00093;CARRE;10 DE DESEMBRE (DE);12130;SANT JOAN DE MORO;Castellón
00090;CARRE;15 DE FEBRER (DE);12130;SANT JOAN DE MORO;Castellón
00267;CARRE;17 DE SETEMBRE;12194;VALL D'ALBA;Castellón
01319;PTDA;2 ANDANA ALCUDIA;12529;NULES;Castellón
00137;CARRE;25 DE JUNY;12539;ALQUERIAS DEL NIÑO PERDID;Castellón
00064;CALLE;25 DE MARZO;12410;ALTURA;Castellón
00022;CALLE;29 DE MAYO;12163;CULLA;Castellón
00075;CALLE;32;12124;VILLAHERMOSA DEL RIO;Castellón
00121;POLIG;5;12440;CAUDIEL;Castellón
00251;CALLE;8 DE MARZO;12400;SEGORBE;Castellón
02011;CALLE;8 DE MARZO (DEL);12200;ONDA;Castellón
00830;PLAÇA;8 DE MARÇ (DEL);12590;ALMENARA;Castellón
00509;C/;9 D'OCTUBRE;12593;PUEBLO;Castellón
01216;CALLE;9 D'OCTUBRE;12520;NULES;Castellón
00253;CARRE;9 D'OCTUBRE;12194;VALL D'ALBA;Castellón
03347;CALLE;A (VENTA NUEVA);12006;CASTELLON DE LA PLANA;Castellón
00251;CALLE;A-BENADRESA;12190;BORRIOL;Castellón
00232;CALLE;A-MASIA GAETA;12190;BORRIOL;Castellón
05030;CARRE;A. AGRAMUNT;12500;VINAROS;Castellón
04590;CARRE;A. COMES;12500;VINAROS;Castellón
00455;CARRE;A. GINER SOROLLA;12500;VINAROS;Castellón
00060;CARRE;A. MACHADO;12500;VINAROS;Castellón
00890;CARRE;A. SAFON;12500;VINAROS;Castellón
00168;CALLE;A.NICOLAS PEREZ SALAMERO;12460;VIVER;Castellón
01276;CALLE;A.VALENCIANA DE LA LLENGU;12520;NULES;Castellón
00029;CALLE;ABADIA;12318;CINCTORRES;Castellón
00025;CALLE;ABADIA;12119;COSTUR;Castellón
00001;CALLE;ABADIA;12163;CULLA;Castellón
00008;CALLE;ABADIA;12230;ESPADILLA;Castellón
00026;CARRE;ABADIA;12122;FIGUEROLES;Castellón
00001;CALLE;ABADIA;12163;CULLA;Castellón
00001;CARRE;ABADIA;12163;CULLA;Castellón
00210;PLAÇA;ABADIA;12193;BARONA (LA);Castellón
00020;CALLE;ABADIA;12600;VALL D'UIXO (LA);Castellón
03260;PLAZA;ABADIA;12600;VALL D'UIXO (LA);Castellón
00001;CARRE;ABADIA (DE L');12150;VILAFRANCA/VILLAFRANCA DE;Castellón
00023;CARRE;ABADIA (L');12118;USERAS/USERES (LES);Castellón
00001;CALLE;ABADIA-BOIXAR;12599;BOIXAR;Castellón
00001;CALLE;ABADÍA;12596;TORREBLANCA;Castellón
00032;CALLE;ABAJO;12413;CASTELLNOVO;Castellón
00018;PLAÇA;ABAJO;12513;CATI;Castellón
00157;CALLE;ABAJO;12412;VILLATORCAS;Castellón
00007;CALLE;ABAJO;12224;VILLAMALUR;Castellón
00025;PLAZA;ABAJO;12125;ZUCAINA;Castellón
00002;CALLE;ABDON Y SENEN;12550;ALMASSORA;Castellón
00211;CARRE;ABEL MUS, D';12530;BORRIANA/BURRIANA;Castellón
00360;PTDA;ABELECHAR;12190;BORRIOL;Castellón
00247;CMNO;ABELLERS;12598;PEÑISCOLA;Castellón
00010;CALLE;ABETO, DEL;12006;CASTELLON DE LA PLANA;Castellón
00111;CALLE;ABETOS (LOS);12200;SITJAR DE BAIX;Castellón
00146;CARRE;ABEURADOR (L');12596;TORREBLANCA;Castellón
00053;CALLE;ABREVADERO;12430;BEJIS;Castellón
00001;CALLE;ABREVADOR;12499;CHOVAR;Castellón
00003;CALLE;ABU-ZEIT;12231;CIRAT;Castellón
