Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
04030;CALLE;ACICATENA;51002;CEUTA;Ceuta
04045;CALLE;ADORATRICES;51002;CEUTA;Ceuta
00004;PLAZA;AFRICA;51001;CEUTA;Ceuta
00005;PSAJE;AFRICA;51002;CEUTA;Ceuta
00007;AVDA;AFRICA (DE);51001;CEUTA;Ceuta
03331;CALLE;AGRUPACION CENTRAL;51003;PRINCIPE (EL);Ceuta
00574;CALLE;AGRUPACION ESTE;51003;PRINCIPE (EL);Ceuta
03324;CALLE;AGRUPACION FUERTE;51003;PRINCIPE (EL);Ceuta
01069;CJTO;AGRUPACION LOGISTICA;51002;CEUTA;Ceuta
00561;CALLE;AGRUPACION NORTE;51003;PRINCIPE (EL);Ceuta
01707;CALLE;AGRUPACION SUR;51003;PRINCIPE (EL);Ceuta
03968;LUGAR;AGUJERO BOQ.SARDINA;51001;CEUTA;Ceuta
04042;CALLE;AGUSTIN MUÑOZ VAZQUEZ;51001;CEUTA;Ceuta
00016;CALLE;AGUSTINA DE ARAGON;51001;CEUTA;Ceuta
03333;LUGAR;ALBERGUES AYUNTAMIENTO;51003;PRINCIPE (EL);Ceuta
00019;CALLE;ALBERTO IBAÑEZ TRUJILLO;51003;PRINCIPE (EL);Ceuta
04036;CALLE;ALC.JQ.GARCIA DE LA TORRE;51002;CEUTA;Ceuta
04025;CALLE;ALCALA DEL VALLE;51005;CEUTA;Ceuta
04079;CALLE;ALCALDE ALFONSO SOTELO AZ;51001;CEUTA;Ceuta
04015;CALLE;ALCALDE C. CALVO PECINO;51001;CEUTA;Ceuta
00020;PASEO;ALCALDE SANCHEZ PRADOS;51001;CEUTA;Ceuta
00021;AVDA;ALCDE J. VICTORI GOÑALONS;51001;CEUTA;Ceuta
03960;CALLE;ALCDE.FRUCT.MIAJA SANCHEZ;51001;CEUTA;Ceuta
00022;CALLE;ALFAU;51001;CEUTA;Ceuta
00024;MUELL;ALFAU;51001;CEUTA;Ceuta
03858;PLAZA;ALFAU;51001;CEUTA;Ceuta
03859;GRUP;ALFAU;51001;CEUTA;Ceuta
03322;CALLE;ALFEREZ BAYTON;51001;CEUTA;Ceuta
00026;CALLE;ALFEREZ DE LA RUBIA;51002;CEUTA;Ceuta
00027;CALLE;ALFEREZ PROVISIONAL;51001;CEUTA;Ceuta
00028;CALLE;ALFONSO VIII;51002;CEUTA;Ceuta
00029;CALLE;ALGECIRAS;51001;CEUTA;Ceuta
00030;PSAJE;ALHAMBRA;51001;CEUTA;Ceuta
00032;CTRA;ALMADRABA;51002;CEUTA;Ceuta
00036;CALLE;ALMERIA;51002;CEUTA;Ceuta
00037;CALLE;ALMIRANTE LOBO;51001;CEUTA;Ceuta
00038;CALLE;ALONSO DE OJEDA;51002;CEUTA;Ceuta
00039;CALLE;ALTA;51002;CEUTA;Ceuta
00040;CALLE;ALTO DE LAS HERAS;51005;CEUTA;Ceuta
00041;CALLE;ALVAREZ;51001;CEUTA;Ceuta
00042;CALLE;AMARGURA;51001;CEUTA;Ceuta
00043;PSAJE;ANAYA;51002;CEUTA;Ceuta
00044;CALLE;ANDALUCIA;51002;CEUTA;Ceuta
04047;CALLE;ANDRES DEL RIO ABAURREA;51002;CEUTA;Ceuta
03325;LUGAR;ANTIGUA EST. FERROCARRIL;51001;CEUTA;Ceuta
00046;CALLE;ANTIOCO;51001;CEUTA;Ceuta
04095;CALLE;ANTONIA CESPEDES GALLEGO;51001;CEUTA;Ceuta
04083;CALLE;ANTONIO PARRADO GIL;51002;CEUTA;Ceuta
00443;CALLE;APOSTOL SANTIAGO;51001;CEUTA;Ceuta
00764;LUGAR;ARCOS QUEBRADOS;51003;PRINCIPE (EL);Ceuta
00049;CALLE;ARGENTINA;51002;CEUTA;Ceuta
04034;CALLE;ARQ.JAIME ANTON-PACHECO;51002;CEUTA;Ceuta
00051;CMNO;ARROYO DE LAS BOMBAS;51003;PRINCIPE (EL);Ceuta
