Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
00072;CALLE;;13610;CAMPO DE CRIPTANA;Ciudad Real
00384;TRVA;1 DE JULIO;13300;VALDEPEÑAS;Ciudad Real
00061;CALLE;1 DE MAYO;13593;SOLANA DEL PINO;Ciudad Real
00027;CALLE;10 DE ABRIL;13220;LLANOS DEL CAUDILLO;Ciudad Real
00009;CALLE;15 DE DICIEMBRE;13247;SAN CARLOS DEL VALLE;Ciudad Real
00578;CALLE;15 DE JUNIO DE 1977;13630;SOCUELLAMOS;Ciudad Real
00298;CALLE;18 DE JULIO (TO);13194;TORNO (EL);Ciudad Real
00361;CALLE;1º DE MAYO;13350;MORAL DE CALATRAVA;Ciudad Real
00302;CALLE;3 DE ABRIL;13230;MEMBRILLA;Ciudad Real
00120;TRVA;4 AVDA CASTILLA LA MANCHA;13249;RUIDERA;Ciudad Real
00385;CALLE;8 DE MARZO;13100;PIEDRABUENA;Ciudad Real
01447;AVDA;8 DE MARZO;13500;PUERTOLLANO;Ciudad Real
00400;CALLE;A (TO);13194;TORNO (EL);Ciudad Real
00024;CALLE;A. FERNANDEZ RODRIGUEZ;13130;FUENCALIENTE;Ciudad Real
00001;CALLE;ABADES;13410;AGUDO;Ciudad Real
00108;CALLE;ABAJO;13500;PUERTOLLANO;Ciudad Real
00177;CALLE;ABEN CANES;13002;CIUDAD REAL;Ciudad Real
00019;CALLE;ABENOJAR;13190;CORRAL DE CALATRAVA;Ciudad Real
00340;PLAZA;ABENOJAR;13500;PUERTOLLANO;Ciudad Real
00389;PRAJE;ABERTURA (LA);13300;VALDEPEÑAS;Ciudad Real
00297;CALLE;ABETO;13440;ARGAMASILLA DE CALATRAVA;Ciudad Real
00157;CALLE;ABOGADO JOSE ANTONIO;13420;MALAGON;Ciudad Real
00399;CALLE;ABREGO;13005;CIUDAD REAL;Ciudad Real
00031;CALLE;ABREVADERO;13116;SANTA QUITERIA;Ciudad Real
00001;CALLE;ABREVADERO;13343;VILLAMANRIQUE;Ciudad Real
00101;CALLE;ABRIL;13260;BOLAÑOS DE CALATRAVA;Ciudad Real
00374;FINCA;ABUELITO (EL);13710;ARGAMASILLA DE ALBA;Ciudad Real
00618;PRAJE;ABUELITO (EL);13710;ARGAMASILLA DE ALBA;Ciudad Real
01039;CALLE;ABUELO PALANCAS;13700;TOMELLOSO;Ciudad Real
00001;CALLE;ABULAGA;13400;ALMADEN;Ciudad Real
00001;CALLE;ACACIA;13340;ALBALADEJO;Ciudad Real
00002;CALLE;ACACIAS;13002;CIUDAD REAL;Ciudad Real
00142;CALLE;ACACIAS;13190;CORRAL DE CALATRAVA;Ciudad Real
00112;CALLE;ACACIAS;13195;POBLETE;Ciudad Real
00461;PLAZA;ACACIAS (DE LAS);13710;ARGAMASILLA DE ALBA;Ciudad Real
00353;COL;ACACIAS (LAS);13710;ARGAMASILLA DE ALBA;Ciudad Real
00001;CALLE;ACADEMICOS;13710;ARGAMASILLA DE ALBA;Ciudad Real
01111;CALLE;ACEBRON;13600;ALCAZAR DE SAN JUAN;Ciudad Real
01117;CALLE;ACEBUCHE;13600;ALCAZAR DE SAN JUAN;Ciudad Real
00457;CALLE;ACEITUNEROS (LOS);13240;SOLANA (LA);Ciudad Real
00419;CALLE;ACEQUIA;13270;ALMAGRO;Ciudad Real
