Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
00006;TRVA;1 ADELAIDA MURO;15002;CORUÑA (A);Coruña, A
05215;RUA;1 ANGUSTIA;15948;ANGUSTIA (A);Coruña, A
03101;RUA;1 AREOS;15949;AREOS (OS);Coruña, A
00014;TRVA;1 BERGANTIÑOS;15145;PAIOSACO;Coruña, A
00121;TRVA;1 CAMUZA (A);15113;CAMUZA (A);Coruña, A
05201;RUA;1 CONCHIDO;15948;CONCHIDO (O);Coruña, A
00653;RUA;1 CUBELIÑO;15960;SANTA UXIA DE RIBEIRA;Coruña, A
03116;RUA;1 LOMBIÑA;15949;LOMBIÑA (A);Coruña, A
01822;TRVA;1 MAGDALENA;15330;ORTIGUEIRA;Coruña, A
00107;TRVA;1 NEVES;15113;MALPICA;Coruña, A
01823;TRVA;1 PENELA;15330;ORTIGUEIRA;Coruña, A
00032;TRVA;1 REAL;15630;MIÑO;Coruña, A
05205;RUA;1 RIBEIRIÑA;15948;RIBEIRIÑA (A);Coruña, A
00108;TRVA;1 RIO;15113;MALPICA;Coruña, A
00099;TRVA;1 SAN RAMON;15113;MALPICA;Coruña, A
03002;RUA;10 DE MARZO;15570;NARON;Coruña, A
00594;PRAZA;10 DE MARZO;15179;PORTO DE SANTA CRUZ;Coruña, A
00012;RUA;10 DE MARZO DE 1972;15130;CORCUBION;Coruña, A
11025;AVDA;13 DE ABRIL;15258;PICOTA (A);Coruña, A
05216;RUA;2 ANGUSTIA;15948;ANGUSTIA (A);Coruña, A
03124;RUA;2 AREOS;15949;AREOS (OS);Coruña, A
00122;TRVA;2 CAMUZA (A);15113;CAMUZA (A);Coruña, A
05206;RUA;2 CONCHIDO;15948;CONCHIDO (O);Coruña, A
00654;RUA;2 CUBELIÑO;15960;SANTA UXIA DE RIBEIRA;Coruña, A
00970;TRVA;2 GAITEIRA;15009;CORUÑA (A);Coruña, A
03126;RUA;2 LOMBIÑA;15949;LOMBIÑA (A);Coruña, A
01824;TRVA;2 MAGDALENA;15330;ORTIGUEIRA;Coruña, A
00109;TRVA;2 NEVES;15113;MALPICA;Coruña, A
01825;TRVA;2 PENELA;15330;ORTIGUEIRA;Coruña, A
00033;TRVA;2 REAL;15630;MIÑO;Coruña, A
05207;RUA;2 RIBEIRIÑA;15948;RIBEIRIÑA (A);Coruña, A
00101;TRVA;2 SAN RAMON;15113;MALPICA;Coruña, A
00008;RUA;23 DE ABRIL;15563;SAN RAMON;Coruña, A
03125;RUA;3 AREOS;15949;AREOS (OS);Coruña, A
00655;RUA;3 CUBELIÑO;15960;SANTA UXIA DE RIBEIRA;Coruña, A
01826;TRVA;3 MAGDALENA;15330;ORTIGUEIRA;Coruña, A
00111;TRVA;3 NEVES;15113;MALPICA;Coruña, A
01827;TRVA;3 PENELA;15330;ORTIGUEIRA;Coruña, A
05208;RUA;3 RIBEIRIÑA;15948;RIBEIRIÑA (A);Coruña, A
00112;TRVA;3 RIO;15113;MALPICA;Coruña, A
00055;RUA;4;15406;FERROL;Coruña, A
00113;TRVA;4 NEVES;15113;MALPICA;Coruña, A
00114;TRVA;4 RIO;15113;MALPICA;Coruña, A
00056;RUA;5;15406;FERROL;Coruña, A
00115;TRVA;5 NEVES;15113;MALPICA;Coruña, A
00116;TRVA;5 RIO;15113;MALPICA;Coruña, A
00057;RUA;6;15406;FERROL;Coruña, A
00117;TRVA;6 RIO;15113;MALPICA;Coruña, A
00058;RUA;7;15406;FERROL;Coruña, A
00118;TRVA;7 RIO;15113;MALPICA;Coruña, A
00059;RUA;8;15406;FERROL;Coruña, A
00436;RUA;8 DE MARZO;15144;PEDRA;Coruña, A
00482;PRAZA;8 DE MARZO;15402;FERROL;Coruña, A
03107;RUA;8 DE MARZO;15570;NARON;Coruña, A
00135;RUA;8 DE MARZO;15320;PONTES DE GARCIA RODRIGUE;Coruña, A
00060;RUA;9;15406;FERROL;Coruña, A
01693;CALLE;A;15175;MATO GRANDE;Coruña, A
00045;RUA;A;15406;FERROL;Coruña, A
00090;PISTA;A;15214;PORTOBRAVO;Coruña, A
00036;RUA;A BARROSA;15630;MIÑO;Coruña, A
00037;RUA;A CARREIRA;15630;MIÑO;Coruña, A
00031;RUA;A CORUÑA;15270;CEE;Coruña, A
00032;RUA;A CORUÑA;15145;LARACHA (A);Coruña, A
05090;RUA;A ESMORGA;15705;SANTIAGO DE COMPOSTELA;Coruña, A
05105;RUA;A FRONTEIRA INFINDA;15705;SANTIAGO DE COMPOSTELA;Coruña, A
00006;AVDA;A LARACHA;15145;CAION;Coruña, A
05321;RUA;A PICOTA;15660;CAMBRE;Coruña, A
00042;RUA;A ZAPATEIRA;15830;NEGREIRA;Coruña, A
02118;RUA;A. AVILES DE TARAMANCOS;15940;POBRA DO CARAMIÑAL (A);Coruña, A
00042;RUA;A. BERENGUEL DE LANDOIRA;15200;NOIA;Coruña, A
00317;RUA;A. ROMERO E X. FRIEIRO;15920;RIANXO;Coruña, A
00001;CALLE;AAIUN;15010;CORUÑA (A);Coruña, A
00292;RUA;ABA;15177;ABA;Coruña, A
00370;RUA;ABAIXO;15621;CABANAS;Coruña, A
00170;RUA;ABAIXO;15121;AROU;Coruña, A
12093;BARRO;ABAIXO;15916;LESTROBE;Coruña, A
00069;RUERO;ABAIXO;15291;LOURO;Coruña, A
00263;RUA;ABAIXO;15920;RIANXO;Coruña, A
00192;RUA;ABAIXO;15160;FONTAN;Coruña, A
00070;RUA;ABAIXO (DE);15895;MILLADOIRO (O);Coruña, A
00386;RUA;ABAIXO (DE);15690;UXES;Coruña, A
00077;CALLE;ABAJO;15623;REDES;Coruña, A
06011;CMÑO;ABARQUEIROS (DOS);15578;FRAGA;Coruña, A
01950;LUGAR;ABASTEIRA;15339;SAN JUAN;Coruña, A
01100;PRAZA;ABASTOS;15680;ORDES;Coruña, A
02027;RUA;ABEDUL;15187;XALO (O);Coruña, A
00002;CALLE;ABEGONDO;15009;CORUÑA (A);Coruña, A
00126;RUA;ABEGONDO;15160;SADA;Coruña, A
00355;LUGAR;ABELEDO;15339;REDIZ;Coruña, A
11001;RUA;ABELEIRA;15679;TEMPLE (O);Coruña, A
00123;CMÑO;ABELEIRA;15528;POMBA (A);Coruña, A
00311;RUA;ABELEIRA;15627;GALLADA DE PIÑEIRO;Coruña, A
00355;RUA;ABELEIRA;15171;MORZAN;Coruña, A
02062;LUGAR;ABELEIRA;15368;SANTA MARIA;Coruña, A
00301;LUGAR;ABELEIRA;15684;PEDROUZO;Coruña, A
00522;RUA;ABELEIRAS;15178;ARILLO;Coruña, A
00501;LUGAR;ABELEIRAS;15684;CARBALLAL;Coruña, A
00447;RUA;ABELEIRAS (DAS);15144;MONTE ACIBEIRA;Coruña, A
00595;RUA;ABELLA;15171;CAMPAMENTO (O);Coruña, A
05013;RUA;ABELLEIRA (A);15185;QUEIXAS;Coruña, A
00506;RUA;ABELLEIRAS;15178;LOURIDO PEQUENO;Coruña, A
07045;CMÑO;ABELLEIRO (DO);15541;ABELLEIRO (O);Coruña, A
00067;RUA;ABELLOS (OS);15608;COSTA MIÑO GOLF;Coruña, A
00001;BARRO;ABESADAS;15960;SANTA UXIA DE RIBEIRA;Coruña, A
00133;RUA;ABESADAS;15960;SANTA UXIA DE RIBEIRA;Coruña, A
02028;RUA;ABETO;15187;XALO (O);Coruña, A
00520;AVDA;ABETOS (DOS);15108;FONDAL (O);Coruña, A
01801;CALLE;ABOGACIA;15006;CORUÑA (A);Coruña, A
01047;RUA;ABRAHAM LINCOLN;15179;PAZOS;Coruña, A
06135;RUA;ABRENOITE;15650;QUINTAN;Coruña, A
00201;LUGAR;ABRES;15684;ABRES;Coruña, A
00010;RUA;ABRIL ARES (DE);15704;SANTIAGO DE COMPOSTELA;Coruña, A
00674;RUA;ABRUÑEIROS (DOS);15100;CARBALLO;Coruña, A
00566;CMÑO;ABRUÑO;15178;AUGARRIO;Coruña, A
00928;LUGAR;ABUIS;15817;CASAL;Coruña, A
00628;RUA;ACACIA;15176;VILAR;Coruña, A
00013;RUA;ACACIAS;15220;BERTAMIRANS;Coruña, A
01816;RUA;ACANTO;15007;CORUÑA (A);Coruña, A
07010;CMÑO;ACARBADO (DO);15541;CANTEIROS;Coruña, A
05180;RUA;ACAROADA;15660;CAMBRE;Coruña, A
00566;CMNO;ACCESO A BOSQUE;15100;CARBALLO;Coruña, A
01924;CALLE;ACCESO A LA PLAYA;15339;PORTO DE ESPASANTE;Coruña, A
01388;CTRA;ACCESO PUERTO PETROLERO;15006;CORUÑA (A);Coruña, A
00001;CALLE;ACCESO Y DEFENSA A JARDIN;15900;PADRON;Coruña, A
00229;RUERO;ACEA (A);15259;ACEA (A);Coruña, A
00003;AVDA;ACEA DE AMA;15670;ACEA DE AMA;Coruña, A
02029;RUA;ACEBO;15187;XALO (O);Coruña, A
00030;RUA;ACEBOS;15881;MILLEIROS;Coruña, A
01001;RUA;ACEVEDO (O);15185;ACEVEDO (O);Coruña, A
80802;RUA;ACEVO;15100;CARBALLO;Coruña, A
00015;RUA;ACIBECHERIA (DA);15704;SANTIAGO DE COMPOSTELA;Coruña, A
00160;RUA;ACIBIDO;15320;PONTES DE GARCIA RODRIGUE;Coruña, A
00003;RUA;ACIVROS (OS);15565;IGREXA (A);Coruña, A
