Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
00113;POLIG;40;16350;CARBONERAS DE GUADAZAON;Cuenca
00114;POLIG;522 (PARCELA 1017);16350;CARBONERAS DE GUADAZAON;Cuenca
00001;CALLE;ABAJO;16433;ALCONCHEL DE LA ESTRELLA;Cuenca
00025;PLAZA;ABAJO;16195;POVEDA DE LA OBISPALIA;Cuenca
00075;CALLE;ABAJO;16195;POVEDA DE LA OBISPALIA;Cuenca
00095;CLLON;ABAJO;16195;POVEDA DE LA OBISPALIA;Cuenca
00002;CALLE;ABAJO;16152;BEAMUD;Cuenca
00006;CALLE;ABAJO;16851;BUCIEGAS;Cuenca
00075;PLAZA;ABAJO;16195;POVEDA DE LA OBISPALIA;Cuenca
00006;CALLE;ABAJO;16851;BUCIEGAS;Cuenca
00818;CALLE;ABAJO;16193;MELGOSA (LA);Cuenca
00215;CALLE;ABAJO;16532;SACEDA DEL RIO;Cuenca
00006;CALLE;ABAJO;16851;BUCIEGAS;Cuenca
00070;CALLE;ABAJO;16512;JABALERA;Cuenca
00033;CALLE;ABAJO;16452;TRIBALDOS;Cuenca
00046;PLAZA;ABAJO;16111;VILLAVERDE Y PASACONSOL;Cuenca
00003;CALLE;ABAJO;16373;YEMEDA;Cuenca
00015;CALLE;ABAJO;16212;RUBIELOS BAJOS;Cuenca
00019;CALLE;ABAJO;16144;RIBAGORDA;Cuenca
00068;TRVA;ABAJO (DE);16452;TRIBALDOS;Cuenca
00067;PLAZA;ABAJO (DE);16442;VILLARES DEL SAZ;Cuenca
00014;CALLE;ABARCON (DEL);16215;ALMODOVAR DEL PINAR;Cuenca
00001;CALLE;ABARCONES;16230;VILLANUEVA DE LA JARA;Cuenca
00001;CALLE;ABATE HERVAS;16410;HORCAJO DE SANTIAGO;Cuenca
00046;TRVA;ABEL YUNTA;16464;ALCAZAR DEL REY;Cuenca
00044;CALLE;ABENGOZAR;16196;VILLAR DE OLALLA;Cuenca
00137;CALLE;ABETOS;16320;TALAYUELAS;Cuenca
00482;CALLE;ABETOS (LOS);16600;SAN CLEMENTE;Cuenca
00002;CALLE;ABETUNAS;16410;HORCAJO DE SANTIAGO;Cuenca
00074;CALLE;ABIERTA;16639;SANTA MARIA DE LOS LLANOS;Cuenca
00217;CALLE;ABOGADO ZAMORA Y AGUILAR;16230;VILLANUEVA DE LA JARA;Cuenca
00088;CMNO;ABRIGAZO (DEL);16196;VILLAR DE OLALLA;Cuenca
00063;CALLE;ACACIA;16194;CHILLARON DE CUENCA;Cuenca
00004;CALLE;ACACIA;16336;SANTA CRUZ DE MOYA;Cuenca
00072;CMNO;ACACIA (DE LA);16433;CASALONGA;Cuenca
02731;CALLE;ACACIA UCETA;16002;CUENCA;Cuenca
00049;PASEO;ACACIAS;16610;CASAS DE FERNANDO ALONSO;Cuenca
00157;PASEO;ACACIAS;16330;LANDETE;Cuenca
00073;CALLE;ACACIAS;16510;MAZARULLEQUE;Cuenca
00175;PLAZA;ACACIAS (DE LAS);16460;BARAJAS DE MELO;Cuenca
00064;AVDA;ACEBO;16194;CHILLARON DE CUENCA;Cuenca
00065;TRVA;ACEBO;16194;CHILLARON DE CUENCA;Cuenca
02724;CALLE;ACEBO (EL);16002;CUENCA;Cuenca
00189;CALLE;ACEQUIA;16422;TRESJUNCOS;Cuenca
00375;CALLE;ACEQUIAS (LAS);16630;MOTA DEL CUERVO;Cuenca
00199;FINCA;ACEÑUELA (LA);16432;VILLAREJO DE FUENTES;Cuenca
00250;CALLE;ACTRIZ MARIA ISBERT;16670;PROVENCIO (EL);Cuenca
00154;CALLE;ADEMUZ;16330;LANDETE;Cuenca
00001;CALLE;ADMINISTRACION;16260;MINGLANILLA;Cuenca
00465;CALLE;ADOLFO MARSILLACH;16600;SAN CLEMENTE;Cuenca
00314;PLAZA;ADOLFO SUAREZ;16640;BELMONTE;Cuenca
00336;CALLE;ADOLFO SUAREZ;16239;CASASIMARRO;Cuenca
00614;AVDA;ADOLFO SUAREZ;16400;TARANCON;Cuenca
00032;CALLE;ADRIAN JAREÑO;16610;CASAS DE FERNANDO ALONSO;Cuenca
00110;LUGAR;AERODROMO;16612;CASAS DE ROLDAN;Cuenca
02784;CALLE;AFILADORES (DE LOS);16191;NOHALES;Cuenca
00001;CALLE;AFUERAS;16630;MOTA DEL CUERVO;Cuenca
00014;CALLE;AFUERAS DE HUETE;16461;LEGANIEL;Cuenca
00039;CALLE;AGAPITO BUSTOS;16464;ALCAZAR DEL REY;Cuenca
