Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
00066;CALLE;"MAESTRO" MANUEL PEREIRA;10817;CALZADILLA;Cáceres
00065;CALLE;"MEDICO" JULIO CLEMENTE;10817;CALZADILLA;Cáceres
00202;POLIG;1;10181;SIERRA DE FUENTES;Cáceres
10160;TRVA;1  CESAREO ENCABO;10310;TALAYUELA;Cáceres
00073;CALLI;1  DE MAIO;10890;VALVERDE DEL FRESNO;Cáceres
00022;CALLE;1  DE MAYO;10252;TORRECILLAS DE LA TIESA;Cáceres
00088;TRVA;1  TRAVESIA PRINCIPE;10135;ALCOLLARIN;Cáceres
00121;CALLE;1 DE MAYO;10529;MAJADAS;Cáceres
00071;TRVA;1 DE MAYO;10664;MOHEDAS DE GRANADILLA;Cáceres
00073;CALLE;1 DE MAYO;10664;MOHEDAS DE GRANADILLA;Cáceres
00080;POLIG;1 SUR;10490;VALVERDE DE LA VERA;Cáceres
00074;CALLE;1 TRAVESIA MOLINILLO;10230;HERGUIJUELA;Cáceres
00237;CALLE;11 DE MARZO;10520;CASATEJADA;Cáceres
00019;CALLE;11 DE MARZO;10661;SANTA CRUZ DE PANIAGUA;Cáceres
00960;CALLE;11-M;10200;TRUJILLO;Cáceres
30506;CALLE;12 DE OCTUBRE;10318;SANTA MARIA DE LAS LOMAS;Cáceres
00045;CALLE;150 ANIVERSARIO GUARDIA C;10815;GUIJO DE CORIA;Cáceres
00366;POLIG;19 POLIGONO CATASTRAL;10136;CAÑAMERO;Cáceres
10170;TRVA;2  CESAREO ENCABO;10310;TALAYUELA;Cáceres
00041;PLAZA;2 DE MAYO;10134;CAMPO LUGAR;Cáceres
00008;CALLE;2 DE MAYO;10189;SANTA ANA;Cáceres
00081;POLIG;2 SUR ESTE;10490;VALVERDE DE LA VERA;Cáceres
00075;CALLE;2 TRAVESIA MOLINILLO;10230;HERGUIJUELA;Cáceres
00073;CALLE;24 DE JULIO;10410;ARROYOMOLINOS DE LA VERA;Cáceres
00102;TRVA;2ª TRVA HERNAN CORTES;10320;BOHONAL DE IBOR;Cáceres
00204;POLIG;3;10181;SIERRA DE FUENTES;Cáceres
10172;TRVA;3  CESAREO ENCABO;10310;TALAYUELA;Cáceres
00085;CALLE;3 DE ABRIL;10529;MAJADAS;Cáceres
00082;POLIG;3 SUR OESTE;10490;VALVERDE DE LA VERA;Cáceres
00205;POLIG;4;10181;SIERRA DE FUENTES;Cáceres
10114;TRVA;4  CESAREO ENCABO;10310;TALAYUELA;Cáceres
00083;POLIG;4 CENTRO;10490;VALVERDE DE LA VERA;Cáceres
00054;POLIG;4 PARCELA 261;10393;VALDEHUNCAR;Cáceres
00206;POLIG;5;10181;SIERRA DE FUENTES;Cáceres
10180;TRVA;5  CESAREO ENCABO;10310;TALAYUELA;Cáceres
00047;POLIG;5, PARCELA 404;10393;VALDEHUNCAR;Cáceres
00207;POLIG;6;10181;SIERRA DE FUENTES;Cáceres
00138;CALLE;6 DE DICIEMBRE;10100;MIAJADAS;Cáceres
00001;CALLE;7 ESQUINAS;10720;VILLAR DE PLASENCIA;Cáceres
00209;POLIG;8;10181;SIERRA DE FUENTES;Cáceres
00046;CALLE;8 DE MARZO;10550;ALISEDA;Cáceres
01810;AVDA;8 DE MARZO;10100;MIAJADAS;Cáceres
03423;PLAZA;8 DE SEPTIEMBRE;10003;CACERES;Cáceres
00123;POLIG;8 PARCELA 62;10412;GARGANTA LA OLLA;Cáceres
00210;POLIG;9;10181;SIERRA DE FUENTES;Cáceres
