Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
00199;AVDA;1 DE MAYO;11693;ALCALA DEL VALLE;Cádiz
02201;CALLE;13 ROSAS;11150;VEJER DE LA FRONTERA;Cádiz
00372;PLAZA;14 DE ABRIL;11500;PUERTO DE STA MARIA (EL);Cádiz
00457;AVDA;14 DE ABRIL;11510;PUERTO REAL;Cádiz
15890;AVDA;1492;11540;BONANZA;Cádiz
00265;CALLE;21 DE ABRIL (DEL);11560;TREBUJENA;Cádiz
01156;CALLE;24 SEPTIEMBRE 1810;11100;SAN FERNANDO;Cádiz
00657;CALLE;25 DE NOVIEMBRE;11140;CONIL DE LA FRONTERA;Cádiz
00600;AVDA;28 DE FEBRERO;11149;FUENTE DEL GALLO;Cádiz
00011;URB;28 DE FEBRERO;11330;JIMENA DE LA FRONTERA;Cádiz
07900;AVDA;8 DE MARZO;11379;CORTIJILLOS;Cádiz
00591;CALLE;8 DE MARZO;11140;CONIL DE LA FRONTERA;Cádiz
05810;CALLE;A;11549;ALGAIDA (LA);Cádiz
00241;CALLE;A. LAUREANO BARRERA RUIZ;11630;ARCOS DE LA FRONTERA;Cádiz
02138;CALLE;ABAD;11130;CHICLANA DE LA FRONTERA;Cádiz
13310;CMNO;ABADEJO (DEL);11130;CHICLANA DE LA FRONTERA;Cádiz
01301;CALLE;ABADES;11630;ARCOS DE LA FRONTERA;Cádiz
00003;CALLE;ABADES;11403;JEREZ DE LA FRONTERA;Cádiz
00020;CALLE;ABADES;11540;SANLUCAR DE BARRAMEDA;Cádiz
00193;LUGAR;ABADIN;11620;DRAGO (EL);Cádiz
00030;CALLE;ABAJO;11691;TORRE ALHAQUIME;Cádiz
03603;CALLE;ABANICOS (DE LOS);11130;CHICLANA DE LA FRONTERA;Cádiz
00120;CALLE;ABASTOS;11500;PUERTO DE STA MARIA (EL);Cádiz
01401;CALLE;ABBASIDAS;11630;ARCOS DE LA FRONTERA;Cádiz
08645;CALLE;ABDERAHMAN;11406;JEREZ DE LA FRONTERA;Cádiz
00427;AVDA;ABDERRAMAN III;11648;ESPERA;Cádiz
00001;CALLE;ABEDUL;11640;BORNOS;Cádiz
00001;CALLE;ABEDUL;11640;BORNOS;Cádiz
18630;CALLE;ABEDUL;11540;SANLUCAR DE BARRAMEDA;Cádiz
00375;CALLE;ABEDUL;11369;TARAGUILLA;Cádiz
13109;CMNO;ABEDUL (DEL);11130;CHICLANA DE LA FRONTERA;Cádiz
09720;CALLE;ABEDUL (DEL);11300;LINEA LA CONCEPCION (LA);Cádiz
07540;CALLE;ABEDULES (LOS);11370;BARRIOS (LOS);Cádiz
00001;CALLE;ABEJARUCO (EL);11205;ALGECIRAS;Cádiz
00137;LUGAR;ABEJORUCO;11150;LIBREROS;Cádiz
01320;CALLE;ABEN ARABI;11380;TARIFA;Cádiz
00002;CALLE;ABETO;11149;ROCHE;Cádiz
00100;CALLE;ABETO;11550;CHIPIONA;Cádiz
08780;CALLE;ABETO;11591;GUADALCACIN;Cádiz
07380;PSAJE;ABETO;11300;LINEA LA CONCEPCION (LA);Cádiz
00425;CALLE;ABETO;11500;COSTA OESTE;Cádiz
00001;CALLE;ABETO;11510;PUERTO REAL;Cádiz
16440;CALLE;ABETO;11540;SANLUCAR DE BARRAMEDA;Cádiz
03030;CALLE;ABETO;11312;SAN ENRIQUE;Cádiz
00002;CALLE;ABETOS (LOS);11205;ALGECIRAS;Cádiz
01181;CALLE;ABETOS (LOS);11405;JEREZ DE LA FRONTERA;Cádiz
00004;CALLE;ABETOS (LOS);11390;BUJEO (EL);Cádiz
00906;BARDA;ABIERTAS (LAS);11630;SIERPE (LA);Cádiz
02262;CALLE;ABIERTAS DE CAULINA;11405;JEREZ DE LA FRONTERA;Cádiz
08135;LUGAR;ABIERTAS DE CAULINA;11591;GUADALCACIN;Cádiz
01473;CALLE;ABOGADOS DE OFICIO;11205;ALGECIRAS;Cádiz
00965;LUGAR;ABRAJANEJO;11630;ABRAJANEJO;Cádiz
01283;CALLE;ABREGO;11130;CHICLANA DE LA FRONTERA;Cádiz
00010;CALLE;ABREU;11002;CADIZ;Cádiz
52103;CMNO;ABUBILLA (DE LA);11130;CHICLANA DE LA FRONTERA;Cádiz
00003;CALLE;ABUBILLA (LA);11205;ALGECIRAS;Cádiz
39590;CALLE;ABUELA LOLE;11550;CHIPIONA;Cádiz
54372;CMNO;ABUELITOS (DE LOS);11130;CHICLANA DE LA FRONTERA;Cádiz
13116;CMNO;ABUELO (DEL);11130;CHICLANA DE LA FRONTERA;Cádiz
07230;CALLE;ABULAGA.URB.EL LAZARETO.;11370;BARRIOS (LOS);Cádiz
38100;PAGO;ABULAGAR;11550;CHIPIONA;Cádiz
00002;CALLE;ACACIA;11640;BORNOS;Cádiz
22103;CALLE;ACACIA;11350;CASTELLAR DE LA FRONTERA;Cádiz
03610;CALLE;ACACIA;11130;CHICLANA DE LA FRONTERA;Cádiz
08785;CALLE;ACACIA;11594;TORNO (EL);Cádiz
04470;PSAJE;ACACIA;11300;LINEA LA CONCEPCION (LA);Cádiz
00426;CALLE;ACACIA;11500;COSTA OESTE;Cádiz
10610;CALLE;ACACIA;11540;SANLUCAR DE BARRAMEDA;Cádiz
00338;CALLE;ACACIAS;11620;JEDULA;Cádiz
00020;CALLE;ACACIAS;11007;CADIZ;Cádiz
00003;CALLE;ACACIAS;11149;ROCHE;Cádiz
02019;CALLE;ACACIAS;11100;SAN FERNANDO;Cádiz
00004;CALLE;ACACIAS (LAS);11205;ALGECIRAS;Cádiz
00005;LUGAR;ACACIAS (LAS);11159;CAÑOS DE MECA (LOS);Cádiz
00590;CALLE;ACACIAS (LAS);11370;BARRIOS (LOS);Cádiz
01091;AVDA;ACACIAS (LAS);11407;JEREZ DE LA FRONTERA;Cádiz
01030;CALLE;ACACIAS LAS;11360;SAN ROQUE;Cádiz
00010;CALLE;ACADEMIA;11360;SAN ROQUE;Cádiz
20100;CMNO;ACANTILADO;11159;CAÑOS DE MECA (LOS);Cádiz
00319;CALLE;ACANTILADO;11510;PUERTO REAL;Cádiz
07575;CALLE;ACAPULCO;11407;JEREZ DE LA FRONTERA;Cádiz
00661;CALLE;ACAPULCO;11500;JUNCAL (EL);Cádiz
00005;APTOS;ACAPULCO APARTAMENTOS;11205;ALGECIRAS;Cádiz
04332;CALLE;ACEBO;11180;ALCALA DE LOS GAZULES;Cádiz
01384;CALLE;ACEBO;11205;ALGECIRAS;Cádiz
09845;CALLE;ACEBO;11406;JEREZ DE LA FRONTERA;Cádiz
52181;CMNO;ACEBO (DEL);11130;CHICLANA DE LA FRONTERA;Cádiz
00184;CALLE;ACEBUCHAL;11580;SAN JOSE DEL VALLE;Cádiz
00008;BARDA;ACEBUCHAL ALTO;11205;ALGECIRAS;Cádiz
20103;CMNO;ACEBUCHE;11159;CAÑOS DE MECA (LOS);Cádiz
00004;CALLE;ACEBUCHE;11401;JEREZ DE LA FRONTERA;Cádiz
00327;CALLE;ACEBUCHE;11659;PUERTO SERRANO;Cádiz
12190;CALLE;ACEBUCHE;11540;SANLUCAR DE BARRAMEDA;Cádiz
03040;CALLE;ACEBUCHE;11312;SAN ENRIQUE;Cádiz
00140;CALLE;ACEBUCHE;11190;BENALUP;Cádiz
54387;CMNO;ACEBUCHE (DEL);11130;CHICLANA DE LA FRONTERA;Cádiz
