Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
00607;PLAZA;"LA ERA";14512;MINA (LA);Córdoba
00091;CALLE;11 DE MARZO;14913;ENCINAS REALES;Córdoba
05965;CALLE;11 DE SEPTIEMBRE;14820;SANTA CRUZ;Córdoba
00164;CALLE;14 DE SEPTIEMBRE;14630;PEDRO ABAD;Córdoba
00073;CALLE;28 DE FEBRERO;14150;SAN SEBASTIAN DE LOS BALL;Córdoba
01027;CALLE;3 DE MAYO;14191;QUINTANA;Córdoba
00640;CALLE;7 DE MARZO;14110;ALDEA DE FUENTE CARRETERO;Córdoba
01110;CALLE;8 DE MARZO;14520;FERNAN NUÑEZ;Córdoba
00015;CALLE;A -P.I. EL GARROTAL-;14700;JARA (LA);Córdoba
00001;CALLE;A B C;14720;ALMODOVAR DEL RIO;Córdoba
00206;CTRA;A-339 CABRA A ALCALA;14800;PRIEGO DE CORDOBA;Córdoba
00265;CTRA;A-339 CABRA-ALCALA LA REA;14810;BERNABE;Córdoba
00115;CTRA;A-422;14280;BELALCAZAR;Córdoba
06057;CTRA;A-431 CORDOBA - PALMA DEL;14005;CORDOBA;Córdoba
06058;CTRA;A-431 CORDOBA - PALMA DEL;14193;HIGUERON (EL);Córdoba
06062;CTRA;A-431 CORDOBA - PALMA DEL;14005;MEDINA AZAHARA;Córdoba
06053;CTRA;A-431 CORDOBA PALMA MARG.;14710;VILLARRUBIA;Córdoba
77777;CTRA;A-431 CORDOBA PALMA MARGE;14710;MAJANEQUE;Córdoba
00003;CALLE;ABAD DE RUTE;14012;CORDOBA;Córdoba
00002;CALLE;ABAD PALOMINO;14800;PRIEGO DE CORDOBA;Córdoba
00006;CALLE;ABAD SANSON;14012;CORDOBA;Córdoba
00010;CALLE;ABAD SERRANO (AURORA);14900;LUCENA;Córdoba
00012;PLAZA;ABADES, DE;14003;CORDOBA;Córdoba
00001;PLAZA;ABASTOS (DE);14510;MORILES;Córdoba
00014;AVDA;ABDERRAMAN I;14012;CORDOBA;Córdoba
08028;CALLE;ABDERRAMAN I;14900;LUCENA;Córdoba
00015;CALLE;ABDERRAMAN III;14006;CORDOBA;Córdoba
00020;CALLE;ABDERRAMAN III;14700;PALMA DEL RIO;Córdoba
00001;CALLE;ABEDUL (EL);14920;AGUILAR DE LA FRONTERA;Córdoba
00479;CALLE;ABEDUL (EL);14546;SANTAELLA;Córdoba
00018;CALLE;ABEJAR;14002;CORDOBA;Córdoba
00258;FINCA;ABEJERAS;14220;ESTACION DE ESPIEL;Córdoba
00419;CALLE;ABEL ANTON;14960;RUTE;Córdoba
00027;CALLE;ABEN CUZMAN;14014;CORDOBA;Córdoba
00030;CALLE;ABEN HAZAN;14012;CORDOBA;Córdoba
00021;CALLE;ABEN MAZARRA;14006;CORDOBA;Córdoba
00024;CALLE;ABEN PASCUAL;14011;CORDOBA;Córdoba
00010;CALLE;ABENCALEZ;14520;FERNAN NUÑEZ;Córdoba
00020;CALLE;ABENTOJIL;14520;FERNAN NUÑEZ;Córdoba
00002;CALLE;ABETO (EL);14920;AGUILAR DE LA FRONTERA;Córdoba
00617;CALLE;ABETOS (LOS);14111;CHICA-CARLOTA;Córdoba
00001;CALLE;ABOGADO ARANDA;14270;HINOJOSA DEL DUQUE;Córdoba
00033;CALLE;ABOGADO ENRIQUEZ BARRIOS;14004;CORDOBA;Córdoba
00034;CALLE;ABOGADO MUÑOZ Y RAMIREZ V;14193;HIGUERON (EL);Córdoba
00001;PLAZA;ABRIL;14812;ALMEDINILLA;Córdoba
00035;CALLE;ABROJO;14012;CORDOBA;Córdoba
00010;CALLE;ACACIA;14840;CASTRO DEL RIO;Córdoba
00162;CALLE;ACACIA;14112;VENTILLA (LA);Córdoba
00342;CALLE;ACACIAS (LAS);14720;ALMODOVAR DEL RIO;Córdoba
00618;CALLE;ACACIAS (LAS);14111;CHICA-CARLOTA;Córdoba
