Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
05312;CALLE;;20303;IRUN;Gipuzkoa
06015;.;(IPINTZA)IPINTZA K.;20100;LEZO;Gipuzkoa
01115;.;1 ERREPIDE NAZIONALA;20250;LEGORRETA;Gipuzkoa
07035;.;1766KO MATXINADA;20730;AZPEITIA;Gipuzkoa
04690;CALLE;31 DE AGOSTO;20003;DONOSTIA / SAN SEBASTIAN;Gipuzkoa
02160;.;A.FLEMING KALEA;20570;BERGARA;Gipuzkoa
01110;.;ABALTZISKETA HIRIGUN;20269;ABALTZISKETA;Gipuzkoa
03400;.;ABARKETAGILEEN KALEA;20720;AZKOITIA;Gipuzkoa
07008;.;ABAROMENDI KALEA;20810;ORIO;Gipuzkoa
02006;.;ABENDAÑO AUZOA;20800;ZARAUTZ;Gipuzkoa
02917;.;ABENDAÑO KALEA;20800;ZARAUTZ;Gipuzkoa
01230;.;ABESLARI KALEA;20810;ORIO;Gipuzkoa
02101;.;ABONTZA-BIDE;20600;EIBAR;Gipuzkoa
00010;.;ADARRA KALEA;20160;LASARTE;Gipuzkoa
03501;CALLE;ADUANA;20303;IRUN;Gipuzkoa
07240;PLAZA;ADUNA DE;20018;DONOSTIA / SAN SEBASTIAN;Gipuzkoa
06008;.;AGAMUÑO KALEA;20494;HERNIALDE;Gipuzkoa
01180;.;AGARAITZ AUZOA;20150;VILLABONA;Gipuzkoa
06019;.;AGARAMUNDU PLAZA;20400;SAN BLAS;Gipuzkoa
06005;.;AGARRE BAILARA;20271;IRURA;Gipuzkoa
01132;.;AGARREKO BIDEA;20249;ITSASONDO;Gipuzkoa
07020;CMNO;AGERRE DE;20014;DONOSTIA / SAN SEBASTIAN;Gipuzkoa
05407;CALLE;AGERRE KALEA;20301;IRUN;Gipuzkoa
02310;.;AGERRE KALEA;20500;ARRASATE/MONDRAGON;Gipuzkoa
01111;.;AGERRE-AZPI;20496;BIDANIA;Gipuzkoa
01407;.;AGERREALDE ETXADIA;20180;ALTZIBAR;Gipuzkoa
05501;.;AGINAGA AUZOA;20600;AGINAGA;Gipuzkoa
01220;.;AGINAGA AUZOA;20170;AGINAGA;Gipuzkoa
06002;.;AGINAGA AUZOA;20700;AGINAGA;Gipuzkoa
06003;.;AGINAMENDI AUZOA;20739;BEIZAMA;Gipuzkoa
06020;.;AGINETA BIDEA;20115;ASTIGARRAGA;Gipuzkoa
01401;.;AGIRRE AUZOA;20730;AZPEITIA;Gipuzkoa
03450;.;AGIRRE AUZOA;20570;AGIRRE;Gipuzkoa
00030;CALLE;AGIRRE MIRAMON;20002;DONOSTIA / SAN SEBASTIAN;Gipuzkoa
02215;.;AGIRREALDEA;20800;ZARAUTZ;Gipuzkoa
06008;.;AGIRREBIDEA;20240;ORDIZIA;Gipuzkoa
01201;.;AGIRRETXE KALEA;20820;DEBA;Gipuzkoa
01202;.;AGIRRETXE PLAZA;20820;DEBA;Gipuzkoa
00040;CMNO;AGITI DE;20008;IGELDO;Gipuzkoa
06009;.;AGIÑA KALEA;20494;HERNIALDE;Gipuzkoa
06000;PASEO;AGORRENE DE;20018;DONOSTIA / SAN SEBASTIAN;Gipuzkoa
05901;.;AGOTEBIDEA;20749;ARROA BEHEA;Gipuzkoa
01520;.;AGUSTIN LEITZA ATZEK;20140;ANDOAIN;Gipuzkoa
01470;.;AGUSTIN LEITZA KALEA;20140;ANDOAIN;Gipuzkoa
01530;.;AGUSTIN LEITZA PLAZA;20140;ANDOAIN;Gipuzkoa
01109;.;AGUSTINA LIZARAZU K.;20100;LEZO;Gipuzkoa
01506;.;AGUSTINDARREN PLAZA;20120;HERNANI;Gipuzkoa
01230;.;AIA AUZOA;20211;AIA;Gipuzkoa
06004;.;AIAKO HARRIA;20100;ERRENTERIA;Gipuzkoa
01102;.;AIALDE KALEA;20180;ELIZALDE;Gipuzkoa
01910;.;AIASTIA (SAN MIGEL);20870;AIASTIA (SAN MIGEL);Gipuzkoa
06001;.;AIESTARAN ERREKA AU.;20247;ZALDIBIA;Gipuzkoa
00620;PASEO;AIETE DE;20009;DONOSTIA / SAN SEBASTIAN;Gipuzkoa
07002;.;AIHERRA KALEA;20577;ANTZUOLA;Gipuzkoa
01212;.;AIMAR ELOSEGI ANSA KALEA;20120;HERNANI;Gipuzkoa
01303;.;AINGERU GUARDA PASEA;20540;ESKORIATZA;Gipuzkoa
01210;.;AINGERU KALEA;20720;AZKOITIA;Gipuzkoa
00360;CMNO;AINGERU ZAINDARIA;20018;DONOSTIA / SAN SEBASTIAN;Gipuzkoa
01210;.;AINGURASUTEGI KALEA;20140;ANDOAIN;Gipuzkoa
00020;.;AINTZERGA;20492;BERASTEGI;Gipuzkoa
00050;PASEO;AINTZIETA DE;20014;DONOSTIA / SAN SEBASTIAN;Gipuzkoa
07008;.;AINTZIONDO KALEA;20280;AKARTEGI;Gipuzkoa
07019;.;AIOTZATEGI KALEA;20115;ASTIGARRAGA;Gipuzkoa
01350;.;AITA AGIRRE PLAZA;20870;ELGOIBAR;Gipuzkoa
03601;.;AITA DONOSTIA;20100;ERRENTERIA;Gipuzkoa
01330;.;AITA LARRAMENDI ATZE;20140;ANDOAIN;Gipuzkoa
01320;.;AITA LARRAMENDI K.;20140;ANDOAIN;Gipuzkoa
01180;.;AITA LERTXUNDI KALEA;20810;ORIO;Gipuzkoa
01190;.;AITA LIZARRALDE KALE;20560;OÑATI;Gipuzkoa
01560;.;AITA MADINA KALEA;20560;OÑATI;Gipuzkoa
03131;.;AITA MADINABEITIA PLAZA;20720;AZKOITIA;Gipuzkoa
01501;.;AITA MARI AUZUNEA;20750;ZUMAIA;Gipuzkoa
01570;.;AITA MORTARA KALEA;20560;OÑATI;Gipuzkoa
01411;.;AITA URDANETA AUZOA;20240;ORDIZIA;Gipuzkoa
06001;.;AITAMARREN ZAHARRA K;20215;ZEGAMA;Gipuzkoa
02004;.;AITZA AUZOA;20800;AITZA;Gipuzkoa
02601;.;AITZA KALEA;20800;ZARAUTZ;Gipuzkoa
06004;.;AITZARTE ALDEA;20211;SAN MARTIN;Gipuzkoa
07001;.;AITZGORRI KALEA;20214;SEGURA;Gipuzkoa
02665;PQUE;AITZOL;20011;DONOSTIA / SAN SEBASTIAN;Gipuzkoa
01105;.;AITZPEA KALEA;20809;AIA;Gipuzkoa
01607;.;AITZURI KALEA;20750;ZUMAIA;Gipuzkoa
07008;.;AITZURIAGA KALEA;20730;AZPEITIA;Gipuzkoa
01410;PASEO;AIXIN ZOLUA IBILBIDEA;20304;IRUN;Gipuzkoa
06001;.;AIXOLA AUZOA;20690;ELGETA;Gipuzkoa
04501;.;AIZARNATEBIDEA;20749;AIZARNA;Gipuzkoa
01110;.;AIZARNAZABAL HIRIAL.;20749;AIZARNAZABAL;Gipuzkoa
01240;.;AIZKIBEL KALEA;20720;AZKOITIA;Gipuzkoa
06010;CALLE;AIZKOLENE;20009;DONOSTIA / SAN SEBASTIAN;Gipuzkoa
00060;CALLE;AIZKORRI;20008;DONOSTIA / SAN SEBASTIAN;Gipuzkoa
06004;.;AIZKORRI AUNDI BAIL.;20495;ALBIZTUR;Gipuzkoa
01170;.;AIZKORRI KALEA;20870;ELGOIBAR;Gipuzkoa
01210;.;AIZKORRI KALEA;20230;LEGAZPI;Gipuzkoa
01201;.;AIZKORRI KALEA;20100;LEZO;Gipuzkoa
01608;.;AIZKORRI KALEA;20750;ZUMAIA;Gipuzkoa
01801;.;AIZKORRI PLAZA;20100;ERRENTERIA;Gipuzkoa
06003;.;AIZKORRI TXIKI BAIL.;20495;ALBIZTUR;Gipuzkoa
06006;.;AIZPEA AUZOA;20214;ZERAIN;Gipuzkoa
01401;.;AIZPITARTE PASABIDEA;20100;ERRENTERIA;Gipuzkoa
01111;.;AIZPIZKAR KALEA;20870;ELGOIBAR;Gipuzkoa
06006;.;AIZPURUTXO AUZOA;20720;ARRIETAMENDI;Gipuzkoa
07004;.;AIZTONAGA KALEA;20230;LEGAZPI;Gipuzkoa
01910;.;AIZTONDO KALEA;20140;SORABILLA;Gipuzkoa
00012;.;AIZTUNALDE;20492;BERASTEGI;Gipuzkoa
06010;.;AJOAIN AUZOA;20250;LEGORRETA;Gipuzkoa
07001;.;AKAN KALEA;20130;URNIETA;Gipuzkoa
01807;.;AKARTEGI AUZOA;20280;AKARTEGI;Gipuzkoa
01160;.;AKELARRE;20214;SEGURA;Gipuzkoa
01801;.;AKERREGI BAILARA;20120;AKERREGI;Gipuzkoa
01122;.;AKERREGI KALEA;20808;GETARIA;Gipuzkoa
01110;.;AKEZKOA AUZOA;20159;ELBARRENA;Gipuzkoa
01106;.;AKEZKOBAILARA;20159;ZIZURKIL;Gipuzkoa
03501;.;AKOABIDEA;20740;ZESTOA;Gipuzkoa
02001;.;ALABERGA;20100;ERRENTERIA;Gipuzkoa
01502;.;ALAI AUZUNEA;20750;ZUMAIA;Gipuzkoa
00080;GRUP;ALAIALDE;20012;DONOSTIA / SAN SEBASTIAN;Gipuzkoa
00090;GRUP;ALAIONDO;20012;DONOSTIA / SAN SEBASTIAN;Gipuzkoa
03301;CALLE;ALARDE;20303;IRUN;Gipuzkoa
03502;CALLE;ALBERTO LARZABAL;20303;IRUN;Gipuzkoa
01101;PLAZA;ALCALDE J. R. AGUIRRECHE;20302;IRUN;Gipuzkoa
00100;AVDA;ALCALDE J.ELOSEGI;20013;DONOSTIA / SAN SEBASTIAN;Gipuzkoa
02308;CALLE;ALCALDIA DE SACAS;20305;IRUN;Gipuzkoa
02310;.;ALDABA AUZOA;20267;ALDABA;Gipuzkoa
02393;.;ALDABATXIKI AUZOA;20400;AUZOTXIKIA;Gipuzkoa
01420;.;ALDAI KALEA;20500;ARRASATE/MONDRAGON;Gipuzkoa
01643;.;ALDAIBURU BIDEA;20180;UGALDETXO;Gipuzkoa
03520;.;ALDAIEGIA AUZOA;20570;ALDAIEGIA;Gipuzkoa
01430;.;ALDAIGAIN KALEA;20500;ARRASATE/MONDRAGON;Gipuzkoa
00130;CALLE;ALDAKOENEA;20012;DONOSTIA / SAN SEBASTIAN;Gipuzkoa
03701;.;ALDAKONEA;20100;ERRENTERIA;Gipuzkoa
00140;CALLE;ALDAMAR;20003;DONOSTIA / SAN SEBASTIAN;Gipuzkoa
01101;.;ALDAMAR KALEA;20808;GETARIA;Gipuzkoa
01120;.;ALDAMAR PARKEA;20808;GETARIA;Gipuzkoa
00150;CALLE;ALDAPA;20012;DONOSTIA / SAN SEBASTIAN;Gipuzkoa
06002;.;ALDAPA BAILARA;20494;ALKIZA;Gipuzkoa
01409;.;ALDAPA BEHEKOA KALEA;20180;ALTZIBAR;Gipuzkoa
01411;.;ALDAPA GOIKOA KALEA;20180;ALTZIBAR;Gipuzkoa
01410;.;ALDAPABEKO-ESTANKETA;20180;ALTZIBAR;Gipuzkoa
00160;CALLE;ALDAPABIDE;20012;DONOSTIA / SAN SEBASTIAN;Gipuzkoa
07131;CALLE;ALDAPARO;20305;IRUN;Gipuzkoa
01102;CALLE;ALDAPETA;20302;IRUN;Gipuzkoa
07003;.;ALDAPETA;20150;AMASA;Gipuzkoa
00170;CZADA;ALDAPETA DE;20009;DONOSTIA / SAN SEBASTIAN;Gipuzkoa
01230;.;ALDAPETA KALEA;20130;URNIETA;Gipuzkoa
02901;.;ALDAPETA KALEA;20800;ZARAUTZ;Gipuzkoa
