Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
01215;PLAÇA;(SA);17488;CADAQUES;Girona
00214;AV;11 DE SETEMBRE;17490;PORT (EL);Girona
00034;AV;11 SETEMBRE;17496;COLERA;Girona
00002;C/;19 DE NOVEMBRE DE 1933;17462;BORDILS;Girona
00051;TRAV;1A DE SANTA MARIA;17527;LLIVIA;Girona
00135;AV;22 DE FEBRER;17164;BONMATÍ;Girona
00019;TRAV;2A DE SANTA MARIA;17527;LLIVIA;Girona
00814;C/;8 DE MARÇ;17820;BANYOLES;Girona
00158;PLAÇA;8 DE MARÇ;17600;FIGUERES;Girona
00360;C/;A (URB. BUIXALLEU);17451;SANT FELIU DE BUIXALLEU;Girona
00025;CTRA;A LA SALA;17133;ULTRAMORT;Girona
00034;CAMI;A RUPIA;17133;ULTRAMORT;Girona
00306;C/;A. MASSAGUER BUIXALLEU;17400;BREDA;Girona
00043;C/;ABAD DOMNUL;17733;ALBANYA;Girona
00005;PLAÇA;ABADESSA EMMA;17860;ST JOAN DE LES ABADESSES;Girona
00300;PL;ABADIA;17400;BREDA;Girona
00007;PLAÇA;ABADIA;17860;ST JOAN DE LES ABADESSES;Girona
00001;C/;ABADIA;17760;VILABERTRAN;Girona
00008;PLAÇA;ABADIA (DE LA);17485;VILA-SACRA;Girona
00067;CAMI;ABAIX;17536;DORRIA;Girona
00001;PLAÇA;ABAT ARNULF;17500;RIPOLL;Girona
01055;PLAÇA;ABAT AURELI MARIA ESCARRE;17250;PLATJA D'ARO;Girona
00014;C;ABAT BERENGUER ARNAU;17860;ST JOAN DE LES ABADESSES;Girona
00018;PLAÇA;ABAT BERNAT ESTRUCH;17820;BANYOLES;Girona
01001;C/;ABAT BONITUS;17820;BANYOLES;Girona
00001;C;ABAT DE VILLALBA;17860;ST JOAN DE LES ABADESSES;Girona
00119;CARRE;ABAT ESCARRE;17100;BISBAL D'EMPORDA (LA);Girona
00010;CARRE;ABAT ESCARRE;17300;BLANES;Girona
00218;CARRE;ABAT ESCARRE;17490;PORT (EL);Girona
01169;C;ABAT ESCARRE;17200;PALAFRUGELL;Girona
00005;C;ABAT ESCARRÉ;17007;GIRONA;Girona
00002;C/;ABAT HORTOLA;17760;VILABERTRAN;Girona
00002;C;ABAT ISALGUER;17860;ST JOAN DE LES ABADESSES;Girona
00001;C/;ABAT OLIBA;17850;BESALU;Girona
00057;CARRE;ABAT OLIBA;17100;BISBAL D'EMPORDA (LA);Girona
00020;CARRE;ABAT OLIBA;17300;BLANES;Girona
00022;C/;ABAT OLIBA;17520;PUIGCERDA;Girona
00002;PLAÇA;ABAT OLIBA;17500;RIPOLL;Girona
00001;C/;ABAT OLIBA;17850;BESALU;Girona
00001;C/;ABAT OLIBA;17850;BESALU;Girona
00023;CARRE;ABAT OLIVA;17490;PORT (EL);Girona
00005;PLAÇA;ABAT OLIVA;17257;TORROELLA DE MONTGRI;Girona
00003;C;ABAT RAMON DE LA BISBAL;17860;ST JOAN DE LES ABADESSES;Girona
00004;C;ABAT RAMON DE VALLMANYA;17860;ST JOAN DE LES ABADESSES;Girona
00003;C/;ABAT RIGAU;17760;VILABERTRAN;Girona
00288;C/;ABAT SAMSÓ;17400;BREDA;Girona
00001;C;ABAT SUNYER;17220;SANT FELIU DE GUIXOLS;Girona
00053;CARRE;ABAT SUNYER;17253;EIXAMPLE - RAVAL DE BAIX;Girona
00001;CARRE;ABAT VILAFRESER;17170;AMER;Girona
00002;C/;ABAT ZAFONT;17850;BESALU;Girona
00003;C/;ABDON I SENEN;17820;BANYOLES;Girona
00233;PLAÇA;ABDON TERRADES;17600;FIGUERES;Girona
00127;VNAT;ABELLA (D');17869;ABELLA;Girona
00200;CTRA;ABELLA (D');17869;ROCA (LA);Girona
00248;PRAGE;ABELLARS;17110;FONTETA;Girona
00047;C/;ABELLEROLS (DELS);17150;SANT GREGORI;Girona
00001;CARRE;ABELLES (DE LES);17466;VILOPRIU;Girona
00162;PRAGE;ABELLÓ;17536;NEVÀ;Girona
09239;C/;ABET;17412;URB MAÇANET RESIDEN PARK;Girona
00111;CARRE;ABETS;17181;CAN JORDI;Girona
00004;C/;ABEURADOR;17820;BANYOLES;Girona
00290;CARRE;ABEURADOR;17256;PALS;Girona
00006;C;ABEURADORS;17004;GIRONA;Girona
00496;LLOC;ABRIGALL;17500;REMEI (EL);Girona
00475;C/;ACACIA;17251;CALONGE;Girona
00164;CARRE;ACACIA;17410;COMES (LES) - URBANITZACI;Girona
01005;CARRE;ACACIA;17257;TORROELLA DE MONTGRI;Girona
00001;C/;ACACIES;17853;ARGELAGUER;Girona
01021;CARRE;ACACIES;17249;CASTELL D'ARO;Girona
00001;PG;ACACIES;17853;ARGELAGUER;Girona
00030;BDA;ACACIES;17457;RIUDELLOTS DE LA SELVA;Girona
07020;CARRE;ACACIES;17258;TORROELLA DE MONTGRI;Girona
00115;PL;ACACIES (DE LES);17744;TORREMIRONA - URBANITZACI;Girona
00850;CTRA;ACCES COSTA BRAVA;17300;BLANES;Girona
00142;C/;ACUARIO-LLORELL;17320;SANTA MARIA DE LLORELL;Girona
00007;C;ACÀCIA;17004;FONT DE LA PÓLVORA;Girona
00101;C/;ACÀCIA;17421;CAN FORNACA;Girona
02019;C/;ACÀCIA (DE L');17241;PALOL D'ONYAR;Girona
00031;PG;ACÀCIES;17131;RUPIA;Girona
00497;CARRE;ADELA ROSA;17600;FIGUERES;Girona
00041;CARRE;ADELA TRAYTER;17100;BISBAL D'EMPORDA (LA);Girona
00091;C/;ADELAIDA;17464;CERVIA DE TER;Girona
00290;C;ADEN;17220;SANT FELIU DE GUIXOLS;Girona
00362;C/;ADOBERIES;17820;BANYOLES;Girona
00210;VNAT;ADRI;17199;ADRI;Girona
03005;CARRE;ADRIATIC;17258;ESTARTIT (L');Girona
00010;SECT;AEROCLUB;17487;EMPURIABRAVA;Girona
00015;SECT;AEROCLUB/BIBLOS;17487;EMPURIABRAVA;Girona
00050;CAMI;AERODROM (A L');17538;ESTOLL;Girona
00373;CTRA;AEROPORT;17185;VILOBÍ D'ONYAR;Girona
00384;PRAGE;AEROPORT;17185;VILOBÍ D'ONYAR;Girona
00195;CAMI;AERÒDROM (DE L');17538;ALP;Girona
00024;CARRE;AFORA;17490;VILA (LA);Girona
00124;LLOC;AFORES;17468;ORRIOLS;Girona
00010;PRAGE;AFORES;17141;BELLCAIRE D'EMPORDA;Girona
09100;LLOC;AFORES;17300;BLANES;Girona
00089;LLOC;AFORES;17464;CERVIA DE TER;Girona
00053;LLOC;AFORES;17832;ESPONELLA;Girona
00073;ZONA;AFORES;17531;GOMBREN;Girona
00026;PRAGE;AFORES;17257;GUALTA;Girona
00010;CARRE;AFORES;17141;BELLCAIRE D'EMPORDA;Girona
00026;SECT;AFORES;17257;GUALTA;Girona
00202;C;AFORES;17220;CASA NOVA;Girona
00051;CARRE;AFORES;17463;SANT JOAN DE MOLLET;Girona
00005;LLOC;AFORES;17467;SANT MORI (GENERIC);Girona
00001;CARRE;AFORES;17470;SANT PERE PESCADOR;Girona
00006;ZONA;AFORES;17133;SERRA DE DARO;Girona
00011;PRAGE;AFORES;17731;TERRADES;Girona
00030;CARRE;AFORES;17114;ULLASTRET;Girona
00128;PRAGE;AFORES;17469;AFORES;Girona
