Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
01270;CALLE;;18690;ALMUÑECAR;Granada
01384;CALLE;;18690;VELILLA-TARAMAY;Granada
00008;CALLE;;18512;HUENEJA;Granada
00011;CALLE;;18512;HUENEJA;Granada
00018;CALLE;;18512;HUENEJA;Granada
00021;CALLE;;18512;HUENEJA;Granada
00026;CALLE;;18512;HUENEJA;Granada
00027;CALLE;;18512;HUENEJA;Granada
00032;CALLE;;18512;HUENEJA;Granada
00034;CALLE;;18512;HUENEJA;Granada
00035;CALLE;;18512;HUENEJA;Granada
00036;CALLE;;18512;HUENEJA;Granada
00037;CALLE;;18512;HUENEJA;Granada
00042;CALLE;;18512;HUENEJA;Granada
00043;AVDA;;18512;HUENEJA;Granada
00044;CALLE;;18512;HUENEJA;Granada
03408;LUGAR;;18600;MOTRIL;Granada
03409;LUGAR;;18600;MOTRIL;Granada
01149;CALLE;;18320;SANTA FE;Granada
00028;CALLE;;18811;ZUJAR;Granada
00319;CALLE;;18811;ZUJAR;Granada
00275;AVIA;"E.S EL OLIVAR";18327;LACHAR;Granada
00168;CALLE;1 CALLEJON SANTA CLARA;18240;PINOS PUENTE;Granada
00046;CALLE;1 DE MAYO;18130;MALAHA (LA);Granada
01085;PLAZA;1 DE MAYO;18680;SALOBREÑA;Granada
01132;CALLE;1 DE MAYO;18320;SANTA FE;Granada
01091;CALLE;1 DE MAYO DE EL JAU;18329;JAU (EL);Granada
00170;CALLE;1 P SAN FAUSTINO;18240;PINOS PUENTE;Granada
00171;CALLE;1 P SAN FERMIN;18240;PINOS PUENTE;Granada
00172;CALLE;1 PARALELA CERRO BALDOMER;18240;PINOS PUENTE;Granada
00158;PLAZA;11 DE MARZO;18192;QUENTAR;Granada
00450;CALLE;11 DE MARZO;18101;BELICENA;Granada
00039;AVDA;11 DE MARZO DE 2004;18516;MARCHAL;Granada
01014;CALLE;12 DE OCTUBRE;18320;SANTA FE;Granada
01108;CALLE;13 ROSAS;18830;HUESCAR;Granada
01131;CALLE;14 DE ABRIL;18320;SANTA FE;Granada
00236;CALLE;17 DE ABRIL;18320;SANTA FE;Granada
00164;PLAZA;19 DE ABRIL;18220;ALBOLOTE;Granada
00186;CALLE;2 T SAN FAUSTINO;18240;PINOS PUENTE;Granada
00040;AVDA;21 DE MARZO;18567;DOMINGO PEREZ DE GRANADA;Granada
00181;CALLE;26 DE JULIO;18327;LACHAR;Granada
00431;CALLE;28 DE FEBRERO;18700;ALBUÑOL;Granada
00298;CALLE;28 DE FEBRERO;18339;ROMILLA LA NUEVA;Granada
00048;CALLE;28 DE FEBRERO;18538;DEHESAS DE GUADIX;Granada
00083;CALLE;28 DE FEBRERO;18130;ESCUZAR;Granada
00040;CALLE;28 DE FEBRERO;18513;FERREIRA;Granada
00048;CALLE;28 DE FEBRERO;18538;DEHESAS DE GUADIX;Granada
00004;CALLE;28 DE FEBRERO;18130;MALAHA (LA);Granada
01130;CALLE;28 DE FEBRERO;18320;SANTA FE;Granada
00065;CALLE;28 DE FEBRERO;18670;VELEZ DE BENAUDALLA;Granada
00067;CALLE;28 DE FEBRERO;18539;VILLANUEVA DE LAS TORRES;Granada
00183;AVDA;28 DE FEBRERO;18658;RESTABAL;Granada
00247;PLAZA;28 FEBRERO;18360;HUÉTOR TÁJAR;Granada
00140;CALLE;29 DE ABRIL;18130;MALAHA (LA);Granada
00229;CALLE;29 DE ABRIL;18140;ZUBIA (LA);Granada
00096;CALLE;3 DE ABRIL;18130;MALAHA (LA);Granada
00947;CALLE;3 DE ABRIL DE 1979;18140;ZUBIA (LA);Granada
00187;CALLE;3 P SAN FERMIN;18240;PINOS PUENTE;Granada
00276;CALLE;4 DE DICIEMBRE;18858;ORCE;Granada
01084;CALLE;6 DE DICIEMBRE;18320;SANTA FE;Granada
01122;PSAJE;8 DE MARZO;18830;HUESCAR;Granada
00310;CALLE;8 DE MARZO;18630;VILLA DE OTURA;Granada
00214;CALLE;8 DE MARZO;18450;MECINA BOMBARON;Granada
00114;CALLE;8 DE MAYO;18815;CAMPO CAMARA;Granada
00150;CALLE;A;18512;HUENEJA;Granada
03317;TRVA;A-PRINCIPADO DE ASTURIAS;18600;MOTRIL;Granada
00557;CALLE;A. MIGUEL R. SANCHEZ;18120;ALHAMA DE GRANADA;Granada
00422;CALLE;AARON;18210;PELIGROS;Granada
00059;CALLE;ABAD;18181;DARRO;Granada
10328;PLCET;ABAD (DE);18010;GRANADA;Granada
00350;CALLE;ABAD MEDINA;18480;UGIJAR;Granada
00001;CALLE;ABADES;18830;HUESCAR;Granada
