Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
00069;CALLE;12 DE OCTUBRE;19247;CARRASCOSA DE HENARES;Guadalajara
00070;CALLE;6 DE DICIEMBRE;19247;CARRASCOSA DE HENARES;Guadalajara
00001;CALLE;A;19174;GALAPAGOS;Guadalajara
00056;CALLE;ABAD ALONSO MENDOZA (DEL);19210;YUNQUERA DE HENARES;Guadalajara
00001;CTRA;ABAJO;19112;ALBARES;Guadalajara
00001;CALLE;ABAJO;19112;ALBARES;Guadalajara
00001;CALLE;ABAJO;19112;ALBARES;Guadalajara
00001;PLAZA;ABAJO;19112;ALBARES;Guadalajara
00001;CALLE;ABAJO;19112;ALBARES;Guadalajara
00001;CALLE;ABAJO;19112;ALBARES;Guadalajara
00001;CALLE;ABAJO;19112;ALBARES;Guadalajara
00001;CALLE;ABAJO;19112;ALBARES;Guadalajara
00001;CALLE;ABAJO;19112;ALBARES;Guadalajara
00001;CALLE;ABAJO (C);19274;CAÑAMARES;Guadalajara
00002;CALLE;ABAJO (DE);19112;ALBARES;Guadalajara
00001;CALLE;ABAJO (DE);19208;ALOVERA;Guadalajara
00004;PLAZA;ABAJO (DE);19490;BARRIOPEDRO;Guadalajara
00001;CALLE;ABAJO (DE);19208;ALOVERA;Guadalajara
00001;CALLE;ABAJO (DE);19208;ALOVERA;Guadalajara
00004;CALLE;ABAJO (DE);19490;BARRIOPEDRO;Guadalajara
00001;CALLE;ABAJO (DE);19208;ALOVERA;Guadalajara
00002;BARRO;ABAJO (DE);19112;ALBARES;Guadalajara
00063;PLAZA;ABAJO (DE);19120;SACEDON;Guadalajara
00001;CALLE;ABAJO (DE);19208;ALOVERA;Guadalajara
00001;CALLE;ABAJO (DE);19208;ALOVERA;Guadalajara
00026;CALLE;ABAJO (N);19278;NAHARROS;Guadalajara
00027;CALLE;ABAJO (T);19274;TORDELLOSO;Guadalajara
00001;CALLE;ABAJO ERAS;19463;POVEDA DE LA SIERRA;Guadalajara
00002;CTRA;ABANADES (DE);19432;RENALES;Guadalajara
00020;CALLE;ABEDUL;19192;BELTRANEJA (LA);Guadalajara
00037;CALLE;ABEDUL;19139;VALDELUZ;Guadalajara
00202;CALLE;ABEDUL (DEL);19171;CABANILLAS DEL CAMPO;Guadalajara
00055;CALLE;ABEDUL (DEL);19209;QUER;Guadalajara
00031;CALLE;ABEDULES;19119;MIRADOR (EL);Guadalajara
00058;CALLE;ABEDULES (DE LOS);19141;URBANIZACION MONTEJARAL;Guadalajara
00353;CALLE;ABEDULES (LOS);19200;AZUQUECA DE HENARES;Guadalajara
00042;CALLE;ABETO (DEL);19192;BELTRANEJA (LA);Guadalajara
00380;CALLE;ABETO (EL);19185;NUEVO MESONES;Guadalajara
00043;CALLE;ABETO (EL);19141;OLMILLO (EL);Guadalajara
00032;CALLE;ABETOS;19119;MIRADOR (EL);Guadalajara
00029;CALLE;ABETOS (DE LOS);19162;ARBOLEDA (LA);Guadalajara
00030;CALLE;ABETOS (DE LOS);19185;SOTOLARGO;Guadalajara
00001;CALLE;ABETOS (LOS);19200;AZUQUECA DE HENARES;Guadalajara
00001;CALLE;ABETOS (LOS);19200;AZUQUECA DE HENARES;Guadalajara
00001;CALLE;ABLANQUE (DE);19441;RIBA DE SAELICES;Guadalajara
00001;CALLE;ABRAZOS;19247;MEMBRILLERA;Guadalajara
00031;CALLE;ABRISCO (DEL);19320;ALUSTANTE;Guadalajara
00126;CALLE;ABUELOS (LOS);19420;CIFUENTES;Guadalajara
00001;PLAZA;ACACIA (LA);19230;COGOLLUDO;Guadalajara
00040;CALLE;ACACIA (LA);19141;OLMILLO (EL);Guadalajara
00001;CALLE;ACACIAS;19290;FONTANAR;Guadalajara
08004;PASEO;ACACIAS;19150;IRIEPAL;Guadalajara
00033;CALLE;ACACIAS;19119;MIRADOR (EL);Guadalajara
00069;CALLE;ACACIAS;19229;CEREZO DE MOHERNANDO;Guadalajara
00001;CALLE;ACACIAS;19290;FONTANAR;Guadalajara
00002;BULEV;ACACIAS (DE LAS);19200;AZUQUECA DE HENARES;Guadalajara
