Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
00789;CUSTA;"LA PANBLANCA";21100;PUNTA UMBRIA;Huelva
00094;PLAZA;12 DE OCTUBRE;21500;GIBRALEON;Huelva
00133;CALLE;15 DE AGOSTO;21870;ESCACENA DEL CAMPO;Huelva
00215;PLAZA;26 ABRIL 1963;21100;PUNTA UMBRIA;Huelva
00574;PLAZA;26 DE ABRIL;21100;PUNTA UMBRIA;Huelva
00143;GRUPO;28 DE FEBRERO;21330;SAN TELMO;Huelva
00072;CALLE;28 DE FEBRERO;21380;CUMBRES MAYORES;Huelva
00042;CALLE;28 DE FEBRERO;21890;MANZANILLA;Huelva
00581;CALLE;28 DE FEBRERO;21600;VALVERDE DEL CAMINO;Huelva
00337;CALLE;4 DE AGOSTO;21810;PALOS DE LA FRONTERA;Huelva
04327;CALLE;4 DE DICIEMBRE;21004;HUELVA;Huelva
00001;CALLE;A;21003;HUELVA;Huelva
00075;CALLE;A (CABEZAS);21559;HERRERIAS (LAS);Huelva
00575;CALLE;A (DEHESA PANIAJO);21620;TRIGUEROS;Huelva
00605;CALLE;A (LAGUNA DEL TORREJON);21620;TRIGUEROS;Huelva
00225;GRUPO;A (MANGANESO);21559;HERRERIAS (LAS);Huelva
00275;CALLE;A (MESAS DE ENMEDIO);21620;TRIGUEROS;Huelva
00685;CALLE;A (PINOS DE TRIGUEROS);21620;TRIGUEROS;Huelva
00111;GRUPO;A (SAN TELMO);21330;SAN TELMO;Huelva
00044;GRUPO;A (VALDELAMUSA);21330;VALDELAMUSA;Huelva
00366;CTRA;A BERROCAL;21640;ZALAMEA LA REAL;Huelva
00070;CALLE;A ESTRADA;21730;ALMONTE;Huelva
00243;CTRA;A SAN VICENTE;21640;ZALAMEA LA REAL;Huelva
00796;CTRA;A-5050;21100;PUNTA UMBRIA;Huelva
00045;GRUPO;A-B (VALDELAMUSA);21330;VALDELAMUSA;Huelva
01126;CALLE;A. MANUEL MARTINEZ ORIA;21440;LEPE;Huelva
09055;CALLE;A. MANUEL TORRES;21440;LEPE;Huelva
01195;CALLE;ABADESA INES ENRIQUE;21800;MOGUER;Huelva
00026;CALLE;ABAJO;21292;CASTAÑO DEL ROBLEDO;Huelva
00010;CALLE;ABAJO;21291;GALAROZA;Huelva
00017;CALLE;ABAJO;21388;HINOJALES;Huelva
00001;CALLE;ABAJO;21820;LUCENA DEL PUERTO;Huelva
00160;CALLE;ABAJO;21570;SANTA BARBARA DE CASA;Huelva
00105;CALLE;ABAJO (BUITRON);21647;BUITRON (EL);Huelva
00021;CALLE;ABAJO (MARIGENTA);21647;MARIGENTA;Huelva
00136;CALLE;ABAJO (POZUELO);21647;POZUELO (EL);Huelva
00091;CALLE;ABAJO (VILLAR);21649;VILLAR (EL);Huelva
00536;CALLE;ABDERRAMAN;21450;CARTAYA;Huelva
00329;CALLE;ABEDUL;21110;DEHESA GOLF;Huelva
01200;CALLE;ABEJARUCO;21830;BONARES;Huelva
00801;CMNO;ABEJARUCO (EL);21600;PINOS (LOS);Huelva
00008;CALLE;ABEL MORENO;21390;ENCINASOLA;Huelva
00394;CALLE;ABETO;21110;DEHESA GOLF;Huelva
00001;CALLE;ABETO;21450;CARTAYA;Huelva
00002;CALLE;ABETO;21006;HUELVA;Huelva
00121;CALLE;ABUBILLA;21110;ALJARAQUE;Huelva
00234;CALLE;ABUBILLA;21100;PUNTA UMBRIA;Huelva
00545;CALLE;ABUBILLA;21620;TRIGUEROS;Huelva
00889;CALLE;ABUBILLAS DE LAS;21409;PLAYA ISLA DE CANELA;Huelva
08800;PRAJE;ABULAGARES;21720;ROCIANA DEL CONDADO;Huelva
00259;CALLE;ACACIA;21649;PATRAS;Huelva
00890;CALLE;ACACIA;21400;AYAMONTE;Huelva
00828;CALLE;ACACIA;21450;CARTAYA;Huelva
00275;CALLE;ACACIA;21220;HIGUERA DE LA SIERRA;Huelva
00427;CALLE;ACACIAS;21100;PUNTA UMBRIA;Huelva
00140;CALLE;ACACIAS LAS;21510;SAN BARTOLOME DE LA TORRE;Huelva
00011;CALLE;ACADEMICO BENITEZ CASTRO;21292;CASTAÑO DEL ROBLEDO;Huelva
00691;CALLE;ACEBO;21450;CARTAYA;Huelva
00478;PLAZA;ACEBUCHAL;21750;ROCIO (EL);Huelva
00617;CALLE;ACEBUCHAL;21100;PUNTA UMBRIA;Huelva
