Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
00048;POLIG;1 ARAGU¡S;22338;ARAGUAS;Huesca
00049;POLIG;1 EL SOTO;22338;SOTO (EL);Huesca
00055;POLIG;108;22370;OTO;Huesca
00026;CALLE;18 DE JUNIO DE 1891;22700;JACA;Huesca
00047;POLIG;2 EL PLANO;22338;PLANO (EL);Huesca
00029;CALLE;2. TRAVESIA BARRIO NUEVO;22234;BALLOBAR;Huesca
00090;CALLE;20 DE JULIO;22630;BIESCAS;Huesca
00101;POLIG;5 PARCELA 261 TRIPALLOS;22870;VILLANUA;Huesca
00099;POLIG;5 PARCELA 291 RIO LONGAS;22870;VILLANUA;Huesca
00081;CALLE;7 DE FEBRERO DE 1883;22700;JACA;Huesca
00086;CALLE;A;22135;ALCALA DEL OBISPO;Huesca
00024;CALLE;A;22216;POLE—INO;Huesca
00165;CALLE;A (BANDALIES);22140;BANDALIES;Huesca
00037;CALLE;A BIELLA ESCUELA;22338;MOLINOS (LOS);Huesca
00560;CALLE;A RALLA (BADAGUAS);22714;BADAGUAS;Huesca
00009;CALLE;A'RUATA;22376;TORLA;Huesca
00025;CTRA;A-139;22467;VILLANOVA;Huesca
15821;FINCA;A.CHIAS (CAMINO VIEJO CIL;22006;HUESCA;Huesca
00002;CALLE;ABAD BANZO;22600;SABI—ANIGO;Huesca
00022;CALLE;ABADIA;22365;PARZAN;Huesca
00043;CALLE;ABADIA;22222;CASTEJON DE MONEGROS;Huesca
15941;FINCA;ABADIAS (CNO.VIEJO CILLAS;22006;HUESCA;Huesca
00021;CALLE;ABAJO;22421;ALINS DEL MONTE;Huesca
00001;CALLE;ABAJO;22569;BAELLS;Huesca
00007;CALLE;ABAJO;22571;BALDELLOU;Huesca
00017;CALLE;ABAJO;22572;CASTILLONROY;Huesca
00012;CALLE;ABAJO;22336;FORMIGALES;Huesca
00011;PLAZA;ABAJO;22584;PUENTE DE MONTA—ANA;Huesca
00005;CALLE;ABAJO;22585;LUZAS;Huesca
00026;CALLE;ABAJO (BENTUE DE RASAL);22150;BENTUE DE RASAL;Huesca
00017;CALLE;ABAJO (BONO);22487;BONO;Huesca
00020;CALLE;ABAJO (CASTANESA);22474;CASTANESA;Huesca
