Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
01818;CALLE;1  DE MAYO-LOS VILLARES;23749;VILLARES (LOS);Jaén
00248;CALLE;1  TRVA SAN ROQUE;23380;SILES;Jaén
00394;CALLE;1 DE MAYO;23220;VILCHES;Jaén
00408;PASEO;10 DE JUNIO;23640;TORREDELCAMPO;Jaén
00157;CALLE;2 DOMINGO DE MAYO;23790;PORCUNA;Jaén
00228;CALLE;27 DE MAYO;23264;CHICLANA DE SEGURA;Jaén
00173;CALLE;28 DE FEBRERO;23670;CASTILLO DE LOCUBIN;Jaén
00092;CALLE;28 DE FEBRERO;23110;PEGALAJAR;Jaén
01595;AVDA;28 DE FEBRERO;23400;UBEDA;Jaén
00460;CALLE;28 DE FEBRERO (DEL);23006;JAEN;Jaén
01594;CALLE;3 DE JULIO;23400;UBEDA;Jaén
01879;CALLE;6 DE DICIEMBRE;23749;VILLARES (LOS);Jaén
00174;CALLE;8 DE MARZO;23670;CASTILLO DE LOCUBIN;Jaén
00088;CALLE;8 DE MARZO;23620;MENGIBAR;Jaén
00470;AVDA;8 DE MARZO;23650;TORREDONJIMENO;Jaén
00145;CALLE;8 DE MARZO;23320;TORREPEROGIL;Jaén
00238;CALLE;A;23630;VILLARGORDO;Jaén
00091;CTRA;A-319;23479;ARROYO FRIO;Jaén
00556;CALLE;A. AMANECER LUCHANDO;23500;JODAR;Jaén
00553;CALLE;A. GUARDABOSQUES DE JODAR;23500;JODAR;Jaén
00113;CALLE;A. JOSE ANTONIO GALLEGO;23340;ARROYO DEL OJANCO;Jaén
01210;CALLE;ABAD DIEGO DAVILA;23680;ALCALA LA REAL;Jaén
00876;CALLE;ABAD LOCUBER;23710;BAILEN;Jaén
01616;CALLE;ABAD MOYA;23680;ALCALA LA REAL;Jaén
01617;CALLE;ABAD PALOMINO;23680;ALCALA LA REAL;Jaén
00001;CALLE;ABADES;23002;JAEN;Jaén
00001;PLAZA;ABAJO;23290;SANTIAGO DE LA ESPADA;Jaén
00001;PLAZA;ABASTOS;23657;ESCAÑUELA;Jaén
01406;CALLE;ABEDUL;23400;UBEDA;Jaén
01713;CALLE;ABEN JAKAN;23680;ALCALA LA REAL;Jaén
00006;CALLE;ABEN ZAYDE;23680;ALCALA LA REAL;Jaén
02006;CALLE;ABETO;23700;LINARES;Jaén
04937;CALLE;ABETO (DEL);23005;JAEN;Jaén
00166;CALLE;ABETOS (LOS);23790;PORCUNA;Jaén
00029;CALLE;ABOGADO MESIAS;23538;ALBANCHEZ DE MAGINA;Jaén
00847;CALLE;ABOGADOS DE ATOCHA;23710;BAILEN;Jaén
01714;CALLE;ABU-YAFAR;23680;ALCALA LA REAL;Jaén
00195;CALLE;ACACIA;23620;MENGIBAR;Jaén
01083;CALLE;ACACIA;23413;SANTA EULALIA;Jaén
00659;CALLE;ACACIAS (LAS);23291;PONTONES;Jaén
00236;CALLE;ACC. A PZA. VISTA ALEGRE;23170;GUARDIA DE JAEN (LA);Jaén
01833;CALLE;ACCES MIGUEL HERNANDEZ;23740;ANDUJAR;Jaén
00119;CTRA;ACCESO;23477;CHILLUEVAR;Jaén
00209;PRAJE;ACCESO A LINAREJOS;23690;FRAILES;Jaén
00180;CALLE;ACCESO A MEDIODIA;23192;CARCHELEJO;Jaén
00087;.;ACCESO A RAFAEL ZABALETA;23410;SABIOTE;Jaén
00126;CALLE;ACCESO AL NOGUERO;23477;CHILLUEVAR;Jaén
00293;CALLE;ACCESORIA DE SAN MARCOS;23730;VILLANUEVA DE LA REINA;Jaén
00478;.;ACCESORIA NORTE;23770;MARMOLEJO;Jaén
00054;CALLE;ACCION DE MENGIBAR;23620;MENGIBAR;Jaén
00233;CALLE;ACEBO;23370;ORCERA;Jaén
00275;CALLE;ACEBO;23380;SILES;Jaén
00026;ALDEA;ACEBUCHAR (EL);23211;ACEBUCHAR (EL);Jaén
00133;CALLE;ACEBUCHE;23477;CHILLUEVAR;Jaén
02213;CALLE;ACEBUCHE;23700;LINARES;Jaén
02211;CALLE;ACEITE;23700;LINARES;Jaén
00143;CALLE;ACEITE PICUAL VIRGEN;23120;CAMBIL;Jaén
00485;CALLE;ACEITE VIRGEN PICUAL;23660;ALCAUDETE;Jaén
00405;PLAZA;ACEITUNERAS;23160;VILLARES (LOS);Jaén
00900;CALLE;ACEITUNERO (EL);23440;BAEZA;Jaén
01207;AVDA;ACEITUNEROS;23600;MARTOS;Jaén
00444;PASEO;ACEITUNEROS (DE LOS);23640;TORREDELCAMPO;Jaén
00130;CALLE;ACEITUNEROS ALTIVOS;23500;JODAR;Jaén
01287;CALLE;ACEQUIA;23687;CHARILLA;Jaén
00284;CALLE;ACEQUIA;23670;CASTILLO DE LOCUBIN;Jaén
00128;CALLE;ACEQUIA (LA);23658;JAMILENA;Jaén
00001;CALLE;ACERA DEL RIO;23130;CAMPILLO DE ARENAS;Jaén
00001;CALLE;ACERA DEL ROSARIO;23140;NOALEJO;Jaén
00089;CALLE;ACERAL;23390;BENATAE;Jaén
04506;PLAZA;ACHO (DEL);23004;JAEN;Jaén
00550;.;ACRA;23480;ACRA;Jaén
02373;CALLE;ACUARIO;23700;LINARES;Jaén
00440;CALLE;ADARVE;23760;ARJONA;Jaén
00365;CALLE;ADARVE;23600;MARTOS;Jaén
00001;CALLE;ADARVEJO;23650;TORREDONJIMENO;Jaén
00001;CALLE;ADARVES;23120;CAMBIL;Jaén
00001;CALLE;ADARVES;23120;CAMBIL;Jaén
00003;CALLE;ADARVES ALTOS;23001;JAEN;Jaén
00004;CALLE;ADARVES BAJOS;23001;JAEN;Jaén
04796;CALLE;ADELANTADO (DEL);23009;JAEN;Jaén
00001;.;ADELFAR;23210;ADELFAR;Jaén
00103;CALLE;ADELFAS;23340;ARROYO DEL OJANCO;Jaén
00096;CALLE;ADENTRO (DE);23480;QUESADA;Jaén
00136;CALLE;ADOLFO SUAREZ GONZALEZ;23140;NOALEJO;Jaén
00577;CALLE;ADOLFO SUAREZ GONZALEZ;23460;PEAL DE BECERRO;Jaén
00001;CALLE;ADORADORES;23660;ALCAUDETE;Jaén
00002;CALLE;ADUANA;23740;ANDUJAR;Jaén
00003;PLAZA;ADUANA;23200;CAROLINA (LA);Jaén
00002;CALLE;AFAN DE RIVERA;23400;UBEDA;Jaén
00341;CALLE;AFRICA;23100;MANCHA REAL;Jaén
00002;CALLE;AFRICA;23650;TORREDONJIMENO;Jaén
00001;CALLE;AFRICA;23320;TORREPEROGIL;Jaén
00440;CALLE;AFUERA;23485;POZO ALCON;Jaén
00155;CALLE;AGRACEA;23350;PUENTE DE GENAVE;Jaén
00001;CALLE;AGRAMADEROS;23110;PEGALAJAR;Jaén
00617;CALLE;AGRICULTORES;23460;PEAL DE BECERRO;Jaén
00788;CALLE;AGRICULTORES (LOS);23710;BAILEN;Jaén
01860;CALLE;AGUA;23680;ALCALA LA REAL;Jaén
00002;CALLE;AGUA;23660;ALCAUDETE;Jaén
01032;CALLE;AGUA;23440;BAEZA;Jaén
