Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
01170;CALLE;"NENITA JORDAN";35639;TRIQUIVIJATE;Las Palmas
03376;CALLE;(CAPGE) GUTIERREZ MELLADO;35018;TAMARACEITE;Las Palmas
00796;AVDA;1  DE MAYO;35649;PARQUE HOLANDES;Las Palmas
00281;AVDA;3 DE ABRIL DE 1979;35650;COTILLO EL;Las Palmas
00089;CALLE;4 DE ABRIL;35470;ALDEA DE SAN NICOLAS (LA);Las Palmas
00050;AVDA;8 DE MARZO;35100;PLAYA DEL INGLES;Las Palmas
00859;PSAJE;8 DE MARZO;35110;SARDINA;Las Palmas
00682;CALLE;A;35620;PLAYITAS (LAS);Las Palmas
00010;PSAJE;AARON;35400;ARUCAS;Las Palmas
02770;CALLE;AARON;35018;GILES (LOS);Las Palmas
00691;CALLE;ABAES (LOS);35422;TRUJILLO;Las Palmas
00747;CALLE;ABAISE;35626;PIEDRAS CAIDAS;Las Palmas
00553;CALLE;ABARALEJO;35509;CALETAS (LAS);Las Palmas
00020;PSAJE;ABEDUL (EL);35412;CASTILLOS (LOS);Las Palmas
01090;CALLE;ABEDULES (LOS);35610;CASTILLO (EL);Las Palmas
01315;CALLE;ABEJARUCO (EL);35509;NAZARET;Las Palmas
00320;CALLE;ABETO;35218;PALMITAL (EL);Las Palmas
00030;PSAJE;ABETO (EL);35412;CASTILLOS (LOS);Las Palmas
01548;CALLE;ABIAN;35212;MARPEQUEÑA;Las Palmas
00001;CALLE;ABOGADO ANTONIO LIMIÑANA;35250;INGENIO;Las Palmas
02267;CALLE;ABOGADO JOSE SINTES REYES;35016;PALMAS GRAN CANARIA (LAS);Las Palmas
01210;CALLE;ABOGADO JUAN E QUEVEDO;35259;CARRIZAL;Las Palmas
02241;CALLE;ABOGADO MANUEL HDEZ GLEZ;35016;PALMAS GRAN CANARIA (LAS);Las Palmas
00458;CALLE;ABONA;35110;VECINDARIO;Las Palmas
00002;CALLE;ABORA;35431;BUENLUGAR;Las Palmas
02585;CALLE;ABORIGENES LOS;35018;TENOYA;Las Palmas
00001;CALLE;ABRAHAM CARDENES;35411;SANTIDAD;Las Palmas
00014;CALLE;ABRAHAM GONZALEZ;35460;GALDAR;Las Palmas
02602;CALLE;ABRAHAM LINCOLN;35018;GILES (LOS);Las Palmas
00064;CALLE;ABRAHAM LINCON;35460;GALDAR;Las Palmas
00817;CALLE;ABREPUÑO;35110;CRUCE DE SARDINA;Las Palmas
00004;CALLE;ABREU Y GALINDO;35001;PALMAS GRAN CANARIA (LAS);Las Palmas
01719;CALLE;ABREUT GALINDO;35530;VILLA DE TEGUISE;Las Palmas
01620;CALLE;ABUBILLA;35630;ANTIGUA;Las Palmas
00971;CALLE;ABUBILLA;35469;PUERTO DE SARDINA;Las Palmas
01901;CALLE;ABUBILLA;35660;CORRALEJO;Las Palmas
00214;CALLE;ABUBILLA;35625;MORRO JABLE;Las Palmas
00962;CALLE;ABUBILLA;35128;SANTA AGUEDA;Las Palmas
00116;CALLE;ABUBILLA;35560;TINAJO;Las Palmas
01338;CALLE;ABUBILLAS (LAS);35509;NAZARET;Las Palmas
00432;LUGAR;ABULETE (EL);35211;CAZADORES;Las Palmas
00005;CALLE;ACACIA;35019;PALMAS GRAN CANARIA (LAS);Las Palmas
00551;CALLE;ACACIA;35212;GARITA (LA);Las Palmas
02331;CALLE;ACACIA (LA);35412;VISVIQUE;Las Palmas
00598;CALLE;ACACIA (LA);35660;CORRALEJO;Las Palmas
08830;CALLE;ACACIA (LA);35330;TEROR;Las Palmas
01572;CALLE;ACACIAS (LAS);35500;ARRECIFE;Las Palmas
00692;CALLE;ACACIAS (LAS);35422;TRUJILLO;Las Palmas
00015;CALLE;ACACIAS (LAS);35100;SAN AGUSTIN;Las Palmas
01563;CALLE;ACACIAS (LAS);35508;COSTA TEGUISE;Las Palmas
00030;CALLE;ACACIAS (LAS);35580;PLAYA BLANCA;Las Palmas
00200;CALLE;ACACIAS LAS;35118;POLIGONO DE ARINAGA;Las Palmas
02563;CALLE;ACANTILADO LOS GIGANTES;35018;TENOYA;Las Palmas
01254;CALLE;ACAPULCO;35500;ARRECIFE;Las Palmas
00511;CALLE;ACAPULCO;35109;TABLERO (EL);Las Palmas
00056;CALLE;ACATIFE;35510;PUERTO DEL CARMEN;Las Palmas
00003;CALLE;ACAYMO;35413;TRES BARRIOS;Las Palmas
02603;CALLE;ACAYMO;35018;GILES (LOS);Las Palmas
00932;CALLE;ACAYMO;35558;TIAGUA;Las Palmas
10165;CTRA;ACCESO A ARUCAS GC-20;35415;CARDONES;Las Palmas
01191;CALLE;ACCESO AL COLEGIO;35309;ANGOSTURA (LA);Las Palmas
01192;CALLE;ACCESO AL MOLINO;35309;ANGOSTURA (LA);Las Palmas
01193;CALLE;ACCESO DE LOS ALEMANES;35309;ANGOSTURA (LA);Las Palmas
01743;CALLE;ACEBIÑO;35250;INGENIO;Las Palmas
05841;CALLE;ACEBIÑO;35308;VEGA DE ENMEDIO;Las Palmas
01581;CALLE;ACEBIÑO;35218;PALMITAL (EL);Las Palmas
00900;CALLE;ACEBIÑO;35217;BARRERA (LA);Las Palmas
00006;LUGAR;ACEBUCHAL;35018;SAN LORENZO;Las Palmas
00300;CALLE;ACEBUCHE;35260;AGUIMES;Las Palmas
00251;CALLE;ACEBUCHE;35630;CASTILLO (EL);Las Palmas
00935;CALLE;ACEBUCHE;35460;QUINTANAS Y PISO FIRME;Las Palmas
00003;CALLE;ACEBUCHE;35250;INGENIO;Las Palmas
01871;CALLE;ACEBUCHE;35660;CORRALEJO;Las Palmas
02396;CALLE;ACEBUCHE;35018;ALMATRICHE;Las Palmas
01186;CALLE;ACEBUCHE;35309;ANGOSTURA (LA);Las Palmas
00022;CALLE;ACEBUCHE;35110;CRUCE DE SARDINA;Las Palmas
01590;CALLE;ACEBUCHE;35211;VALLE DE LOS NUEVE;Las Palmas
00656;CALLE;ACEBUCHE;35628;TUINEJE;Las Palmas
00541;CALLE;ACEBUCHE;35217;BARRERA (LA);Las Palmas
02615;PSAJE;ACEBUCHE (EL);35412;CASTILLOS (LOS);Las Palmas
00515;CMNO;ACEBUCHE EL;35430;RISCO (EL);Las Palmas
01075;AVDA;ACEITUN (DEL);35629;GRAN TARAJAL;Las Palmas
00459;CALLE;ACENTEJO;35110;VECINDARIO;Las Palmas
00040;CALLE;ACENTEJO;35570;PUERTO CALERO;Las Palmas
02078;CALLE;ACEQUIA;35014;PALMAS GRAN CANARIA (LAS);Las Palmas
00661;CALLE;ACEQUIA;35110;DOCTORAL (EL);Las Palmas
00158;CALLE;ACEQUIA;35560;TINAJO;Las Palmas
00863;CALLE;ACEQUIA (LA);35339;TEROR;Las Palmas
00550;CALLE;ACEQUIA ALTA;35400;ARUCAS;Las Palmas
01744;CALLE;ACEQUIA CHICA;35250;INGENIO;Las Palmas
03370;CMNO;ACEQUIA DE LA LONGUERA;35329;LECHUZA (LA);Las Palmas
00794;CALLE;ACEQUIA DE LAS MARRERAS;35330;TEROR;Las Palmas
00400;LUGAR;ACEQUIA DE SAN ANTON;35260;AGUIMES;Las Palmas
00979;CMNO;ACEQUIA DE TAFIRA;35308;VEGA DE ENMEDIO;Las Palmas
03260;CALLE;ACEQUIA DE TAFIRA;35320;VEGA DE SAN MATEO;Las Palmas
