Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
00128;TRVA;1  CALLE CONSTITUCION;24123;OTERO DE LAS DUEÑAS;León
01171;TRVA;1 BARRADIECHO;24110;CABOALLES DE ABAJO;León
00129;TRVA;1 BARRIO DE ARRIBA;24412;CABAÑAS RARAS;León
00007;TRVA;1 CALLE LA CARRETERA;24323;CASTROTIERRA DE VALMADRIG;León
00014;TRVA;1 CALLE LA CONSTITUCION;24323;CASTROTIERRA DE VALMADRIG;León
00017;TRVA;1 CALLE SAN MARCOS;24323;CASTROTIERRA DE VALMADRIG;León
00071;TRVA;1 CAMINO REAL;24212;CABAÑAS RARAS;León
00069;TRVA;1 FONTANINAS;24412;CABAÑAS RARAS;León
00086;TRVA;1 LOS RUBIOS;24412;CABAÑAS RARAS;León
00195;CALLE;1 POLIGONO INDUSTRIAL;24231;ONZONILLA;León
00142;TRVA;1 POZONAS;24412;CORTIGUERA;León
00131;TRVA;1 SAN MARTIN;24412;CORTIGUERA;León
03690;TRVA;1 TRAVESIA CALLE REAL;24490;COLUMBRIANOS;León
00155;TRVA;1 VALDEMOLIN;24412;CORTIGUERA;León
00219;TRVA;10 CAMINO DE VILLAVERDE;24410;CAMPONARAYA;León
03699;TRVA;10 TRAVESIA CALLE REAL;24490;COLUMBRIANOS;León
00220;TRVA;11 CAMINO DE VILLAVERDE;24410;CAMPONARAYA;León
00001;CALLE;17 DE NOVIEMBRE;24560;TORAL DE LOS VADOS;León
00232;TRVA;1ª TRAV. CALLE MONTERRASO;24410;CAMPONARAYA;León
00130;TRVA;2 BARRIO DE ARRIBA;24412;CABAÑAS RARAS;León
00020;TRVA;2 CALLE LA CONSTITUCION;24323;CASTROTIERRA DE VALMADRIG;León
00015;TRVA;2 CALLE LAS ERAS;24323;CASTROTIERRA DE VALMADRIG;León
00072;TRVA;2 CAMINO REAL;24412;CABAÑAS RARAS;León
00070;TRVA;2 FONTANINAS;24412;CABAÑAS RARAS;León
00196;CALLE;2 POLIGONO INDUSTRIAL;24231;ONZONILLA;León
00132;TRVA;2 SAN MARTIN;24412;CORTIGUERA;León
00626;CALLE;2 TRAV. ARRIBA;24197;VILLANUEVA DEL ARBOL;León
03691;TRVA;2 TRAVESIA CALLE REAL;24490;COLUMBRIANOS;León
00436;CALLE;26 DE MARZO;24391;ANTIMIO DE ARRIBA;León
00239;TRVA;2ª TRAV. CALLE EL SARDON;24410;CAMPONARAYA;León
00227;TRVA;2ª TRAV. CALLE LA FERIA;24410;CAMPONARAYA;León
