Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
00130;CARRE;1 D'OCTUBRE;25200;CERVERA;Lleida
00343;PLAÇA;1 D'OCTUBRE;25790;OLIANA;Lleida
00019;PLAÇA;1 D'OCTUBRE;25174;SUNYER;Lleida
00423;CARRE;1 D'OCTUBRE;25750;TORA;Lleida
00086;PLAÇA;1 D'OCTUBRE (DEL);25136;CASTELLO DE FARFANYA;Lleida
00154;PLAÇA;1 D'OCTUBRE DE 2017;25243;PALAU D'ANGLESOLA (EL);Lleida
00140;POLIG;1 PARCEL.LA 40;25795;ARGESTUES;Lleida
00052;CARRE;101;25176;TORREBESSES;Lleida
00139;URBAT;11 DE SETEMBRE;25660;ALCOLETGE;Lleida
00072;PLAÇA;11 DE SETEMBRE;25263;PREIXANA;Lleida
00108;CARRE;11 DE SETEMBRE;25680;VALLFOGONA DE BALAGUER;Lleida
00112;CARRE;12 DE GENER BOLDU;25332;BOLDU;Lleida
00112;CARRE;17;25617;SENTIU DE SIO (LA);Lleida
00113;CARRE;18;25617;SENTIU DE SIO (LA);Lleida
00139;CARRE;1R. DE MAIG;25241;GOLMES;Lleida
00046;AV;27 DE GENER;25182;AITONA;Lleida
00184;TRSSI;27 GENER;25182;AITONA;Lleida
00295;CARRE;6 D'AGOST;25241;GOLMES;Lleida
00458;CARRE;8 DE MARÇ;25230;MOLLERUSSA;Lleida
00155;CARRE;A;25344;SANT MARTI DE MALDA;Lleida
00364;CTRA;A BAGERGUE;25598;SALARDU;Lleida
00405;CAMI;A BAGERGUE;25598;UNHA;Lleida
00444;CAMI;A BERET;25598;BAGERGUE;Lleida
00445;CTRA;A SALARDU;25598;BAGERGUE;Lleida
00174;CAMI;A VILANOVA DE BELLPUIG;25242;MIRALCAMP;Lleida
00134;CTRA;A VILANOVA DE SEGRIÀ;25133;SECÀ DEL MELÉ;Lleida
00776;PLAÇA;A. OLLE;25600;BALAGUER;Lleida
00015;CARRE;A.CREUS 'LO PACHECO';25005;LLEIDA;Lleida
00711;CARRE;A.G.B.S.;25620;TREMP;Lleida
00050;CARRE;ABAD CARRERA;25265;CASTELLNOU DE SEANA;Lleida
00123;CARRE;ABAD ESCARRE;25170;TORRES DE SEGRE;Lleida
00001;PLAÇA;ABAD OLIBA;25720;BELLVER DE CERDANYA;Lleida
00145;PLAÇA;ABAD TRILLA;25334;CASTELLSERA;Lleida
00229;CARRE;ABAD VIDAL;25125;ALGUAIRE;Lleida
00001;CARRE;ABADIA;25140;ARBECA;Lleida
00835;CARRE;ABADIA;25600;BALAGUER;Lleida
00001;CARRE;ABADIA;25140;ARBECA;Lleida
00319;CARRE;ABADIA;25655;ORCAU;Lleida
00120;PLAÇA;ABADIA;25243;PALAU D'ANGLESOLA (EL);Lleida
00031;CARRE;ABADIA;25318;PUIGVERD D'AGRAMUNT;Lleida
00023;CARRE;ABADIA;25480;TARRES;Lleida
00626;CARRE;ABADIA (DE L');25739;SERO;Lleida
00189;PLAÇA;ABAIX;25212;CONCABELLA;Lleida
08590;CARRE;ABAT ESCARRE;25001;LLEIDA;Lleida
01537;C/;ABAT ESCARRE;25300;TARREGA;Lleida
00106;CARRE;ABAT ESCARRE;25680;VALLFOGONA DE BALAGUER;Lleida
