Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
00309;RUA;;27650;PROBA (A);Lugo
00157;PRAZA;28 DE MAIO;27370;RABADE;Lugo
00277;RUA;A;27130;CADAVO (O);Lugo
00018;CMÑO;A;27150;OUTEIRO DE REI;Lugo
00019;RUA;A;27150;OUTEIRO DE REI;Lugo
00006;AVDA;A CORUÑA (DE);27370;RABADE;Lugo
01182;RUA;A PEGA-CMÑO DO CEMITERIO;27700;RIBADEO;Lugo
02634;RUA;ABADIN;27800;VILALBA;Lugo
00690;BARRO;ABAIXO;27430;SIOS DE ABAIXO;Lugo
00263;RUA;ABAIXO;27330;POBRA DO BROLLON (A);Lugo
00342;BARRO;ABAIXO;27334;FORNELAS;Lugo
01087;PRAZA;ABAIXO (DE);27700;RIBADEO;Lugo
00694;PLAZA;ABASTOS (DE);27460;SOBER;Lugo
00354;BARRO;ABELAIRA;27413;VILACHA;Lugo
00425;BARRO;ABELAIRAS;27559;ABELAIRAS;Lugo
01484;RUA;ABELARDO BAANANTE;27400;MONFORTE DE LEMOS;Lugo
01529;RUA;ABELEDOS;27400;MONFORTE DE LEMOS;Lugo
01764;RUA;ABELEDOS-FABEIRO;27400;MONFORTE DE LEMOS;Lugo
05557;RUA;ABETO;27294;LUGO;Lugo
04943;CRRIL;ABROTEGAS (DAS);27004;LUGO;Lugo
04760;RUA;ACACIA;27004;LUGO;Lugo
00467;RUA;ACADEMIA (DA);27550;TABOADA;Lugo
00328;PASEO;ACANTILADO (DO);27790;SAN BARTOLO;Lugo
01443;CALLE;ACCESO A RIOCOBO;27888;RIO COVO;Lugo
00148;CALLE;ACCESO AL MERCADO GANADER;27670;PEDRAFITA DO CEBREIRO;Lugo
00556;VIA;ACCESO PARQUE EMPRESARIAL;27640;BECERREA;Lugo
05403;RUA;ACEA DE OLGA;27002;LUGO;Lugo
01502;RUA;ACEA NOVA;27400;MONFORTE DE LEMOS;Lugo
00470;RUA;ACEBREIRO (DO);27287;PASTORIZA;Lugo
00721;BARRO;ACEDRE;27437;ACEDRE;Lugo
04796;RUA;ACEROLEIRO;27003;LUGO;Lugo
00922;RUA;ACEVEDO RODRIGUEZ;27700;RIBADEO;Lugo
01341;BARRO;ACEÑAS;27850;VIVEIRO;Lugo
04489;RUA;ACIVRO;27002;LUGO;Lugo
00720;BARRO;ADEGAS;27437;ACEDRE;Lugo
00425;RUA;ADOLFO SUAREZ;27360;POBRA DE SAN XIAO (A);Lugo
03139;AVDA;ADOLFO SUAREZ;27003;LUGO;Lugo
00176;CALLE;ADRIO (DO);27240;MEIRA;Lugo
01376;RUA;ADUANA (DA);27890;SAN CIBRAO;Lugo
00268;RUA;AFONSO DE SOLIS;27310;SAN CLODIO;Lugo
04468;RUA;AFONSO X O SABIO;27002;LUGO;Lugo
00350;RUA;AGOLADA A COTO (DA);27792;BENQUERENCIA-PRAIA;Lugo
00293;RUA;AGRA;27338;SALCEDO;Lugo
00290;RUA;AGRA (DA);27340;BOVEDA;Lugo
00665;RUA;AGRA (DA);27377;MUIMENTA;Lugo
01837;CMÑO;AGRA (DA);27400;MONFORTE DE LEMOS;Lugo
01194;RUA;AGRA (DA);27392;OURAL (O);Lugo
05581;CMÑO;AGRA VELLA (DA);27003;LUGO;Lugo
00318;CMÑO;AGRAMONTE-A;27870;XOVE;Lugo
00319;CMÑO;AGRAMONTE-B;27870;XOVE;Lugo
00320;CMÑO;AGRAMONTE-C;27870;XOVE;Lugo
01868;BARRO;AGRELOS;27416;AGRELOS;Lugo
05458;RUA;AGRICULTURA (DA);27003;LUGO;Lugo
00476;RUA;AGRO (DO);27550;TABOADA;Lugo
04749;RUA;AGRO CEDEIRA;27003;LUGO;Lugo
05452;CMÑO;AGRO DA PONTE;27004;LUGO;Lugo
04569;RUA;AGRO DA TORNA;27002;LUGO;Lugo
00667;RUA;AGRO DO CERDEIRO;27200;PALAS DE REI;Lugo
05435;RUA;AGRO DO GRANXEIRO;27003;LUGO;Lugo
04663;RUA;AGRO DO MONTE;27003;LUGO;Lugo
00095;CALLE;AGRO DO ROLO;27200;PALAS DE REI;Lugo
05477;LUGAR;AGRO NAVEIRA (MONTIRON);27002;LUGO;Lugo
04563;RUA;AGROS (DOS);27002;LUGO;Lugo
00324;BARRO;AGUA;27798;VILAMARTIN PEQUENO;Lugo
05078;RUA;AGUIA;27003;LUGO;Lugo
00348;BARRO;AIRA;27346;RENDAR;Lugo
05547;RUA;AIRAS (DAS);27297;LUGO;Lugo
00345;BARRO;AIREXE;27341;BARDAOS;Lugo
01138;BARRO;AIREXE;27392;TEIVENTE;Lugo
00441;BARRO;AIREXE;27555;AIREXE;Lugo
00240;ACCES;AL CENTRO MEDICO;27744;RODRIGAS (AS);Lugo
04872;PRAZA;ALACANTE;27004;LUGO;Lugo
04727;RUA;ALAMO;27003;LUGO;Lugo
00034;URB;ALARGOS I (OS);27154;URBANIZACION ALARGOS (OS);Lugo
00033;URB;ALARGOS II (OS);27154;URBANIZACION ALARGOS (OS);Lugo
