Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
00836;AVDA;1  DE MAYO;28521;RIVAS-VACIAMADRID;Madrid
02277;URB;109 VILLAS;28224;POZUELO DE ALARCON;Madrid
10049;PLAZA;11 DE MARZO (DEL);28807;ALCALA DE HENARES;Madrid
00128;CALLE;11 DE MARZO (DEL);28816;VALDEAVERO;Madrid
00059;CALLE;12 DE OCTUBRE;28320;PINTO;Madrid
60633;AVDA;14 DE ABRIL (DEL);28905;GETAFE;Madrid
01921;CALLE;15 DE MAYO (DEL);28770;COLMENAR VIEJO;Madrid
01563;EXTRR;16;28440;TABLADA;Madrid
00420;PLAZA;19 DE ABRIL;28521;RIVAS-VACIAMADRID;Madrid
00143;AVDA;2;28991;VACIASILOS;Madrid
01918;CALLE;2 DE FEBRERO (DEL);28770;COLMENAR VIEJO;Madrid
01919;TRVA;2 DE FEBRERO (DEL);28770;COLMENAR VIEJO;Madrid
00074;AVDA;21 DE MARZO (DEL);28760;TRES CANTOS;Madrid
00433;CALLE;23 DE JULIO;28521;RIVAS-VACIAMADRID;Madrid
00288;AVDA;25 DE NOVIEMBRE;28950;MORALEJA DE ENMEDIO;Madrid
00105;CALLE;3 DE ABRIL (DEL);28813;POZUELO DEL REY;Madrid
00349;CALLE;3 DE ABRIL DE 1979;28640;CADALSO DE LOS VIDRIOS;Madrid
01920;CALLE;6 DE DICIEMBRE (DEL);28770;COLMENAR VIEJO;Madrid
10174;PLAZA;8 DE MARZO;28933;MOSTOLES;Madrid
00125;CALLE;A;28514;NUEVO BAZTAN;Madrid
00341;CTRA;A 42 MADRID TOLEDO;28914;BUTARQUE;Madrid
00082;AVIA;A-1;28750;SAN AGUSTIN DEL GUADALIX;Madrid
00023;CTRA;A-1 (BURGOS);28709;S SEBASTIAN DE LOS REYES;Madrid
47822;AVIA;A-3;28051;MADRID;Madrid
00103;CTRA;A-42;28991;TORREJON DE LA CALZADA;Madrid
10048;CTRA;A3 A ALCALA POR MEJORADA;28840;VALDECELADA;Madrid
00128;CALLE;ABAD ISIDORO OCAMPO (DEL);28695;NAVAS DEL REY;Madrid
00129;CALLE;ABAD JERONIMO HURTADO (DE;28695;NAVAS DEL REY;Madrid
46040;CALLE;ABAD JUAN CATALAN;28032;MADRID;Madrid
00003;CALLE;ABADA;28013;MADRID;Madrid
00004;CALLE;ABADES;28012;MADRID;Madrid
00005;CALLE;ABADESA;28039;MADRID;Madrid
00064;CALLE;ABAJO;28580;AMBITE;Madrid
