Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
13027;CMNO;"EL CHEPE";30815;ALPORCHONES;Murcia
00303;AVDA;10 DE AGOSTO;30892;LIBRILLA;Murcia
00965;AVDA;12 DE OCTUBRE;30600;ARCHENA;Murcia
01247;CALLE;15 CORONAS-ALTORREAL;30506;ROMERAL;Murcia
42056;CMNO;17 ARCOS (DE LOS);30811;ALCALA;Murcia
00982;CALLE;27 DE MAYO;30509;LLANO (EL);Murcia
01248;CALLE;30 CORONAS-ALTORREAL;30506;ROMERAL;Murcia
01633;CALLE;30 DE DICIEMBRE;30195;ARCHIVEL;Murcia
00789;PLAZA;8 DE MARZO;30510;YECLA;Murcia
03170;CALLE;A;30820;ALCANTARILLA;Murcia
00481;CALLE;A (COTO RIÑALES);30420;REPOSADERAS (LAS);Murcia
01444;CALLE;A-5;30333;ALMAGROS (LOS);Murcia
00866;CALLE;ABAD (EL);30430;CEHEGIN;Murcia
00100;CALLE;ABAD DE LOS ARCOS;30800;LORCA;Murcia
00001;CALLE;ABAD JOSE SOLA;30510;YECLA;Murcia
02166;CALLE;ABAD PIERRE;30500;MOLINA DE SEGURA;Murcia
02990;CALLE;ABADEJO (ROLDAN);30709;ROLDAN;Murcia
17015;CMNO;ABADES (DE LOS);30813;ABADES (LOS) Y LAS NORIAS;Murcia
19057;CMNO;ABADES (LOS);30813;ABADES (LOS) Y LAS NORIAS;Murcia
18001;LUGAR;ABADES Y LAS NORIAS (LOS);30813;ABADES (LOS) Y LAS NORIAS;Murcia
07571;CALLE;ABADESA (DE LA);30310;SAN ANTONIO ABAD;Murcia
07572;CALLE;ABADIA (DE LA);30310;SAN ANTONIO ABAD;Murcia
00019;CALLE;ABAJO;30190;ALBUDEITE;Murcia
00001;CALLE;ABAJO;30180;BULLAS;Murcia
00343;BARRO;ABAJO;30626;BAÑOS (LOS);Murcia
00001;CALLE;ABAJO;30180;BULLAS;Murcia
00010;CALLE;ABAJO;30850;TOTANA;Murcia
08123;CALLE;ABANICO (DEL);30330;LOMAS (LAS);Murcia
04521;CALLE;ABANILLA;30593;PALMA (LA);Murcia
00002;CTRA;ABANILLA;30628;GINETA (LA);Murcia
13378;CALLE;ABANILLA;30592;JERONIMOS Y AVILESES;Murcia
00002;CALLE;ABANILLA;30628;GINETA (LA);Murcia
00001;CALLE;ABANILLA;30740;SAN PEDRO DEL PINATAR;Murcia
02267;CALLE;ABANILLA;30708;JIMENADO;Murcia
00090;CALLE;ABANILLA;30613;VIRGEN DEL CARMEN;Murcia
00548;CALLE;ABANILLA;30510;YECLA;Murcia
00002;CTRA;ABANILLA (DE);30148;MATANZAS;Murcia
01086;CALLE;ABARAN;30840;ALHAMA DE MURCIA;Murcia
00865;CALLE;ABARAN;30600;ARCHENA;Murcia
00180;CTRA;ABARAN;30540;ESTACION FERREA;Murcia
05336;CALLE;ABARAN;30593;PALMA (LA);Murcia
00004;CALLE;ABARAN;30100;MURCIA;Murcia
00004;CALLE;ABARAN;30100;MURCIA;Murcia
01179;CALLE;ABARAN;30730;SAN JAVIER;Murcia
00002;CALLE;ABARAN;30740;SAN PEDRO DEL PINATAR;Murcia
02268;CALLE;ABARAN;30708;JIMENADO;Murcia
00005;CALLE;ABARAN;30850;TOTANA;Murcia
00091;CALLE;ABARAN;30613;VIRGEN DEL CARMEN;Murcia
00549;CALLE;ABARAN;30510;YECLA;Murcia
00010;AVDA;ABARAN (DE);30559;BARRANCO MOLAX;Murcia
21000;AVDA;ABARAN (DE);30530;CIEZA;Murcia
09769;LUGAR;ABASTO (EL);30395;APARECIDA (LA);Murcia
00306;PLAZA;ABASTOS;30800;LORCA;Murcia
00010;PLAZA;ABASTOS (DE);30880;AGUILAS;Murcia
00005;CALLE;ABDERRAHAMAN II;30009;MURCIA;Murcia
01264;CALLE;ABDERRAMAN II;30430;CEHEGIN;Murcia
02711;CALLE;ABDERRAMAN III;30739;DOLORES;Murcia
08747;CALLE;ABEDUL;30205;TENTEGORRA;Murcia
04055;CALLE;ABEDUL;30870;MAZARRON;Murcia
06167;CALLE;ABEDUL;30150;ALBERCA DE LAS TORRES;Murcia
02262;CALLE;ABEDUL;30730;SAN JAVIER;Murcia
02751;CALLE;ABEDUL;30700;HOYAMORENA;Murcia
20580;CALLE;ABEDULES;30875;SALADILLO;Murcia
10000;CALLE;ABEJARUCO;30594;POZO ESTRECHO;Murcia
00926;CALLE;ABEL ANTON;30565;TORRES DE COTILLAS (LAS);Murcia
00006;CALLE;ABELARDO VALERO;30150;ALBERCA DE LAS TORRES;Murcia
00101;CALLE;ABELLAN;30800;LORCA;Murcia
11430;CRRIL;ABELLAN;30012;HUERTA DE SAN BENITO;Murcia
00001;PLAZA;ABELLAN;30176;PLIEGO;Murcia
00962;CALLE;ABELLANEDA;30800;LORCA;Murcia
00966;TRVA;ABELLANEDA;30800;LORCA;Murcia
01056;LUGAR;ABELLANEDA (LA);30739;MIRADOR (EL);Murcia
02747;CMNO;ABELLON (DEL);30509;LLANO (EL);Murcia
11572;CRRIL;ABELLONES;30579;RINCON DEL GALLEGO;Murcia
15401;CALLE;ABELLONES (LOS);30570;BENIAJAN;Murcia
00015;CALLE;ABENARABI;30889;CALABARDINA;Murcia
00003;CALLE;ABENARABI;30310;DOLORES (LOS);Murcia
00008;CALLE;ABENARABI;30007;MURCIA;Murcia
00992;CALLE;ABENEYZOR;30442;BENIZAR;Murcia
00416;CALLE;ABENHALAJ;30800;LORCA;Murcia
00009;CALLE;ABETO;30157;SANTUARIO DE LA FUENSANTA;Murcia
02152;CALLE;ABETO;30739;MIRADOR (EL);Murcia
03114;CALLE;ABETO;30700;HOYAMORENA;Murcia
05085;CMNO;ABETO (DEL);30820;CAÑADA HERMOSA;Murcia
08851;CALLE;ABETO (DEL);30205;TENTEGORRA;Murcia
60098;CALLE;ABETO (DEL);30815;TRAVIESA;Murcia
00455;CALLE;ABETO (DEL);30710;ALCAZARES (LOS);Murcia
00276;CALLE;ABETO (DEL) (TOSCAS);30509;ROMERAL;Murcia
07113;CALLE;ABETO-PLAYASOL 1;30860;PUERTO DE MAZARRON;Murcia
00164;CALLE;ABETOS (VIENTOS);30500;MOLINA DE SEGURA;Murcia
05611;LUGAR;ABISPAOS (LOS);30858;CANTAREROS (LOS);Murcia
09428;CRRIL;ABOGADO;30011;DOLORES (LOS);Murcia
00003;AVDA;ABOGADO D. GINES ASENSIO;30564;LORQUI;Murcia
16188;CALLE;ABOGADO FELIPE ORTEGA;30004;MURCIA;Murcia
09664;CALLE;ABRAZO (DEL);30395;PUEBLA (LA);Murcia
01084;CALLE;ABREGO;30320;FUENTE ALAMO;Murcia
09834;CALLE;ABREMANOS;30593;PALMA (LA);Murcia
00002;CALLE;ABREVADERO;30410;PINILLA;Murcia
07588;LUGAR;ABREVADERO (EL);30380;BARRANCO;Murcia
00922;CALLE;ABRIL;30800;LORCA;Murcia
60082;VREDA;ABRILES (DE LOS);30815;BERENGUELES (LOS);Murcia
09835;CALLE;ABROTANO;30593;PALMA (LA);Murcia
20453;CALLE;ABRUCENA;30875;SALADILLO;Murcia
01558;CALLE;ABUBILLA;30740;IMBERNONES (LOS);Murcia
00013;CALLE;ABUELITOS;30011;DOLORES (LOS);Murcia
00076;CALLE;ABUELO (DEL);30191;CAMPOS DEL RIO;Murcia
00003;PLAZA;ABUL KHATAR;30400;CARAVACA DE LA CRUZ;Murcia
01418;LUGAR;ABUZADERAS DE ABAJO;30412;MORALEJO (EL) Y JUNQUERA;Murcia
01419;LUGAR;ABUZADERAS DE ARRIBA;30412;MORALEJO (EL) Y JUNQUERA;Murcia
32001;CALLE;ACACIA;30810;ZARCILLA DE RAMOS;Murcia
13444;CALLE;ACACIA;30153;CORVERA;Murcia
02752;CALLE;ACACIA;30700;HOYAMORENA;Murcia
00581;CMNO;ACACIA (DE LA);30628;RAMBLA SALADA;Murcia
00838;PLAZA;ACACIA (DE LA);30332;ESTRECHO (EL);Murcia
28054;CALLE;ACACIA (TOVA LA);30811;FUENSANTA (LA);Murcia
00004;CALLE;ACACIAS;30370;CALA REONA;Murcia
00004;CALLE;ACACIAS;30370;CALA REONA;Murcia
04811;PASEO;ACACIAS;30120;PALMAR O LUGAR D. JUAN;Murcia
09211;PLAZA;ACACIAS;30120;PALMAR O LUGAR D. JUAN;Murcia
01241;CALLE;ACACIAS;30720;SANTIAGO DE LA RIBERA;Murcia
00803;CALLE;ACACIAS (ALTORREAL);30506;ROMERAL;Murcia
00020;PASEO;ACACIAS (DE LAS);30880;AGUILAS;Murcia
05560;CMNO;ACACIAS (DE LAS);30870;MAZARRON;Murcia
05565;PLAZA;ACACIAS (DE LAS);30870;MAZARRON;Murcia
11637;CALLE;ACACIAS (LAS);30366;ALGAR (EL);Murcia
00005;CALLE;ACACIAS (LAS);30564;LORQUI;Murcia
07115;CALLE;ACACIAS-PLAYASOL 1;30860;PUERTO DE MAZARRON;Murcia
02003;CALLE;ACADEMIA;30840;ALHAMA DE MURCIA;Murcia
14720;AVDA;ACADEMIA DE INFANTERIA;30007;CASAS DEL CAMINO CHURRA;Murcia
00434;LUGAR;ACADEMIA GENERAL DEL AIRE;30729;SANTIAGO DE LA RIBERA;Murcia
01274;AVDA;ACADEMIA GENERAL DEL AIRE;30720;SANTIAGO DE LA RIBERA;Murcia
13286;CALLE;ACADEMICA CARMEN CONDE;30150;ALBERCA DE LAS TORRES;Murcia
08124;CALLE;ACANTILADO;30368;URRUTIAS (LOS);Murcia
00493;CALLE;ACANTILADOS;30710;ALCAZARES (LOS);Murcia
00025;CALLE;ACANTO (DEL);30880;AGUILAS;Murcia
00026;TRVA;ACANTO (DEL);30880;AGUILAS;Murcia
00340;CALLE;ACANTO (DEL);30509;ROMERAL;Murcia
10402;APTOS;ACAPULCO;30380;MANGA DEL MAR MENOR (LA);Murcia
11054;CALLE;ACAPULCO;30368;URRUTIAS (LOS);Murcia
11783;POLIG;ACAPULCO;30380;MANGA DEL MAR MENOR (LA);Murcia
00920;URB;ACAPULCO DEL MEDITERRANEO;30380;MANGA DEL MAR MENOR (LA);Murcia
09837;CALLE;ACEBO;30593;PALMA (LA);Murcia
20426;CALLE;ACEBOS;30875;SALADILLO;Murcia
60104;CALLE;ACEBUCHE (DEL);30815;TRAVIESA;Murcia
07652;CALLE;ACEBUCHE (EL);30205;BARRIO DE LA CONCEPCION;Murcia
00939;CALLE;ACEBUCHES (LOS);30507;ROMERAL;Murcia
01035;CMNO;ACEDUCHE (DEL);30609;ALGAIDA;Murcia
62201;CMNO;ACEITES;30815;AMARGUILLO;Murcia
60071;CMNO;ACEITUNAS (DE LAS);30815;BERENGUELES (LOS);Murcia
59010;PRAJE;ACEMBUCHE (DEL);30530;RAMBLAS (LAS);Murcia
01189;LUGAR;ACENICHE (EL);30430;VALDELPINO;Murcia
00011;CALLE;ACEQUETA;30564;LORQUI;Murcia
01640;CALLE;ACEQUIA;30410;PRADOS (LOS);Murcia
00015;CALLE;ACEQUIA;30100;MURCIA;Murcia
00001;CALLE;ACEQUIA;30565;TORRES DE COTILLAS (LAS);Murcia
00003;CALLE;ACEQUIA;30140;SANTOMERA;Murcia
00251;CALLE;ACEQUIA (DE LA);30180;BULLAS;Murcia
00005;AVDA;ACEQUIA (DE LA);30562;CEUTI;Murcia
00122;CALLE;ACEQUIA (DE LA);30509;TORREALTA;Murcia
00012;CALLE;ACEQUIA (LA);30564;LORQUI;Murcia
00017;CALLE;ACEQUIA ALJADA;30161;HUERTA DE LLANO DE BRUJAS;Murcia
14519;CALLE;ACEQUIA ANQUIJANES;30007;CASILLAS (LUGAR DE) O ERM;Murcia
15342;CALLE;ACEQUIA CARAVIJA;30110;CASTELLAR (EL);Murcia
05866;CRRIL;ACEQUIA DE ALGUAZAS;30012;ZAMBRANA;Murcia
14387;TRVA;ACEQUIA DE ALGUAZAS DOS;30012;BARRIO DEL PROGRESO;Murcia
15187;CMNO;ACEQUIA DE BARRERAS;30832;JAVALI NUEVO;Murcia
11575;CRRIL;ACEQUIA DE BENETUCER;30161;SALAR (EL);Murcia
09714;CMNO;ACEQUIA DE BENIEL;30580;ALQUERIAS;Murcia
00732;CALLE;ACEQUIA DE ESPUÑA;30840;ALHAMA DE MURCIA;Murcia
13052;CMNO;ACEQUIA DE LA SIERRA;30120;PALMAR O LUGAR D. JUAN;Murcia
00479;CALLE;ACEQUIA DE ZARAICHE;30140;SANTOMERA;Murcia
14050;CMNO;ACEQUIA DEL CARACOL;30110;CABEZO DE TORRES;Murcia
15645;TRVA;ACEQUIA DEL CARACOL;30160;HUERTA DE MONTEAGUDO;Murcia
14517;CMNO;ACEQUIA DEL TURBEDAL;30166;ERMITA DE BURGOS;Murcia
08117;CRRIL;ACEQUIA NUEVA DEL RAAL;30162;HUERTA DE SANTA CRUZ;Murcia
15345;CALLE;ACEQUIA SANTAREN;30110;CASTELLAR (EL);Murcia
01400;CALLE;ACERA DEL SOL I;30195;ARCHIVEL;Murcia
01401;CALLE;ACERA DEL SOL II;30195;ARCHIVEL;Murcia
01402;CALLE;ACERA DEL SOL III;30195;ARCHIVEL;Murcia
