Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
00047;LUGAR;;29197;TOTALAN;Málaga
00953;CALLE;"EL CANARIO";29500;ALORA;Málaga
05161;CALLE;1 (HILL CLUB S.BLANCA);29602;MARBELLA;Málaga
03865;CALLE;1 (URB CASCADA CAMOJAN);29602;MARBELLA;Málaga
05215;CALLE;1 L (TORTUGAS DE ALOHA);29660;NUEVA ANDALUCIA;Málaga
04215;CALLE;1-L;29660;NUEVA ANDALUCIA;Málaga
04212;CALLE;1-L (URB BALCON DEL GOLF);29660;NUEVA ANDALUCIA;Málaga
03991;CALLE;10 (URB GUADALMINA BAJA);29670;SAN PEDRO ALCANTARA;Málaga
04321;CALLE;10-A URB GUADALMINA BAJA;29670;SAN PEDRO ALCANTARA;Málaga
03993;CALLE;11 (URB GUADALMINA BAJA);29670;SAN PEDRO ALCANTARA;Málaga
00202;CALLE;11 DE MARZO;29470;CUEVAS DEL BECERRO;Málaga
03990;CALLE;12 (URB GUADALMINA BAJA);29670;SAN PEDRO ALCANTARA;Málaga
00217;CALLE;12 DE OCTUBRE (LOS LLANOS;29210;CUEVAS DE SAN MARCOS;Málaga
03983;CALLE;13 (URB GUADALMINA BAJA);29670;SAN PEDRO ALCANTARA;Málaga
03989;CALLE;14 (URB GUADALMINA BAJA);29670;SAN PEDRO ALCANTARA;Málaga
03994;CALLE;15 (URB GUADALMINA BAJA);29670;SAN PEDRO ALCANTARA;Málaga
04519;CALLE;16 (GUADALMINA BAJA);29670;SAN PEDRO ALCANTARA;Málaga
04320;CALLE;16 URB GUADALMINA BAJA;29670;SAN PEDRO ALCANTARA;Málaga
03987;CALLE;17 (URB GUADALMINA BAJA);29670;SAN PEDRO ALCANTARA;Málaga
05490;CALLE;18 (URB GUADALMINA ALTA);29670;SAN PEDRO ALCANTARA;Málaga
04015;CALLE;18-A (GUADALMINA ALTA);29670;SAN PEDRO ALCANTARA;Málaga
05194;CALLE;18-A (POBLADO MARBELLI);29670;SAN PEDRO ALCANTARA;Málaga
04019;CALLE;19 (URB GUADALMINA ALTA);29670;SAN PEDRO ALCANTARA;Málaga
04507;CALLE;19 A (GUADALMINA ALTA);29670;SAN PEDRO ALCANTARA;Málaga
04506;CALLE;19 B (GUADALMINA ALTA);29670;SAN PEDRO ALCANTARA;Málaga
00172;CALLE;19 DE ABRIL;29530;ALAMEDA;Málaga
04508;CALLE;19 F (GUADALMINA ALTA);29670;SAN PEDRO ALCANTARA;Málaga
04020;CALLE;19-C (GUADALMINA ALTA);29670;SAN PEDRO ALCANTARA;Málaga
05016;CALLE;19-D (GUADALMINA ALTA);29670;SAN PEDRO ALCANTARA;Málaga
04018;CALLE;19-E (GUADALMINA ALTA);29670;SAN PEDRO ALCANTARA;Málaga
04518;CALLE;2 (GUADALMINA BAJA);29670;SAN PEDRO ALCANTARA;Málaga
03866;CALLE;2 (URB CASCADA CAMOJAN);29602;MARBELLA;Málaga
04511;CALLE;2 (VALLE DEL SOL);29670;SAN PEDRO ALCANTARA;Málaga
00215;CALLE;2 DE MAYO (LOS LLANOS);29210;CUEVAS DE SAN MARCOS;Málaga
00108;POLIG;2 PARCELA 57;29194;ALFARNATE;Málaga
04318;CALLE;2 URB GUADALMINA BAJA;29670;SAN PEDRO ALCANTARA;Málaga
04278;CALLE;2-K;29660;NUEVA ANDALUCIA;Málaga
04023;CALLE;20 (URB GUADALMINA ALTA);29670;SAN PEDRO ALCANTARA;Málaga
04022;CALLE;21 (URB GUADALMINA ALTA);29670;SAN PEDRO ALCANTARA;Málaga
04024;CALLE;22 (URB GUADALMINA ALTA);29670;SAN PEDRO ALCANTARA;Málaga
04025;CALLE;23 (URB GUADALMINA ALTA);29670;SAN PEDRO ALCANTARA;Málaga
04026;CALLE;23-A (GUADALMINA ALTA);29670;SAN PEDRO ALCANTARA;Málaga
04027;CALLE;23-B (GUADALMINA ALTA);29670;SAN PEDRO ALCANTARA;Málaga
04028;CALLE;23-C (GUADALMINA ALTA);29670;SAN PEDRO ALCANTARA;Málaga
04017;CALLE;24 (URB GUADALMINA ALTA);29670;SAN PEDRO ALCANTARA;Málaga
04029;CALLE;24-A (GUADALMINA ALTA);29670;SAN PEDRO ALCANTARA;Málaga
04014;CALLE;25 (URB GUADALMINA ALTA);29670;SAN PEDRO ALCANTARA;Málaga
00399;CALLE;25 DE NOVIEMBRE;29532;MOLLINA;Málaga
03472;CALLE;28 DE FEBRERO;29200;ANTEQUERA;Málaga
03565;CALLE;28 DE FEBRERO;29260;JOYA (LA);Málaga
00709;CALLE;28 DE FEBRERO;29300;ARCHIDONA;Málaga
00120;CALLE;28 DE FEBRERO;29520;FUENTE DE PIEDRA;Málaga
02940;CALLE;28 DE FEBRERO;29670;SAN PEDRO ALCANTARA;Málaga
03666;CALLE;28 DE FEBRERO (CARTAOJAL);29250;CARTAOJAL;Málaga
00214;CALLE;28 DE FEBRERO (LOS LLANOS;29210;CUEVAS DE SAN MARCOS;Málaga
00241;CALLE;28-F;29531;HUMILLADERO;Málaga
04678;CALLE;3 (EDF PARQUE DEL SOL 2);29670;SAN PEDRO ALCANTARA;Málaga
03868;CALLE;3 (URB CASCADA CAMOJAN);29602;MARBELLA;Málaga
03976;CALLE;3 (URB GUADALMINA BAJA);29670;SAN PEDRO ALCANTARA;Málaga
00144;AVDA;3 DE ABRIL DEL 1.979;29350;ARRIATE;Málaga
00038;CALLE;3 DE AGOSTO;29461;FARAJAN;Málaga
04205;CALLE;3-J;29660;NUEVA ANDALUCIA;Málaga
04283;CALLE;3-J (URB LA CERQUILLA);29660;NUEVA ANDALUCIA;Málaga
04206;CALLE;3-J (URB LOS BELVEDERES);29660;NUEVA ANDALUCIA;Málaga
03867;CALLE;4 (URB CASCADA CAMOJAN);29602;MARBELLA;Málaga
03977;CALLE;4 (URB GUADALMINA BAJA);29670;SAN PEDRO ALCANTARA;Málaga
04513;CALLE;4 (VALLE DEL SOL);29670;SAN PEDRO ALCANTARA;Málaga
03588;CALLE;4 DE DICIEMBRE;29250;CARTAOJAL;Málaga
00042;CALLE;4 DE DICIEMBRE;29328;SIERRA DE YEGUAS;Málaga
03984;CALLE;4-A (URB GUADALMINA BAJA);29670;SAN PEDRO ALCANTARA;Málaga
03995;CALLE;4-B (URB GUADALMINA BAJA);29670;SAN PEDRO ALCANTARA;Málaga
03996;CALLE;4-C (URB GUADALMINA BAJA);29670;SAN PEDRO ALCANTARA;Málaga
04210;CALLE;4-J (NARANJOS HILL CLUB);29660;NUEVA ANDALUCIA;Málaga
03870;CALLE;5 (URB CASCADA CAMOJAN);29602;MARBELLA;Málaga
03982;CALLE;5 (URB GUADALMINA BAJA);29670;SAN PEDRO ALCANTARA;Málaga
04514;CALLE;5 (VALLE DEL SOL);29670;SAN PEDRO ALCANTARA;Málaga
04673;CALLE;6 (GUADALMINA PLAYA);29670;SAN PEDRO ALCANTARA;Málaga
03980;CALLE;6 (URB GUADALMINA BAJA);29670;SAN PEDRO ALCANTARA;Málaga
04515;CALLE;6 (VALLE DEL SOL);29670;SAN PEDRO ALCANTARA;Málaga
00216;CALLE;6 DE DICIEMBRE (LOS LLANO;29210;CUEVAS DE SAN MARCOS;Málaga
03981;CALLE;6-B (URB GUADALMINA BAJA);29670;SAN PEDRO ALCANTARA;Málaga
03871;CALLE;7 (URB CASCADA CAMOJAN);29602;MARBELLA;Málaga
03978;CALLE;7 (URB GUADALMINA BAJA);29670;SAN PEDRO ALCANTARA;Málaga
04516;CALLE;7 (VALLE DEL SOL);29670;SAN PEDRO ALCANTARA;Málaga
03986;CALLE;7-A (URB GUADALMINA BAJA);29670;SAN PEDRO ALCANTARA;Málaga
03979;CALLE;7-B (URB GUADALMINA BAJA);29670;SAN PEDRO ALCANTARA;Málaga
03985;CALLE;7-C (URB GUADALMINA BAJA);29670;SAN PEDRO ALCANTARA;Málaga
04213;CALLE;7-L;29660;NUEVA ANDALUCIA;Málaga
03872;CALLE;8 (URB CASCADA CAMOJAN);29602;MARBELLA;Málaga
00192;CALLE;8 DE MARZO;29160;CASABERMEJA;Málaga
00209;AVDA;8 DE MARZO;29531;HUMILLADERO;Málaga
03992;CALLE;8-A (URB GUADALMINA BAJA);29670;SAN PEDRO ALCANTARA;Málaga
03997;CALLE;8-B (URB GUADALMINA BAJA);29670;SAN PEDRO ALCANTARA;Málaga
04214;CALLE;8-L;29660;NUEVA ANDALUCIA;Málaga
04524;CALLE;9 (GUADALMINA BAJA);29670;SAN PEDRO ALCANTARA;Málaga
03998;CALLE;9-A (URB GUADALMINA BAJA);29670;SAN PEDRO ALCANTARA;Málaga
02136;CALLE;A;29250;LLANOS DE ANTEQUERA;Málaga
03421;CALLE;A (COLONIA);29540;BOBADILLA;Málaga
03839;CALLE;A (URB EL CAPRICHO);29602;MARBELLA;Málaga
00770;CALLE;A BABOR;29793;TORROX-COSTA;Málaga
00771;CALLE;A ESTRIBOR;29793;TORROX-COSTA;Málaga
03916;CALLE;A QUIJADA (RIO VERDE PLAY;29602;MARBELLA;Málaga
21599;CTRA;A-7000 COLMENAR;29193;MALAGA;Málaga
21595;CTRA;A-7001 OLIAS;29197;OLIAS;Málaga
21610;CTRA;A-7054 PIZARRA;29591;CAMPANILLAS;Málaga
21617;CTRA;A-7055 EST. CAMPANILLAS;29590;CAMPANILLAS;Málaga
21609;CTRA;A-7058 LA FRESNEDA;29590;CAMPANILLAS;Málaga
21607;CTRA;A-7075 ALMOGIA;29190;VERDIALES;Málaga
21857;CTRA;A-7075 ANTEQUERA;29190;VERDIALES;Málaga
