Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
00009;MONTE;.;31290;AMILLANO;Navarra
00131;PLAZA;.;31292;LORCA/LORKA;Navarra
00047;CALLE;1 DE MAYO;31160;ORKOIEN;Navarra
00078;CALLE;11 DE MARZO;31330;VILLAFRANCA;Navarra
00021;CALLE;16 AGOSTO 1841;31382;MÉLIDA;Navarra
00014;CALLE;1818;31229;BARGOTA;Navarra
00215;CALLE;3 DE ABRIL;31587;MENDAVIA;Navarra
00170;CALLE;8 DE MARZO;31590;CASTEJÓN;Navarra
00024;CTRA;A FRANCIA;31412;BURGUI;Navarra
00168;BJADA;A GALLIPIENZO;31490;CÁSEDA;Navarra
00186;BJADA;A LA FUENTE;31490;CÁSEDA;Navarra
00171;BJADA;A LAS ERAS;31490;CÁSEDA;Navarra
00804;CMNO;A LASTIRIA;31713;ARIZKUN;Navarra
00001;CALLE;ABACO;31300;TAFALLA;Navarra
00001;CALLE;ABADEJO;31260;LERÍN;Navarra
00012;CALLE;ABADIA;31395;BARÁSOAIN;Navarra
00001;CALLE;ABADIA;31520;CASCANTE;Navarra
00001;CALLE;ABADIA;31520;CASCANTE;Navarra
00002;PLCET;ABADIA;31591;CORELLA;Navarra
00012;CALLE;ABADIA;31395;BARÁSOAIN;Navarra
00010;CALLE;ABADIA;31492;AYESA;Navarra
00001;CALLE;ABADIA;31520;CASCANTE;Navarra
00011;CALLE;ABADIA;31440;LUMBIER;Navarra
00010;CALLE;ABADIA;31492;AYESA;Navarra
00027;CALLE;ABADIA;31449;ALDUNATE;Navarra
00158;CALLE;ABADIA;31292;MURUGARREN;Navarra
00035;TRVA;ABADIA (LA);31495;SAN MARTIN DE UNX;Navarra
00233;PLAZA;ABAJITA;31171;ORORBIA;Navarra
00251;CALLE;ABAJITA-BIDEA;31171;ORORBIA;Navarra
00020;PLAZA;ABAJO;31280;ABAIGAR;Navarra
00159;CALLE;ABAJO;31868;ERROTZ;Navarra
00120;BARRO;ABAJO;31699;ZABALDIKA;Navarra
00001;CALLE;ABAJO;31227;GENEVILLA;Navarra
00013;MONTE;ABAJO;31868;ATONDO;Navarra
00028;CALLE;ABAJO;31480;ARTIEDA;Navarra
00001;CALLE;ABAJO DE SAN PEDRO;31230;VIANA;Navarra
00002;CALLE;ABAJO DE SANTA MARIA;31230;VIANA;Navarra
00048;CALLE;ABAJO KALEA;31241;ARBEIZA;Navarra
00005;.;ABARRATEGI KALEA;31830;LAKUNTZA;Navarra
00844;CALLE;ABARTAN;31700;ELIZONDO;Navarra
00010;CALLE;ABARZUZA;31200;ESTELLA-LIZARRA;Navarra
00005;CALLE;ABAURREA ALTA;31014;PAMPLONA/IRUÑA;Navarra
00645;CALLE;ABEDULES (DE LOS);31500;TUDELA;Navarra
00010;CALLE;ABEJERAS;31007;PAMPLONA/IRUÑA;Navarra
00212;CALLE;ABEJERAS;31350;PERALTA/AZKOIEN;Navarra
00015;CLLZO;ABEN-SERAQ;31200;ESTELLA-LIZARRA;Navarra
