Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
07474;RUA;10;32940;REZA;Ourense
07505;PRAZA;100;32001;OURENSE;Ourense
07584;PRAZA;1000;32001;OURENSE;Ourense
07095;RUA;110;32001;OURENSE;Ourense
07689;RUA;15;32002;OURENSE;Ourense
00549;RUA;17 DE MAIO;32002;VALENZA (A);Ourense
07475;RUA;20;32002;GRANXA (A);Ourense
07687;PRAZA;200;32001;OURENSE;Ourense
00182;RUA;25 DE XULIO;32330;SOBRADELO;Ourense
00183;PRAZA;25 DE XULIO;32330;SOBRADELO;Ourense
01097;AVDA;25 DE XULLO;32500;CARBALLIÑO (O);Ourense
07470;RUA;30;32940;ERBEDELO;Ourense
07471;RUA;40;32940;ERBEDELO;Ourense
07606;PRAZA;500;32005;OURENSE;Ourense
07700;RUA;501;32005;OURENSE;Ourense
07708;RUA;8 DE MARZO;32001;OURENSE;Ourense
00187;RUA;A;32330;SOBRADELO;Ourense
00712;CALLE;A;32572;DACON;Ourense
07484;PISTA;A;32593;CAMPOS (OS);Ourense
07488;RUA;A;32004;OURENSE;Ourense
07512;CMÑO;A;32970;SEIXALBO;Ourense
07640;PRAZA;A;32004;OURENSE;Ourense
00513;RUA;A;32910;BARREIROS;Ourense
07781;RUA;A (BARRIO - UNTES);32593;BARRIO;Ourense
07664;RUA;A (CEBOLIÑO);32004;CEBOLIÑO;Ourense
07787;RUA;A (CUDEIRO);32103;CUDEIRO;Ourense
07792;RUA;A (FECHOS-TRASALVA);32172;FECHOS;Ourense
07786;RUA;A (O VISO - CUDEIRO);32103;VISO (O);Ourense
07789;RUA;A (OS BELEIROS-ARRABALDO);32593;BELEIROS (OS);Ourense
07793;PISTA;A (OURENSE);32001;OURENSE;Ourense
07797;PISTA;A (PARADELA-VILAR DE ASTR;32981;PARADELA;Ourense
07790;RUA;A (QUINTELA-CANEDO);32001;QUINTELA;Ourense
07784;RUA;A (RAIRO);32971;RAIRO;Ourense
07783;RUA;A (RAMIRAS - ARRABALDO);32593;RAMIRAS;Ourense
07782;RUA;A (SANTA CRUZ-ARRABALDO);32593;SANTA CRUZ;Ourense
07791;RUA;A (SANTA MARIÑA DO MONTE);32971;SANTA MARIÑA DO MONTE;Ourense
07795;PISTA;A (VILANOVA-CANEDO);32001;VILANOVA;Ourense
07796;PISTA;A (VILAR DE ASTRES);32981;VILAR DE ASTRES;Ourense
00514;RUA;A LAGOA;32911;SAN CIBRAO DAS VIÑAS;Ourense
07788;RUA;A(CASAR DO MATO-ARRABALDO;32593;CASAR DO MATO;Ourense
00426;PRAZA;ABAIXO (DE);32660;ALLARIZ;Ourense
00244;RUA;ABAIXO (DE);32890;BENTRACES;Ourense
00059;BARRO;ABAIXO (DE);32612;MONTEVELOSO;Ourense
00082;RUA;ABAIXO (DE);32625;CASTRELO DO VAL;Ourense
00303;RUA;ABAIXO (DE);32688;PEDROSA (A);Ourense
00644;BARRO;ABAIXO (DE);32635;PARADA DE RIBEIRA;Ourense
00197;CALLE;ABAIXO (DE);32428;SA;Ourense
00307;RUA;ABAIXO (DE);32839;ENTRAMBOSRIOS;Ourense
00001;LUGAR;ABAIXO (DE);32457;BARBANTES;Ourense
00323;RUA;ABAIXO (DE);32414;SAN PAIO;Ourense
00346;RUA;ABAIXO (DE);32900;VALIÑAS;Ourense
00243;PRAZA;ABAIXO (DE);32635;VILELA;Ourense
25000;RUA;ABAIXO (DE) - PENOUTA;32558;PENOUTA;Ourense
07000;RUA;ABAIXO (DE) - PUNXEIRO;32558;PUNXEIRO;Ourense
00766;CALLE;ABAJO;32579;MUNDIN;Ourense
00869;CALLE;ABAJO (DE);32579;EIREXA;Ourense
00449;RUA;ABDON BLANCO (DE);32300;BARCO (O);Ourense
07430;LUGAR;ABELAIRA (A);32980;CASTRO DE BEIRO (O);Ourense
00489;CALLE;ABELAIRAS;32350;RUA DE VALDEORRAS (A);Ourense
06584;PASEO;ABELAIRAS (DAS);32004;OURENSE;Ourense
00077;LUGAR;ABELAR;32858;MEAS;Ourense
06951;RUA;ABELARDO ARCE MAYORA;32970;SEIXALBO;Ourense
07077;RUA;ABELARDO SANTORUM;32001;OURENSE;Ourense
00030;RUA;ABELEDO;32690;ABELEDO;Ourense
00138;CTRA;ABELENDA;32520;ABELENDA;Ourense
07318;CMÑO;ABELLA (DA);32005;OURENSE;Ourense
00354;RUA;ABELLAS;32170;AMOEIRO;Ourense
00281;RUA;ABELLAS (DAS);32705;MAUS;Ourense
00172;RUA;ABELLEIRA;32235;ABELLEIRA;Ourense
00345;CMÑO;ABESADA (DA);32689;SAN MARTIÑO;Ourense
00585;BARRO;ABOS;32788;SAS DE XUNQUEIRA;Ourense
07780;RUA;ABREVADEIRO (DO);32002;OURENSE;Ourense
00383;LUGAR;ABRUCIÑOS;32171;ABRUCIÑOS;Ourense
07302;RUA;ABRUÑEIRO (DO);32002;OURENSE;Ourense
00429;RUA;ABUIN;32660;ALLARIZ;Ourense
06791;RUA;ACACIA (DA);32002;OURENSE;Ourense
00617;RUA;ACADEMIA DEQUIDT (DA);32300;BARCO (O);Ourense
00094;CTRA;ACCESO;32357;SAN PAIO;Ourense
00368;ESTDA;ACCESO O POLIGONO;32901;REBOREDO;Ourense
00890;CALLE;ACCESOS A VARIANTE;32572;FONTELA;Ourense
00431;CMÑO;ACEARRICA (DE);32660;ALLARIZ;Ourense
00133;CTRA;ACEBEDO;32520;RUBILLON;Ourense
00174;RUA;ACEBO (DO);32750;PAREDES;Ourense
00031;RUA;ACEDA (DA);32690;TABOADELA;Ourense
00398;CMÑO;ACEDAL (DO);32615;ABEDES;Ourense
00216;CMNO;ACEMIA (DA);32633;VILAMAIOR DA BOULLOSA;Ourense
00071;RUA;ACEÑA;32813;SABUCEDO;Ourense
00428;RUA;ACEÑAS;32660;ALLARIZ;Ourense
00208;RUA;ACIDAD;32618;MADANELA (A);Ourense
00245;CALLE;ACIVIDO;32236;FRIEIRA;Ourense
06579;RUA;ACIVRO (DO);32004;OURENSE;Ourense
18000;RUA;ACOLA- FRADELO;32557;FRADELO;Ourense
00188;RUA;ADEGA;32670;XUNQUEIRA DE AMBIA;Ourense
06585;RUA;ADEGA (DA);32004;OURENSE;Ourense
00320;RUA;ADEGAS (A);32414;QUINZA (A);Ourense
00598;RUA;ADEGAS (AS);32890;FORNOS (OS);Ourense
06853;RUA;ADEGAS (DAS);32002;OURENSE;Ourense
07004;CMÑO;ADELFAS (DAS);32005;OURENSE;Ourense
01226;RUA;ADOLFO OTERO LANDEIRO;32500;CARBALLIÑO (O);Ourense
00326;RUA;ADORIA;32930;ROMA;Ourense
00235;TRVA;ADREIRA (DA);32632;BALTAR;Ourense
00147;CALLE;ADRIAN;32520;RICOVANCA;Ourense
07412;RUA;ADRIO MENENDEZ;32001;OURENSE;Ourense
00076;RUA;ADRO (DO);32412;CARBALLEDA DE AVIA;Ourense
00117;CTRA;ADUANA;32425;BERAN;Ourense
00150;RUA;ADUANA;32548;CADAVOS;Ourense
00001;RUA;ADUANA;32600;VERIN;Ourense
00147;RUA;AFIADORES (OS);32160;LUINTRA;Ourense
00009;RUA;AFONSO X O SABIO;32004;OURENSE;Ourense
00020;RUA;AGAPITO NOVOA;32748;FORCAS;Ourense
00280;CALLE;AGRA (A);32236;AGRA (A);Ourense
00247;RUA;AGRO;32454;CENLLE;Ourense
00414;RUA;AGRO;32641;AGRO;Ourense
00311;RUA;AGRO (DO);32701;BAÑOS DE MOLGAS;Ourense
00312;CMÑO;AGRO (DO);32701;BAÑOS DE MOLGAS;Ourense
00313;TRVA;AGRO (DO);32701;BAÑOS DE MOLGAS;Ourense
00266;RUA;AGRO (DO);32700;MACEDA;Ourense
00002;CMÑO;AGRO (DO);32740;PARADA DE SIL;Ourense
00021;RUA;AGRO (DO);32740;PARADA DE SIL;Ourense
00639;CMÑO;AGRO (DO);32780;POBRA DE TRIVES;Ourense
00674;TRVA;AGRO (DO);32780;POBRA DE TRIVES;Ourense
00768;RUA;AGRO (DO);32316;CORGOMO;Ourense
01228;CTRA;AGRO DE QUINTA;32511;SEOANE;Ourense
00355;RUA;AGRONOVO;32170;AMOEIRO;Ourense
00490;CALLE;AGUILLON;32350;RUA DE VALDEORRAS (A);Ourense
00229;RUA;AIRA;32920;VILAESCUSA;Ourense
00672;RUA;AIRA (A);32349;CORREXAIS;Ourense
00498;RUA;AIRA (DA);32890;LOIRO;Ourense
