Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
00037;CALLE;18 DE JULIO;34480;ALAR DEL REY;Palencia
00327;TRVA;1ª DE ARRABAL DEL CARMEN;34300;PAREDES DE NAVA;Palencia
00608;CALLE;3 DE ABRIL;34004;PALENCIA;Palencia
00004;CALLE;6 DE ABRIL;34230;TORQUEMADA;Palencia
00570;CALLE;8 DE MARZO (DEL);34003;PALENCIA;Palencia
00038;CALLE;A. NAJERA;34209;HONTORIA DE CERRATO;Palencia
00073;CLLJA;ABAD (DE EL);34490;SANTOYO;Palencia
00475;CALLE;ABAD (DEL);34800;AGUILAR DE CAMPOO;Palencia
00018;CALLE;ABAD REINOSO;34419;HUSILLOS;Palencia
00023;CALLE;ABADIA (LA);34419;HUSILLOS;Palencia
00065;LUGAR;ABADIA DE ABAJO;34120;CARRION DE LOS CONDES;Palencia
00066;LUGAR;ABADIA DE ARRIBA;34120;CARRION DE LOS CONDES;Palencia
00052;CALLE;ABAJO;34473;POLVOROSA DE VALDAVIA;Palencia
00012;CALLE;ABAJO;34129;BUSTILLO PARAMO CARRION;Palencia
00015;CALLE;ABAJO;34306;CASTIL DE VELA;Palencia
00070;CALLE;ABAJO;34850;CASTREJON DE LA PEÑA;Palencia
00036;CALLE;ABAJO;34246;CASTRILLO DE DON JUAN;Palencia
00019;CALLE;ABAJO;34305;CASTROMOCHO;Palencia
00036;CALLE;ABAJO;34246;CASTRILLO DE DON JUAN;Palencia
00074;CALLE;ABAJO;34192;GRIJOTA;Palencia
00025;CALLE;ABAJO;34347;VILLAMBRAN DE CEA;Palencia
00036;CALLE;ABAJO;34246;CASTRILLO DE DON JUAN;Palencia
00042;CALLE;ABAJO;34112;SANTERVAS DE LA VEGA;Palencia
00253;CALLE;ABAJO;34869;VILLALBETO DE LA PEÑA;Palencia
00162;CALLE;ABAJO;34888;OTERO DE GUARDO;Palencia
00079;PLAZA;ABAJO;34340;VILLADA;Palencia
00049;PLAZA;ABAJO;34132;VILLASARRACINO;Palencia
00021;PLAZA;ABAJO;34466;VILLODRE;Palencia
00052;CALLE;ABAJO;34473;POLVOROSA DE VALDAVIA;Palencia
00081;CALLE;ABAJO (DE);34490;SANTIAGO DEL VAL;Palencia
00001;CALLE;ABETOS (LOS);34003;PALENCIA;Palencia
00393;CALLE;ABETOS (LOS);34100;SALDAÑA;Palencia
00269;CTRA;ABIA;34460;OSORNO;Palencia
00001;CALLE;ABILIO CALDERON;34480;ALAR DEL REY;Palencia
00010;CALLE;ABILIO CALDERON;34191;AUTILLA DEL PINO;Palencia
00037;CALLE;ABILIO CALDERON;34349;BOADILLA DE RIOSECO;Palencia
00054;PLAZA;ABILIO CALDERON;34218;CEVICO DE LA TORRE;Palencia
