Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
01584;RUA;(A);36681;BOLOS (OS);Pontevedra
00245;TRVA;(A);36530;RODEIRO;Pontevedra
01405;RUA;1;36500;LALIN;Pontevedra
00126;TRVA;1;36760;PICONS;Pontevedra
00828;RUA;1;36611;ROSALEDA (A);Pontevedra
00162;TRVA;1 DA CARRETERA DA LOMBA;36770;LOMBA (A);Pontevedra
00789;TRVA;1 DE CANEDO AS CACHADAS;36860;CANEDO;Pontevedra
00602;CMÑO;1 DE INDIVISES;36760;RUA DA BAIXO;Pontevedra
00156;RUA;1 DE MAIO;36600;TRABANCA BADIÑA;Pontevedra
00164;TRVA;1 DE RAMON FRANCO;36770;CALVARIO;Pontevedra
00135;TRVA;1 DERECHA;36760;IGREXA;Pontevedra
00796;TRVA;1 DO ADRO;36860;CANEDO;Pontevedra
00130;TRVA;1 IZQUIERDA;36760;CARRIL;Pontevedra
00826;RUA;10;36611;ROSALEDA (A);Pontevedra
01706;RUA;100;36681;FIGUEROA DE ARRIBA;Pontevedra
00841;RUA;11;36611;ROSALEDA (A);Pontevedra
00842;RUA;12;36611;ROSALEDA (A);Pontevedra
09030;RUA;12 DE NOVEMBRO;36004;PONTEVEDRA;Pontevedra
01555;RUA;13;36680;ESTRADA (A);Pontevedra
00011;CALLE;15 DE OCTUBRE;36890;MONDARIZ-BALNEARIO;Pontevedra
00575;TRVA;1ª PASADOIRO;36760;PARADELA;Pontevedra
00564;CMÑO;1º DO PUMAR;36760;PARADELA;Pontevedra
01406;RUA;2;36500;LALIN;Pontevedra
00127;TRVA;2;36770;CASAL;Pontevedra
00836;RUA;2;36611;ROSALEDA (A);Pontevedra
00163;TRVA;2 DA CARRETERA DA LOMBA;36770;LOMBA (A);Pontevedra
00603;CMÑO;2 DE INDIVISES;36760;RUA DA BAIXO;Pontevedra
00165;TRVA;2 DE RAMON FRANCO;36770;CALVARIO;Pontevedra
00136;TRVA;2 DERECHA;36760;IGREXA;Pontevedra
00803;TRVA;2 DO ADRO;36860;CANEDO;Pontevedra
00131;TRVA;2 IZQUIERDA;36760;CARRIL;Pontevedra
01446;RUA;20;36500;LALIN;Pontevedra
01447;RUA;21;36500;LALIN;Pontevedra
01448;RUA;22;36500;LALIN;Pontevedra
01449;RUA;23;36500;LALIN;Pontevedra
01623;RUA;24;36680;ESTRADA (A);Pontevedra
01450;RUA;24;36500;LALIN;Pontevedra
01451;RUA;25;36500;LALIN;Pontevedra
01694;RUA;25 DE XULLO;36680;ESTRADA (A);Pontevedra
01452;RUA;26;36500;LALIN;Pontevedra
00574;TRVA;2ª PASADOIRO;36760;PARADELA;Pontevedra
01407;RUA;3;36500;LALIN;Pontevedra
00128;TRVA;3;36770;LAGOS;Pontevedra
00837;RUA;3;36611;ROSALEDA (A);Pontevedra
00791;TRVA;3 DE CANEDO AS CACHADAS;36860;CANEDO;Pontevedra
00179;TRVA;3 DE RAMON FRANCO;36770;CALVARIO;Pontevedra
00137;TRVA;3 DERECHA;36770;CUNCHADA;Pontevedra
01414;RUA;30;36500;LALIN;Pontevedra
01415;RUA;31;36510;LALIN;Pontevedra
01416;RUA;32;36510;LALIN;Pontevedra
01690;RUA;35;36680;ESTRADA (A);Pontevedra
01417;RUA;37;36510;LALIN;Pontevedra
01367;RUA;38;36510;CARRAGOSO DE ARRIBA;Pontevedra
01408;RUA;4;36500;LALIN;Pontevedra
00129;TRVA;4;36760;CRUCEIRO (O);Pontevedra
00838;RUA;4;36611;ROSALEDA (A);Pontevedra
00138;TRVA;4 DERECHA;36770;CUNCHADA;Pontevedra
01409;RUA;5;36500;LALIN;Pontevedra
00833;RUA;5;36611;ROSALEDA (A);Pontevedra
00195;CMÑO;5 DA 2 TRAVESIA;36760;CUMIEIRA (A);Pontevedra
00139;TRVA;5 DERECHA;36760;RUA DA CAL;Pontevedra
00134;TRVA;5 IZQUIERDA;36760;RUA DA CAL;Pontevedra
01454;RUA;52;36500;LALIN;Pontevedra
01455;RUA;53;36500;LALIN;Pontevedra
01456;RUA;54;36500;LALIN;Pontevedra
01457;RUA;55;36500;LALIN;Pontevedra
01562;RUA;56;36680;ESTRADA (A);Pontevedra
01410;RUA;6;36500;LALIN;Pontevedra
00830;RUA;6;36611;ROSALEDA (A);Pontevedra
01624;RUA;62;36680;ESTRADA (A);Pontevedra
01411;RUA;7;36500;LALIN;Pontevedra
00835;RUA;7;36611;ROSALEDA (A);Pontevedra
01392;RUA;70;36510;GARCIA SANCHEZ;Pontevedra
01393;RUA;71;36510;GARCIA SANCHEZ;Pontevedra
01394;RUA;72;36510;GARCIA SANCHEZ;Pontevedra
01620;RUA;78;36680;ESTRADA (A);Pontevedra
01412;RUA;8;36500;LALIN;Pontevedra
00831;RUA;8;36611;ROSALEDA (A);Pontevedra
09055;PRAZA;8 DE MARZO;36003;PONTEVEDRA;Pontevedra
00641;RUA;8 DE MARZO;36800;REDONDELA;Pontevedra
00250;RUA;8 DE MARZO;36600;PENA (A);Pontevedra
01413;RUA;9;36500;LALIN;Pontevedra
00832;RUA;9;36611;ROSALEDA (A);Pontevedra
00149;CALLE;A;36550;FORCAREI;Pontevedra
00089;CALLE;A;36530;RODEIRO;Pontevedra
00145;RUA;A;36450;LAGOA;Pontevedra
00792;TRVA;A ADEGA;36860;CANEDO;Pontevedra
00101;RUA;A ARXENTINA;36860;PONTEAREAS;Pontevedra
00788;CTRA;A BAIONA;36780;CASAS (LOS);Pontevedra
00555;BDA;A BARROZA;36760;PICONS;Pontevedra
00154;RUA;A BATERIA;36690;CONDE (O);Pontevedra
00043;RUA;A CALEXA;36860;PONTEAREAS;Pontevedra
00282;CMÑO;A CARRASCA;36770;CRUCES (AS);Pontevedra
00386;SBIDA;A CARREIRO;36770;FECHA;Pontevedra
00338;SBIDA;A CASTAÑON;36770;MEDAS;Pontevedra
00506;CALLE;A CORUÑA;36393;RAMALLOSA;Pontevedra
00327;SBIDA;A COSTEIRA;36770;VISO DOS EIDOS;Pontevedra
00240;CMÑO;A CRUZ DE ROSENDO;36770;CUMIEIRA DE RIBA;Pontevedra
00019;RUA;A CURUXEIRA;36860;PONTEAREAS;Pontevedra
00396;CMÑO;A DEVESIÑA;36770;MARZAN;Pontevedra
00418;SBIDA;A FECHA;36770;PANCENTEO;Pontevedra
00355;CMÑO;A FONTE DA SEVILLANA;36770;MIRANXE;Pontevedra
00734;ESTDA;A FORCAREI;36540;SILLEDA;Pontevedra
00788;CMÑO;A FOX;36860;PONTE (A);Pontevedra
00177;ESTDA;A GUARDA A TUI;36760;CARRIL;Pontevedra
00808;RUA;A LAGARTOSA;36780;GUARDA (A);Pontevedra
10105;CMÑO;A LATIÑA;36312;PENA;Pontevedra
00556;BDA;A LOUREIROS;36760;PICONS;Pontevedra
00283;ESTDA;A LOUREZA;36770;CRUCES (AS);Pontevedra
00293;CMÑO;A MANGA;36770;FORNELOS;Pontevedra
00307;SBIDA;A MARTIN;36770;MARTIN;Pontevedra
01705;ESTDA;A MATALOBOS;36689;SANTA BAIA;Pontevedra
00811;RUA;A MINADA;36860;PONTEAREAS;Pontevedra
00553;SBIDA;A MONTERREAL;36760;MONTERREAL (O);Pontevedra
00770;BARRO;A MOSCADEIRA;36860;PONTEAREAS;Pontevedra
00580;CMÑO;A MUNDIN;36760;PORTELA;Pontevedra
00189;CMÑO;A OLIVEIRA;36770;MARZAN;Pontevedra
00819;RUA;A OROTAVA;36860;PONTEAREAS;Pontevedra
00535;CMÑO;A PALLAFRESCA;36760;CARRIL;Pontevedra
