Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
01439;CALLE;15 DE OCTUBRE;37591;SANJUANEJO;Salamanca
00041;PLAZA;3 DE ABRIL;37170;SAN PEDRO DEL VALLE;Salamanca
00136;CALLE;A;37193;DUNAS (LAS);Salamanca
00016;CALLE;ABADA;37542;NAVASFRIAS;Salamanca
00016;CALLE;ABADENGO;37271;BAÑOBAREZ;Salamanca
00001;PLAZA;ABADENGO;37240;LUMBRALES;Salamanca
00001;CALLE;ABAJO;37173;AHIGAL DE VILLARINO;Salamanca
00001;CALLE;ABAJO;37173;AHIGAL DE VILLARINO;Salamanca
00002;TRVA;ABAJO;37250;ALDEADAVILA DE LA RIBERA;Salamanca
00001;CALLE;ABAJO;37173;AHIGAL DE VILLARINO;Salamanca
00001;CALLE;ABAJO;37173;AHIGAL DE VILLARINO;Salamanca
00015;CALLE;ABAJO;37607;BARBALOS;Salamanca
00002;CALLE;ABAJO;37250;ALDEADAVILA DE LA RIBERA;Salamanca
00001;CALLE;ABAJO;37173;AHIGAL DE VILLARINO;Salamanca
00001;CALLE;ABAJO;37173;AHIGAL DE VILLARINO;Salamanca
00001;CALLE;ABAJO;37173;AHIGAL DE VILLARINO;Salamanca
00001;CALLE;ABAJO;37173;AHIGAL DE VILLARINO;Salamanca
00020;PLAZA;ABAJO;37660;MIRANDA DEL CASTAÑAR;Salamanca
00001;CÑADA;ABAJO;37173;AHIGAL DE VILLARINO;Salamanca
00002;CALLE;ABAJO;37250;ALDEADAVILA DE LA RIBERA;Salamanca
00011;CALLE;ABAJO;37609;NARROS DE MATALAYEGUA;Salamanca
00001;CALLE;ABAJO;37173;AHIGAL DE VILLARINO;Salamanca
00001;CALLE;ABAJO;37173;AHIGAL DE VILLARINO;Salamanca
00001;CALLE;ABAJO;37173;AHIGAL DE VILLARINO;Salamanca
00001;CALLE;ABAJO;37173;AHIGAL DE VILLARINO;Salamanca
00001;CALLE;ABAJO;37173;AHIGAL DE VILLARINO;Salamanca
00001;CALLE;ABAJO;37173;AHIGAL DE VILLARINO;Salamanca
00001;CALLE;ABAJO;37173;AHIGAL DE VILLARINO;Salamanca
00001;CALLE;ABAJO;37173;AHIGAL DE VILLARINO;Salamanca
00001;BARRO;ABAJO;37173;AHIGAL DE VILLARINO;Salamanca
00001;BARRO;ABAJO;37173;AHIGAL DE VILLARINO;Salamanca
00001;CALLE;ABAJO;37173;AHIGAL DE VILLARINO;Salamanca
00001;CALLE;ABAJO;37173;AHIGAL DE VILLARINO;Salamanca
00001;TRVA;ABAJO;37173;AHIGAL DE VILLARINO;Salamanca
00001;RONDA;ABAJO;37173;AHIGAL DE VILLARINO;Salamanca
00001;CALLE;ABAJO;37173;AHIGAL DE VILLARINO;Salamanca
00002;CALLE;ABANICO;37779;ALDEAVIEJA DE TORMES;Salamanca
00044;LUGAR;ABANICO;37129;CARRASCAL DE BARREGAS;Salamanca
00002;CALLE;ABASTOS;37008;SALAMANCA;Salamanca
00002;CALLE;ABDON RODILLA;37770;GUIJUELO;Salamanca
00061;CALLE;ABEDUL;37129;URBANIZACION OASIS GOLF;Salamanca
00043;CALLE;ABETO;37449;MONTE LA RAD;Salamanca
00146;CALLE;ABETO;37185;ALMENDROS (LOS);Salamanca
00080;CALLE;ABETO;37339;VILLORIA;Salamanca
00001;CALLE;ABIGERO;37220;FREGENEDA (LA);Salamanca
00021;CALLE;ABOGADOS;37313;MALPARTIDA;Salamanca
04508;CALLE;ABOGADOS DE ATOCHA;37001;SALAMANCA;Salamanca
04914;CALLE;ABRAHAM ZACUT;37003;SALAMANCA;Salamanca
00023;CALLE;ABRAZAMOZAS;37777;SORIHUELA;Salamanca
00049;CALLE;ABREVADEROS;37115;JUZBADO;Salamanca
00001;CALLE;ABRIGUILLO;37720;CERRO (EL);Salamanca
00077;CMNO;ABUSEJO;37600;TAMAMES;Salamanca
00078;AVDA;ABUSEJO;37600;TAMAMES;Salamanca
00001;CALLE;ACACIA;37882;PEDRAZA DE ALBA;Salamanca
00112;CALLE;ACACIAS;37882;PINAR DE ALBA (EL);Salamanca
00001;CALLE;ACACIAS;37621;ALDEANUEVA DE LA SIERRA;Salamanca
00013;CALLE;ACACIAS;37766;FRADES DE LA SIERRA;Salamanca
00003;CALLE;ACACIAS;37770;GUIJUELO;Salamanca
00023;TRVA;ACACIAS;37256;MILANO (EL);Salamanca
00001;CALLE;ACACIAS;37621;ALDEANUEVA DE LA SIERRA;Salamanca
00519;CALLE;ACACIAS;37300;PEÑARANDA DE BRACAMONTE;Salamanca
00004;CALLE;ACACIAS;37004;SALAMANCA;Salamanca
00020;PLZLA;ACACIAS;37794;SANCHOTELLO;Salamanca
00058;CALLE;ACACIAS;37183;SAN PEDRO DE ROZADOS;Salamanca
00001;CALLE;ACACIAS;37621;ALDEANUEVA DE LA SIERRA;Salamanca
00180;CALLE;ACACIAS;37185;ACACIAS (LAS);Salamanca
00244;RONDA;ACACIAS;37184;HELMANTICO (EL);Salamanca
00128;CALLE;ACACIAS;37210;VITIGUDINO;Salamanca
00002;LUGAR;ACEBEA;37763;SAN MIGUEL DE VALERO;Salamanca
00056;CALLE;ACEBO;37449;MONTE LA RAD;Salamanca
00020;CALLE;ACEBO;37727;PEÑACABALLERA;Salamanca
00041;CALLE;ACEBOS;37624;ALBERCA (LA);Salamanca
00005;CALLE;ACEBOS;37004;SALAMANCA;Salamanca
00042;CALLE;ACERA;37893;ENCINAS DE ABAJO;Salamanca
00001;CALLE;ACERA;37420;GOMECELLO;Salamanca
00001;CALLE;ACERA DEL CORDERO;37270;S FELICES DE LOS GALLEGOS;Salamanca
00004;CALLE;ACERAS;37795;CABEZUELA DE SALVATIERRA;Salamanca
00002;TRVA;ACERAS;37310;MACOTERA;Salamanca
00001;CLLJA;ACERAS;37683;MOLINILLO;Salamanca
00001;RONDA;ACERAS;37683;MOLINILLO;Salamanca
00002;LUGAR;ACERAS;37310;MACOTERA;Salamanca
00002;CALLE;ACERAS;37310;MACOTERA;Salamanca
00001;CALLE;ACERAS DE ABAJO;37310;MACOTERA;Salamanca
00003;CALLE;ACERAS DE ARRIBA;37310;MACOTERA;Salamanca
00107;CMNO;ACEÑA;37193;CABRERIZOS;Salamanca
00001;CALLE;ACEÑA;37891;GALISANCHO;Salamanca
00001;LUGAR;ACEÑA;37891;GALISANCHO;Salamanca
00029;CALLE;ACEÑA;37430;MORISCOS;Salamanca
00001;CALLE;ACEÑA;37891;GALISANCHO;Salamanca
00003;CALLE;ACEÑA;37115;VALVERDON;Salamanca
00033;CALLE;ACEÑA;37170;TIRADOS DE LA VEGA;Salamanca
04864;CALLE;ACEÑA DEL LAZARILLO;37008;SALAMANCA;Salamanca
05069;GTA;ACEÑAS;37008;SALAMANCA;Salamanca
00079;PLAZA;ACILLA;37188;CARBAJOSA DE LA SAGRADA;Salamanca
01629;CALLE;ACUEDUCTO;37500;CIUDAD RODRIGO;Salamanca
00235;CALLE;ACUEDUCTO;37185;ALMENDROS (LOS);Salamanca
00001;CALLE;ADELANTE;37864;HERREZUELO;Salamanca
00005;CALLE;ADELFA;37770;GUIJUELO;Salamanca
00098;CALLE;ADELFA;37185;VILLAMAYOR;Salamanca
00047;CALLE;ADELFAS;37796;ARAPILES;Salamanca
00007;CALLE;ADELFAS;37006;SALAMANCA;Salamanca
00001;CALLE;ADMINISTRACION;37488;ALDEA DEL OBISPO;Salamanca
00001;CALLE;ADOBERA;37840;TORDILLOS;Salamanca
00002;TRVA;ADOBERA;37840;TORDILLOS;Salamanca
00002;CALLE;ADOLFO GALANTE;37230;HINOJOSA DE DUERO;Salamanca
00009;CALLE;ADOLFO SUAREZ;37217;BARCEO;Salamanca
00010;CALLE;ADOLFO SUAREZ;37789;BUENAVISTA;Salamanca
00006;CALLE;ADOLFO SUAREZ;37630;CABRILLAS;Salamanca
00058;CALLE;ADOLFO SUAREZ;37710;CANDELARIO;Salamanca
00026;AVDA;ADOLFO SUAREZ;37684;CRISTOBAL;Salamanca
00007;CALLE;ADOLFO SUAREZ;37478;DIOS LE GUARDE;Salamanca
00042;CALLE;ADOLFO SUAREZ;37891;GALISANCHO;Salamanca
00016;CALLE;ADOLFO SUAREZ;37420;GOMECELLO;Salamanca
00042;CALLE;ADOLFO SUAREZ;37891;GALISANCHO;Salamanca
00090;CALLE;ADOLFO SUAREZ;37796;MOZARBEZ;Salamanca
00456;GRUP;ADOLFO SUAREZ;37300;PEÑARANDA DE BRACAMONTE;Salamanca
00011;CALLE;ADOLFO SUAREZ;37488;PUERTO SEGURO;Salamanca
00007;PLAZA;ADOLFO SUAREZ;37478;DIOS LE GUARDE;Salamanca
00014;CALLE;ADOLFO SUAREZ;37497;VILLAR DE ARGAÑAN;Salamanca
00008;CALLE;ADOLFO SUAREZ GONZALEZ;37755;ARMENTEROS;Salamanca
00001;PLAZA;ADRIAL;37340;ALDEARRUBIA;Salamanca
00031;CALLE;ADRIANO;37789;CUATRO CALZADAS;Salamanca
00002;CALLE;ADUANA;37488;ALDEA DEL OBISPO;Salamanca
00001;CALLE;AFAN;37216;CIPEREZ;Salamanca
00021;CALLE;AFLICCION;37170;VEGA DE TIRADOS;Salamanca
00009;PLAZA;AFRICA;37006;SALAMANCA;Salamanca
00001;CALLE;AFUERAS;37797;CALZADA DE VALDUNCIEL;Salamanca
00001;CALLE;AFUERAS;37797;CALZADA DE VALDUNCIEL;Salamanca
00001;CALLE;AFUERAS;37797;CALZADA DE VALDUNCIEL;Salamanca
00001;RONDA;AFUERAS;37797;CALZADA DE VALDUNCIEL;Salamanca
00008;CALLE;AFUERAS;37789;FRESNO ALHANDIGA;Salamanca
00001;CALLE;AFUERAS;37797;CALZADA DE VALDUNCIEL;Salamanca
00013;CALLE;AFUERAS;37798;VALDUNCIEL;Salamanca
