Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
00336;TRVA;1 ARROYO ADOBERA;40270;CARBONERO EL MAYOR;Segovia
00045;CALLE;11 DE MARZO;40490;ESTACION (LA);Segovia
00221;CALLE;15 DE AGOSTO (DEL);40250;MOZONCILLO;Segovia
04520;CALLE;3 DE ABRIL;40002;SEGOVIA;Segovia
00258;TRVA;A;40520;AYLLON;Segovia
00063;CALLE;A;40312;DURUELO;Segovia
00275;CALLE;ABAD;40150;VILLACASTIN;Segovia
08000;CMNO;ABADEJOS;40154;TORREDONDO;Segovia
00032;CMNO;ABADES;40131;JUARROS DE RIOMOROS;Segovia
00083;CALLE;ABADES;40146;LABAJOS;Segovia
00111;CTRA;ABADES;40140;VALVERDE DEL MAJANO;Segovia
05000;CMNO;ABADES (MADRONA);40154;MADRONA;Segovia
08010;CMNO;ABADES (TORREDONDO);40154;TORREDONDO;Segovia
00025;CALLE;ABADIA;40235;ALDEASOÑA;Segovia
00033;CALLE;ABAJO;40529;ALCONADILLA;Segovia
00139;CMNO;ABAJO;40512;SANTIBAÑEZ DE AYLLON;Segovia
00083;CALLE;ABAJO;40430;BERNARDOS;Segovia
00087;CALLE;ABAJO;40551;CAMPO DE SAN PEDRO;Segovia
00021;CALLE;ABAJO;40495;DOMINGO GARCIA;Segovia
00072;CALLE;ABAJO;40556;MAZAGATOS;Segovia
00035;CALLE;ABAJO;40554;MADERUELO;Segovia
00029;CALLE;ABAJO;40163;MATABUENA;Segovia
00058;CALLE;ABAJO;40214;MATA DE CUELLAR;Segovia
00025;CALLE;ABAJO;40176;ARENAL (EL);Segovia
00029;CALLE;ABAJO;40163;MATABUENA;Segovia
00031;CTRA;ABAJO;40212;SAN CRISTOBAL DE CUELLAR;Segovia
00018;CALLE;ABAJO;40291;TABANERA LA LUENGA;Segovia
00170;CALLE;ABAJO;40181;BERROCAL;Segovia
00116;.;ABAJUELOS (LOS);40408;NAVAS DE SAN ANTONIO;Segovia
00676;CALLE;ABARCAS;40320;CANTALEJO;Segovia
00030;PLAZA;ABASTOS;40270;CARBONERO EL MAYOR;Segovia
00684;CALLE;ABASTOS;40100;SAN ILDEFONSO O LA GRANJA;Segovia
01154;CALLE;ABETOS;40400;ESPINAR (EL);Segovia
00102;CALLE;ABETOS;40152;ZARZUELA DEL MONTE;Segovia
00128;CALLE;ABETOS (DE LOS);40421;ORTIGOSA DEL MONTE;Segovia
00094;CALLE;ABETOS (LOS);40142;PINAR JARDIN;Segovia
00107;CALLE;ABREVADERO;40442;SAMBOAL;Segovia
