Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
00044;CALLE;'EL HUERTO' (DE);41800;SANLUCAR LA MAYOR;Sevilla
00818;CALLE;'EL NIÑO DE VILLANUEVA';41808;VILLANUEVA DEL ARISCAL;Sevilla
01102;CALLE;'LA POLACA';41940;TOMARES;Sevilla
00285;CALLE;'PEPE VALENCIA';41950;CASTILLEJA DE LA CUESTA;Sevilla
00069;PASEO;1 DE MAYO;41808;VILLANUEVA DEL ARISCAL;Sevilla
00645;CALLE;11 DE MARZO;41390;GUADALCANAL;Sevilla
00558;CALLE;12 DE OCTUBRE;41980;ALGABA (LA);Sevilla
00977;CALLE;12 DE OCTUBRE;41330;ROSALES (LOS);Sevilla
01702;AVDA;12 DE SEPTIEMBRE;41520;VISO DEL ALCOR (EL);Sevilla
00929;CALLE;14 DE ABRIL;41310;BRENES;Sevilla
05211;CALLE;15 DE MAYO;41440;PRIORATO (EL);Sevilla
04035;CALLE;18 DE FEBRERO;41309;RINCONADA (LA);Sevilla
06045;AVDA;19 DE ABRIL;41560;ESTEPA;Sevilla
04390;AVDA;19 DE DICIEMBRE;41749;CUERVO DE SEVILLA (EL);Sevilla
06738;PLAZA;20 DE ABRIL;41563;ISLA REDONDA LA ACEÑUELA;Sevilla
00325;LUGAR;23 EDIFICIOS;41909;CENTRO DE COMARCA NORTE;Sevilla
00225;CALLE;24 DE JUNIO;41140;ISLA MAYOR;Sevilla
00005;CALLE;27 DE MAYO;41897;MADROÑO (EL);Sevilla
00340;CALLE;28 DE FEBRERO;41380;ALANIS;Sevilla
06080;AVDA;28 DE FEBRERO;41500;ALCALA DE GUADAIRA;Sevilla
00551;CALLE;28 DE FEBRERO;41980;ALGABA (LA);Sevilla
00086;CALLE;28 DE FEBRERO;41870;AZNALCOLLAR;Sevilla
00604;CALLE;28 DE FEBRERO;41930;BORMUJOS;Sevilla
00005;CALLE;28 DE FEBRERO;41310;BRENES;Sevilla
00010;CALLE;28 DE FEBRERO;41908;CASTILLEJA DE GUZMAN;Sevilla
01131;CALLE;28 DE FEBRERO;41807;ESPARTINAS;Sevilla
01685;PLAZA;28 DE FEBRERO;41560;ESTEPA;Sevilla
09800;CALLE;28 DE FEBRERO;41420;FUENTES DE ANDALUCIA;Sevilla
00232;CALLE;28 DE FEBRERO;41860;GERENA;Sevilla
00005;CALLE;28 DE FEBRERO;41310;BRENES;Sevilla
00215;CALLE;28 DE FEBRERO;41630;LANTEJUELA;Sevilla
00005;CALLE;28 DE FEBRERO;41310;BRENES;Sevilla
00468;CALLE;28 DE FEBRERO;41430;LUISIANA (LA);Sevilla
01100;PLAZA;28 DE FEBRERO;41640;OSUNA;Sevilla
00302;CALLE;28 DE FEBRERO;41670;PRUNA;Sevilla
00118;AVDA;28 DE FEBRERO;41250;REAL DE LA JARA (EL);Sevilla
00005;CALLE;28 DE FEBRERO;41310;BRENES;Sevilla
00410;CALLE;28 DE FEBRERO;41909;SALTERAS;Sevilla
00133;AVDA;28 DE FEBRERO;41920;SAN JUAN DE AZNALFARACHE;Sevilla
02515;CALLE;28 DE FEBRERO;41800;SANLUCAR LA MAYOR;Sevilla
00205;CALLE;28 DE FEBRERO;41970;SANTIPONCE;Sevilla
01040;PLAZA;28 DE FEBRERO;41907;VALENCINA CONCEPCION;Sevilla
00139;CALLE;29 DE MARZO;41980;ALGABA (LA);Sevilla
04040;CALLE;3 ABRIL AYT. DEMOCRATICOS;41300;SAN JOSE DE LA RINCONADA;Sevilla
00338;CALLE;3 DE ABRIL;41380;ALANIS;Sevilla
02761;AVDA;4 DE DICIEMBRE;41703;DOS HERMANAS;Sevilla
06145;PLAZA;4 DE DICIEMBRE;41560;ESTEPA;Sevilla
00339;CALLE;6 DE DICIEMBRE;41380;ALANIS;Sevilla
00102;CALLE;8 DE MARZO;41570;BADOLATOSA;Sevilla
00583;PLAZA;8 DE MARZO;41210;GUILLENA;Sevilla
00001;CALLE;8 DE SEPTIEMBRE;41440;LORA DEL RIO;Sevilla
90500;PQUE;9 DE MAYO;41730;MARISMILLAS;Sevilla
01540;CALLE;9 DE OCTUBRE;41565;GILENA;Sevilla
00016;CALLE;A;41563;ISLA REDONDA LA ACEÑUELA;Sevilla
09000;CALLE;A (POLIGONO CALVARIO);41100;CORIA DEL RIO;Sevilla
00629;CTRA;A 472;41800;SANLUCAR LA MAYOR;Sevilla
02990;CTRA;A 8076;41800;ESTACION DE BENACAZON;Sevilla
05321;CLLON;A SIERRA DE LA CRUZ;41440;LORA DEL RIO;Sevilla
04715;CTRA;A-392 ALCALA-DOS HERMANAS;41500;ACEBUCHAL (EL);Sevilla
00698;CTRA;A-473;41800;ESTACION DE BENACAZON;Sevilla
01440;GTA;A. GARCIA LOPEZ 'PILONGO';41350;VILLANUEVA RIO Y MINAS;Sevilla
00078;CALLE;A.C. VILLANUEVA;41808;VILLANUEVA DEL ARISCAL;Sevilla
