Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
00374;CALLE;7 DE JUNIO;42100;AGREDA;Soria
01586;CALLE;A POLIGONO INDUSTRIAL;42005;SORIA;Soria
00016;CALLE;ABAJO;42368;BARCONES;Soria
00007;CALLE;ABAJO;42218;BORJABAD;Soria
00013;CALLE;ABAJO;42224;NOLAY;Soria
00089;CALLE;ABAJO (C);42291;CUEVAS DE SORIA (LAS);Soria
00088;CALLE;ABAJO (PROLONGACION) (C);42291;CUEVAS DE SORIA (LAS);Soria
00163;CALLE;ABANCO;42369;ABANCO;Soria
00025;CTRA;ABEJAR;42293;FUENTEPINILLA;Soria
01471;CALLE;ABEL ANTON;42005;SORIA;Soria
00103;CALLE;ABEL ANTON;42150;VINUESA;Soria
00307;CALLE;ABETOS (LOS);42110;OLVEGA;Soria
00080;CALLE;ABION;42127;ABION;Soria
00041;CALLE;ABIONCILLO DE CALATAÑAZOR;42193;ABIONCILLO DE CALATAÑAZOR;Soria
00064;CALLE;ABREVADERO;42130;ALMENAR DE SORIA;Soria
00038;PASEO;ACACIAS (DE LAS);42180;ALMAJANO;Soria
00001;PASEO;ACACIAS (DE LAS);42330;SAN ESTEBAN DE GORMAZ;Soria
00001;CALLE;ACADEMIA;42200;ALMAZAN;Soria
00306;CALLE;ACEBO (EL);42110;OLVEGA;Soria
00053;CALLE;ACEÑAS (LAS);42166;SOTILLO DEL RINCON;Soria
00001;CALLE;ACOSTA;42300;BURGO DE OSMA (EL);Soria
00307;BARDA;ACOSTA;42300;BURGO DE OSMA (EL);Soria
00084;CALLE;ACRIJOS;42174;SAN PEDRO MANRIQUE;Soria
00127;CALLE;ADOLFO ALONSO MUÑOZ;42140;SAN LEONARDO DE YAGÜE;Soria
00044;PLAZA;ADOLFO SCHULTEN;42189;RENIEBLAS;Soria
00050;CALLE;ADUANA (LA);42220;MONTEAGUDO DELAS VICARIAS;Soria
00051;TRVA;ADUANA (LA);42220;MONTEAGUDO DELAS VICARIAS;Soria
00002;CALLE;ADUANA VIEJA;42002;SORIA;Soria
00201;CALLE;AGRAMADERO;42250;ARCOS DE JALON;Soria
00001;AVDA;AGREDA;42110;OLVEGA;Soria
01262;CTRA;AGREDA;42005;SORIA;Soria
00043;CALLE;AGUAVIVA DE LA VEGA;42258;AGUAVIVA DE LA VEGA;Soria
00002;CALLE;AGUILAR;42108;DEVANOS;Soria
00001;CALLE;AGUILAR;42114;SAN FELICES;Soria
00401;CALLE;AGUILAR DE MONTUENGA;42259;AGUILAR DE MONTUENGA;Soria
00050;CALLE;AGUILERA;42366;AGUILERA;Soria
00158;CALLE;AGUILERA;42360;BERLANGA DE DUERO;Soria
00005;CALLE;AGUIRRE;42002;SORIA;Soria
00066;CALLE;AGUSTIN AGUADO;42125;DEZA;Soria
00264;CALLE;AGUSTIN DE HERRERA;42330;SAN ESTEBAN DE GORMAZ;Soria
00002;CALLE;AGUSTINA DE ARAGON;42110;OLVEGA;Soria
00002;CALLE;AGUSTINAS;42100;AGREDA;Soria
00067;CALLE;AIDO (EL);42162;GARRAY;Soria
00164;CALLE;ALALO;42369;ALALO;Soria
00003;CALLE;ALAMEDA;42330;SAN ESTEBAN DE GORMAZ;Soria
00143;CALLE;ALAMEDA (LA);42157;COVALEDA;Soria
00073;CTRA;ALAMEDA (LA);42125;DEZA;Soria
00090;CALLE;ALAMEDA (LA);42126;ALAMEDA (LA);Soria
00266;CALLE;ALAMEDA III;42330;SAN ESTEBAN DE GORMAZ;Soria
00006;CALLE;ALBACETE;42004;SORIA;Soria
00007;CALLE;ALBAR SALVADORES;42003;SORIA;Soria
00008;CALLE;ALBERCA;42003;SORIA;Soria
00052;CALLE;ALBERCAS;42191;TARDAJOS DE DUERO;Soria
00001;CALLE;ALBERGUE;42174;SAN PEDRO MANRIQUE;Soria
00309;CALLE;ALCALDE D. JOSE M TELLO;42110;OLVEGA;Soria
00316;CALLE;ALCALDE JOSE MANUEL TELLO;42110;OLVEGA;Soria
00009;CALLE;ALCAZAR DE TOLEDO;42004;SORIA;Soria
00049;CALLE;ALCOBA DE LA TORRE;42353;ALCOBA DE LA TORRE;Soria
00099;CALLE;ALCOZAR;42320;ALCOZAR;Soria
00360;CALLE;ALCUBILLA DEL MARQUES;42391;ALCUBILLA DEL MARQUES;Soria
00025;CMNO;ALDEA DE SAN ESTEBAN;42328;MIÑO DE SAN ESTEBAN;Soria
00270;CALLE;ALDEA DE SAN ESTEBAN;42345;ALDEA DE SAN ESTEBAN;Soria
00017;CALLE;ALDEHUELA;42366;BAYUBAS DE ABAJO;Soria
00365;CTRA;ALDEHUELA (DE LA);42100;AGREDA;Soria
00103;TRVA;ALDEHUELA (LA);42360;BERLANGA DE DUERO;Soria
00128;CALLE;ALDEHUELA (LA);42360;BERLANGA DE DUERO;Soria
00362;CALLE;ALDEHUELA DE AGREDA;42107;ALDEHUELA DE AGREDA;Soria
00042;CALLE;ALDEHUELA DE CALATAÑAZOR;42193;ALDEHUELA DE CALATAÑAZOR;Soria
00043;CALLE;ALDEHUELA DEL RINCON;42166;ALDEHUELA DEL RINCON;Soria
00042;CALLE;ALEGRIA;42158;DURUELO DE LA SIERRA;Soria
00081;CALLE;ALEGRIA;42190;GOLMAYO;Soria
00136;PLAZA;ALEJANDRA SORIA;42158;DURUELO DE LA SIERRA;Soria
00033;CALLE;ALEJANDRO OSACAR DE FE;42177;YANGUAS;Soria
00011;CALLE;ALFONSO VIII;42003;SORIA;Soria
00136;PLAZA;ALFONSO X EL SABIO;42140;SAN LEONARDO DE YAGÜE;Soria
00217;CALLE;ALHARIDES;42318;OSMA;Soria
00403;CALLE;ALHARIDES 5;42318;OSMA;Soria
00012;CTRA;ALMAJANO;42180;ALDEALSEÑOR;Soria
01121;CTRA;ALMAJANO;42004;SORIA;Soria
00202;CMNO;ALMALUEZ;42250;ARCOS DE JALON;Soria
00418;BARRO;ALMANTIGA;42200;ALMANTIGA;Soria
00043;CALLE;ALMARAIL;42191;ALMARAIL;Soria
00169;CALLE;ALMARZA(UR.ESTANQUE)TERA;42164;TERA;Soria
00057;CTRA;ALMAZAN;42120;GOMARA;Soria
00061;CTRA;ALMAZAN;42223;MORON DE ALMAZAN;Soria
00012;CALLE;ALMAZAN;42004;SORIA;Soria
00008;CALLE;ALMAZAN;42196;VALDENEBRO;Soria
00050;CTRA;ALMAZAN (DE);42191;CUBO DE LA SOLANA;Soria
00058;CTRA;ALMENAR;42120;GOMARA;Soria
00003;CALLE;ALMENDRO (EL);42250;ARCOS DE JALON;Soria
00234;CALLE;ALMENDRO (EL);42110;OLVEGA;Soria
00377;CALLE;ALMENDROS (LOS);42100;AGREDA;Soria
00037;CALLE;ALMUDEJO;42223;MORON DE ALMAZAN;Soria
00014;CALLE;ALONSO DE VELAZQUEZ;42003;SORIA;Soria
00046;CALLE;ALPARRACHE;42218;ALPARRACHE;Soria
00013;CALLE;ALTA;42113;FUENTESTRUN;Soria
00012;CALLE;ALTA;42225;MAJAN;Soria
00021;CALLE;ALTA;42296;MIÑO DE MEDINACELI;Soria
00008;CALLE;ALTA;42328;MIÑO DE SAN ESTEBAN;Soria
00048;CALLE;ALTA;42149;NAVALENO;Soria
00016;CALLE;ALTA;42136;TORRUBIA DE SORIA;Soria
00009;CALLE;ALTA;42113;TREVAGO;Soria
00017;CALLE;ALTA FUENTE;42296;YELO;Soria
00355;CALLE;ALTA(TOR);42342;TORREMOCHA DE AYLLON;Soria
00002;CALLE;ALTAMIRA;42200;ALMAZAN;Soria
00026;CALLE;ALTILLO;42353;ALCUBILLA DE AVELLANEDA;Soria
00029;BARRO;ALTO;42368;BARCONES;Soria
00008;CALLE;ALTO;42144;VADILLO;Soria
00322;CALLE;ALTO (EL);42318;OSMA;Soria
00018;CALLE;ALTO (EL);42260;SANTA MARIA DE HUERTA;Soria
00397;CALLE;ALTO ALHARIDES;42318;OSMA;Soria
00059;CMNO;ALTO DE OSONILLA;42294;TARDELCUENDE;Soria
00048;CALLE;ALTO DE SAN MIGUEL;42353;ALCUBILLA DE AVELLANEDA;Soria
00233;CALLE;ALTO EL PICO;42318;OSMA;Soria
00020;CALLE;ALTOZANO;42182;ARANCON;Soria
00100;CALLE;ALTOZANO (FL);42293;FUENTELARBOL;Soria
00135;CALLE;ALTOZANO (V);42291;VENTOSA DE FUENTEPINILLA;Soria
00015;CALLE;AMAPOLA;42004;SORIA;Soria
00020;CALLE;AMARGURA;42113;CASTILRUIZ;Soria
00012;CALLE;AMARGURA;42311;FRESNO DE CARACENA;Soria
00030;CALLE;AMARGURA;42293;FUENTEPINILLA;Soria
00004;CALLE;AMARGURA;42330;SAN ESTEBAN DE GORMAZ;Soria
00026;CALLE;AMARGURA;42176;VILLAR DEL RIO;Soria
00026;CALLE;AMARGURA (LA);42258;ALMALUEZ;Soria
00015;CALLE;AMARGURA (LA);42194;RIOSECO DE SORIA;Soria
00032;CALLE;AMBRONA;42230;AMBRONA;Soria
00241;CALLE;AMERICA;42110;OLVEGA;Soria
00004;CALLE;ANASTASIO VITORIA;42100;AGREDA;Soria
00003;CALLE;ANCHA;42100;AGREDA;Soria
00008;CALLE;ANCHA;42113;TREVAGO;Soria
00105;CALLE;ANCHA (FL);42293;FUENTELARBOL;Soria
00165;CALLE;ANDALUZ;42366;ANDALUZ;Soria
00077;CALLE;ANDRES GONZALO;42120;GOMARA;Soria
00067;CALLE;ANDRES VILLACIEROS;42150;VINUESA;Soria
00104;CALLE;ANGEL CECILIA;42300;BURGO DE OSMA (EL);Soria
00125;CALLE;ANGEL TERREL;42157;COVALEDA;Soria
00017;CALLE;ANGEL TERREL;42001;SORIA;Soria
00107;CALLE;ANGOSTA (AL);42320;ALCOZAR;Soria
00018;CALLE;ANGUSTIAS (LAS);42148;CASAREJOS;Soria
00096;CALLE;ANGUSTIAS (LAS);42157;COVALEDA;Soria
00148;CALLE;ANGUSTIAS (LAS);42140;SAN LEONARDO DE YAGÜE;Soria
00020;CALLE;ANIMAS (LAS);42124;FUENTELMONGE;Soria
00628;CALLE;ANIMAS (UT);42250;UTRILLA;Soria
00038;CALLE;ANSELMO DE LA ORDEN;42146;ABEJAR;Soria
00018;CALLE;ANTOLIN DE SORIA;42002;SORIA;Soria
00097;CALLE;ANTOLIN GARCIA;42157;COVALEDA;Soria
00176;CALLE;ANTONIO CASAREJOS G;42140;SAN LEONARDO DE YAGÜE;Soria
00019;CALLE;ANTONIO DE ONCALA;42001;SORIA;Soria
00062;CALLE;ANTONIO FERNANDEZ PACHECO;42315;RETORTILLO DE SORIA;Soria
00031;CALLE;ANTONIO MACHADO;42133;ALCONABA;Soria
00003;CALLE;ANTONIO MACHADO;42200;ALMAZAN;Soria
00288;GRUP;ANTONIO MACHADO;42250;ARCOS DE JALON;Soria
00508;CALLE;ANTONIO MACHADO;42250;ARCOS DE JALON;Soria
00125;CALLE;ANTONIO MACHADO;42158;DURUELO DE LA SIERRA;Soria
00047;PLAZA;ANTONIO MACHADO;42211;MATAMALA DE ALMAZAN;Soria
00141;CALLE;ANTONIO MACHADO;42240;MEDINACELI;Soria
00026;CALLE;ANTONIO MACHADO;42155;MOLINOS DE DUERO;Soria
00003;CALLE;ANTONIO MACHADO;42200;ALMAZAN;Soria
00050;CALLE;ANTONIO MACHADO;42291;QUINTANA REDONDA;Soria
00194;CALLE;ANTONIO MACHADO;42140;SAN LEONARDO DE YAGÜE;Soria
00081;CALLE;ANTONIO MACHADO;42174;SAN PEDRO MANRIQUE;Soria
01482;PLAZA;ANTONIO MACHADO;42005;SORIA;Soria
00054;CALLE;ANTONIO MACHADO;42128;TEJADO;Soria
00055;CALLE;ANTONIO MACHADO;42150;VINUESA;Soria
00105;PASEO;ANTONIO MACHADO;42150;VINUESA;Soria
01528;CALLE;ANTONIO SEGURA ZUBIZARRET;42004;SORIA;Soria
00075;CALLE;ANTONIO SONIER;42100;AGREDA;Soria
00182;PRAJE;APTO.URBANIZAR-TERA;42164;TERA;Soria
00129;CALLE;AQUILINO SALA ALONSO;42140;SAN LEONARDO DE YAGÜE;Soria
00016;PLAZA;AQUILINO VELILLA;42189;NARROS;Soria
00010;CALLE;ARAGON;42311;FRESNO DE CARACENA;Soria
00058;CALLE;ARAGON;42220;MONTEAGUDO DELAS VICARIAS;Soria
00056;CALLE;ARAGON;42149;NAVALENO;Soria
00004;CALLE;ARAGON;42110;OLVEGA;Soria
00006;CALLE;ARAGON;42113;TREVAGO;Soria
01497;AVDA;ARAGON (DE);42004;SORIA;Soria
00390;CALLE;ARANDA DE DUERO;42300;BURGO DE OSMA (EL);Soria
00021;CALLE;ARBOLEDA;42002;SORIA;Soria
00096;BJADA;ARBOLEDA (LA);42360;BERLANGA DE DUERO;Soria
00008;CALLE;ARBOLLON;42112;POZALMURO;Soria
00152;CALLE;ARBUJUELO;42249;ARBUJUELO;Soria
00005;CALLE;ARCO ARABE;42100;AGREDA;Soria
00001;CALLE;ARCO AÑAVIEJA;42100;AGREDA;Soria
00383;CALLE;ARCO DE LA VILLA;42200;ALMAZAN;Soria
00023;CALLE;ARCO DEL CUERNO;42002;SORIA;Soria
00022;CALLE;ARCO LOS CONDES GOMARA;42002;SORIA;Soria
00282;CALLE;ARCOBRIGA;42250;ARCOS DE JALON;Soria
00018;CALLE;ARENALES (LOS);42368;BARCONES;Soria
00312;CALLE;AREVACOS;42330;SAN ESTEBAN DE GORMAZ;Soria
00217;CALLE;ARGANZA;42140;SAN LEONARDO DE YAGÜE;Soria
00198;CALLE;ARGANZA (PUEBLO);42140;ARGANZA;Soria
00027;CALLE;ARGEL;42132;NOVIERCAS;Soria
00039;AVDA;ARGENTINA;42145;CIDONES;Soria
00023;CALLE;ARGUIJO;42169;ARGUIJO;Soria
00054;CTRA;ARIZA;42220;MONTEAGUDO DELAS VICARIAS;Soria
00777;BARRI;ARMEJUN;42174;SAN PEDRO MANRIQUE;Soria
00098;AVDA;ARQUEROS (DE LOS);42157;COVALEDA;Soria
00055;CALLE;ARRABAL;42191;CUBO DE LA SOLANA;Soria
00038;CALLE;ARRABAL;42223;MORON DE ALMAZAN;Soria
00035;CALLE;ARRABAL;42313;RECUERDA;Soria
00006;CALLE;ARRABAL;42165;VALDEAVELLANO DE TERA;Soria
00002;CALLE;ARRABAL;42181;VALTAJEROS;Soria
00027;CALLE;ARRABAL;42177;YANGUAS;Soria
00015;CALLE;ARRABAL;42296;YELO;Soria
00027;CALLE;ARRABAL (EL);42258;ALMALUEZ;Soria
00016;CALLE;ARRABAL (EL);42194;RIOSECO DE SORIA;Soria
00014;CALLE;ARRABAL (EL);42124;TORLENGUA;Soria
00017;CALLE;ARRABAL BAJERO;42165;VALDEAVELLANO DE TERA;Soria
00058;CALLE;ARRANZ GOMEZ;42166;SOTILLO DEL RINCON;Soria
00013;CALLE;ARRIBA;42135;ALDEALAFUENTE;Soria
00007;CALLE;ARRIBA;42171;ALDEALICES;Soria
00008;CALLE;ARRIBA;42368;ARENILLAS;Soria
00019;CALLE;ARRIBA;42368;BARCONES;Soria
00027;CALLE;ARRIBA;42155;MOLINOS DE DUERO;Soria
00013;CALLE;ARRIBA;42135;ALDEALAFUENTE;Soria
00011;CALLE;ARRIBA;42181;VALTAJEROS;Soria
00071;CALLE;ARRIBA (DE);42191;ALMARAIL;Soria
00116;CALLE;ARRIBA (V);42294;VENTOSA DE FUENTEPINILLA;Soria
00050;CALLE;ARRIBA (VAL);42293;VALDERRUEDA;Soria
00003;CALLE;ARROYO;42165;REBOLLAR;Soria
00025;CALLE;ARROYO (AR);42169;ARGUIJO;Soria
00032;CALLE;ARROYO (EL);42128;TEJADO;Soria
01264;CALLE;ARZOBISPO DON RODRIGO;42003;SORIA;Soria
01265;CALLE;ARZOBISPO FUENMAYOR;42001;SORIA;Soria
01504;CALLE;ASTURIAS;42005;SORIA;Soria
00001;CALLE;ATALAYA;42341;LICERAS;Soria
00005;CALLE;ATALAYA;42330;SAN ESTEBAN DE GORMAZ;Soria
00271;CALLE;ATAUTA;42345;ATAUTA;Soria
00428;CALLE;ATENAS;42200;ALMAZAN;Soria
00007;CALLE;ATRAS;42180;CARRASCOSA DE LA SIERRA;Soria
00099;CALLE;ATRAS;42341;MONTEJO DE TIERMES;Soria
00215;CALLE;AUGUSTOBRIGA;42110;OLVEGA;Soria
01540;CALLE;AUSTRIA;42005;SORIA;Soria
00142;CALLE;AV.ENRIQUE DE LEON (V);42328;VALDANZO;Soria
00077;CALLE;AVE MARIA;42220;MONTEAGUDO DELAS VICARIAS;Soria
00007;CALLE;AVELINO HERNANDEZ;42110;OLVEGA;Soria
00015;CALLE;AVELLANA (LA);42124;TORLENGUA;Soria
00398;TRVA;AVENIDA DE MADRID (DE LA);42250;ARCOS DE JALON;Soria
00366;TRVA;AVENIDA LA PAZ;42100;AGREDA;Soria
00004;CALLE;AVILA;42200;ALMAZAN;Soria
00099;CALLE;AVILA;42157;COVALEDA;Soria
00099;CALLE;AVILA;42157;COVALEDA;Soria
00026;CALLE;AVILA;42001;SORIA;Soria
00031;CALLE;AYLAGAS;42317;AYLAGAS;Soria
00022;PLAZA;AYLLON;42136;TORRUBIA DE SORIA;Soria
00020;CALLE;AYLLONCILLO;42162;AYLLONCILLO;Soria
00073;CALLE;AYUNTAMIENTO;42147;CABREJAS DEL PINAR;Soria
00019;PLAZA;AYUNTAMIENTO;42113;MATALEBRERAS;Soria
00191;CALLE;AYUNTAMIENTO;42110;OLVEGA;Soria
00020;PLAZA;AYUNTAMIENTO;42196;VALDENEBRO;Soria
00082;PLAZA;AYUNTAMIENTO (DEL);42147;CABREJAS DEL PINAR;Soria
00019;PLAZA;AYUNTAMIENTO (DEL);42156;SALDUERO;Soria
00013;PLAZA;AYUNTAMIENTO (EL);42366;BAYUBAS DE ARRIBA;Soria
00014;TRVA;AYUNTAMIENTO (EL);42211;CENTENERA DE ANDALUZ;Soria
00123;PLAZA;AYUNTAMIENTO (EL);42240;MEDINACELI;Soria
00570;PLAZA;AYUNTAMIENTO (LA);42250;LAYNA;Soria
00130;CALLE;AYUNTAMIENTO (ZA);42329;ZAYAS DE TORRE;Soria
00125;CALLE;AYUNTAMIENTO VIEJO-SAN AN;42169;SAN ANDRES DE SORIA;Soria
00137;PLAZA;AYUNTAMIENTO-SAN ANDRES;42169;SAN ANDRES DE SORIA;Soria
00108;CALLE;AZAFRANAL;42190;GOLMAYO;Soria
00153;CALLE;AZCAMELLAS;42230;AZCAMELLAS;Soria
00010;CALLE;AZULEJOS;42312;VILLANUEVA DE GORMAZ;Soria
00074;CALLE;AÑAVIEJA;42108;AÑAVIEJA;Soria
00363;CALLE;BABIECA;42330;SAN ESTEBAN DE GORMAZ;Soria
00027;CALLE;BAILEN;42004;SORIA;Soria
00007;CALLE;BAJA;42341;LICERAS;Soria
00338;CALLE;BAJADA CALLE MAYOR (PIQ);42342;PIQUERA DE SAN ESTEBAN;Soria
00055;CALLE;BAJADA ERAS;42120;GOMARA;Soria
00120;CLLJA;BAJADA MATADERO;42360;BERLANGA DE DUERO;Soria
00009;CALLE;BAJERA;42171;ALDEALICES;Soria
00028;CALLE;BAJERA;42258;ALMALUEZ;Soria
00062;CALLE;BAJERA;42169;ALMARZA;Soria
00019;CALLE;BAJERA;42182;ARANCON;Soria
00011;CALLE;BAJERA;42161;AREVALO DE LA SIERRA;Soria
00017;CALLE;BAJERA;42193;BLACOS;Soria
00014;CALLE;BAJERA;42162;BUITRAGO;Soria
00017;CALLE;BAJERA;42193;BLACOS;Soria
00004;CALLE;BAJERA;42114;CIGUDOSA;Soria
00017;CALLE;BAJERA;42193;BLACOS;Soria
00080;CALLE;BAJERA;42125;DEZA;Soria
00006;CALLE;BAJERA;42162;FUENTECANTOS;Soria
00022;CALLE;BAJERA;42124;FUENTELMONGE;Soria
00003;CALLE;BAJERA;42181;FUENTES DE MAGAÑA;Soria
00004;CALLE;BAJERA;42114;CIGUDOSA;Soria
00008;CALLE;BAJERA;42144;HERRERA DE SORIA;Soria
00005;CALLE;BAJERA;42181;LOSILLA (LA);Soria
00014;CALLE;BAJERA;42162;BUITRAGO;Soria
00007;CALLE;BAJERA;42143;NAFRIA DE UCERO;Soria
00010;CALLE;BAJERA;42368;RELLO;Soria
00017;CALLE;BAJERA;42193;BLACOS;Soria
00017;CALLE;BAJERA;42193;BLACOS;Soria
00004;CALLE;BAJERA;42114;CIGUDOSA;Soria
00013;CALLE;BAJERA;42366;TAJUECO;Soria
00029;CALLE;BAJERA;42148;TALVEILA;Soria
00018;CALLE;BAJERA;42136;TORRUBIA DE SORIA;Soria
00030;CALLE;BAJERA;42165;VALDEAVELLANO DE TERA;Soria
00005;CALLE;BAJERA;42181;LOSILLA (LA);Soria
00013;CALLE;BAJERA;42366;TAJUECO;Soria
00454;CALLE;BAJERA (BAR);42318;BARCEBALEJO;Soria
00463;CALLE;BAJERA (BER);42350;BERZOSA;Soria
00100;CALLE;BAJERA (CHA);42163;CHAVALER;Soria
00513;CALLE;BAJERA (TO);42195;TORRALBA DEL BURGO;Soria
00660;CALLE;BAJERA (UR);42250;UREX DE MEDINACELI;Soria
00528;CALLE;BAJERA (VA);42318;VALDELUBIEL;Soria
00131;CALLE;BAJERA (ZA);42329;ZAYAS DE TORRE;Soria
00273;CALLE;BAJERA-MURO;42108;MURO;Soria
00016;BARRO;BAJERO;42138;CIRIA;Soria
00010;BARRO;BAJERO;42225;MAJAN;Soria
00148;BARRO;BAJERO-GALLINERO;42161;GALLINERO;Soria
00026;CALLE;BAJO LOS PRADOS;42113;MATALEBRERAS;Soria
00049;CALLE;BALCONES (LOS);42174;SAN PEDRO MANRIQUE;Soria
00011;CALLE;BALLESTA (LA);42367;CALTOJAR;Soria
00419;BARRO;BALLUNCAR;42200;BALLUNCAR;Soria
00016;CALLE;BALSA;42113;MATALEBRERAS;Soria
00007;CALLE;BALSA;42112;TAJAHUERCE;Soria
00013;CALLE;BALSA;42129;VILLASECA DE ARCIEL;Soria
00020;CALLE;BALSA (LA);42135;ALDEALAFUENTE;Soria
00010;CALLE;BALSA (LA);42192;VILLACIERVOS;Soria
00010;CALLE;BALSA (LA);42192;VILLACIERVOS;Soria
01375;CALLE;BALSAS (LAS);42001;SORIA;Soria
00029;CALLE;BALSILLAS (LAS);42005;SORIA;Soria
00373;CALLE;BANDA DE MUSICA (DE LA);42300;BURGO DE OSMA (EL);Soria
00111;CTRA;BARAONA;42240;MEDINACELI;Soria
00361;CALLE;BARCEBAL;42318;BARCEBAL;Soria
00362;CALLE;BARCEBALEJO;42318;BARCEBALEJO;Soria
00034;CALLE;BARRANCAZO;42146;ABEJAR;Soria
00056;CALLE;BARRANCO;42320;LANGA DE DUERO;Soria
00108;CALLE;BARRANCO;42240;MEDINACELI;Soria
