Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
00243;PSAJE;"A" CNO. VALLADO;38206;S CRISTOBAL LAGUNA;Sta. C. de Tenerife
00246;PSAJE;"A" REP. VENEZUELA;38206;S CRISTOBAL LAGUNA;Sta. C. de Tenerife
00244;PSAJE;"B" CNO. VALLADO;38206;S CRISTOBAL LAGUNA;Sta. C. de Tenerife
00301;CALLE;"EL PAISA";38290;LLANO DEL MORO;Sta. C. de Tenerife
01290;CALLE;"H",LA (B.OBISPADO);38320;CUESTA (LA);Sta. C. de Tenerife
01974;CALLE;1  DE MAYO;38686;ALCALA;Sta. C. de Tenerife
00555;CALLE;1  TRANSV. RINCON (EL);38629;ROQUE (EL);Sta. C. de Tenerife
00020;TRVAL;1. AGUSTIN ANGEL;38550;ARAFO;Sta. C. de Tenerife
10058;TRVAL;1. ALAGON;38550;ARAFO;Sta. C. de Tenerife
00070;TRVAL;1. ANDRES OROZCO;38550;ARAFO;Sta. C. de Tenerife
10012;TRVAL;1. BARRANQ.;38550;ARAFO;Sta. C. de Tenerife
10061;TRVAL;1. CALZADA;38550;ARAFO;Sta. C. de Tenerife
00420;TRVAL;1. CANDIDO MESA;38550;ARAFO;Sta. C. de Tenerife
01600;TRVAL;1. CAPITAN NUÑEZ;38550;ARAFO;Sta. C. de Tenerife
20002;TRVAL;1. CARDONERA;38550;HIDALGA (LA);Sta. C. de Tenerife
00600;TRVAL;1. CRUZ VALLE;38550;ARAFO;Sta. C. de Tenerife
00790;TRVAL;1. EDUARDO CURBELO;38550;ARAFO;Sta. C. de Tenerife
10041;TRVAL;1. EL PERU;38550;ARAFO;Sta. C. de Tenerife
00830;TRVAL;1. EUFEM.FERRERA;38550;ARAFO;Sta. C. de Tenerife
00940;TRVAL;1. FUENTE;38550;ARAFO;Sta. C. de Tenerife
00960;TRVAL;1. GALVAN;38550;ARAFO;Sta. C. de Tenerife
01080;TRVAL;1. GUIA ISORA;38550;ARAFO;Sta. C. de Tenerife
01120;TRVAL;1. GUIMAR;38550;ARAFO;Sta. C. de Tenerife
01215;TRVAL;1. HERRERIA;38550;ARAFO;Sta. C. de Tenerife
00997;TRVAL;1. HISPANIDAD;38550;ARAFO;Sta. C. de Tenerife
01270;TRVAL;1. JESUS GUANCHE;38550;ARAFO;Sta. C. de Tenerife
00333;TRVAL;1. LA CRUZ;38550;ARAFO;Sta. C. de Tenerife
00920;TRVAL;1. LA FLORA;38550;ARAFO;Sta. C. de Tenerife
01020;TRVAL;1. LA LIBERTAD;38550;ARAFO;Sta. C. de Tenerife
38071;TRVAL;1. LAS CALLES;38550;HIDALGA (LA);Sta. C. de Tenerife
01450;TRVAL;1. M. AUXILIAD.;38550;ARAFO;Sta. C. de Tenerife
20009;TRVAL;1. MAJANO;38550;HIDALGA (LA);Sta. C. de Tenerife
30017;TRVAL;1. MALPAIS;38550;HIDALGA (LA);Sta. C. de Tenerife
