Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
00056;CMNO;;44570;CALANDA;Teruel
00027;CALLE;;44587;FUENTESPALDA;Teruel
00394;PLAZA;"EL COLONO" (DE);44661;VALMUEL;Teruel
00063;CALLE;12 DE OCTUBRE;44750;MARTIN DEL RIO;Teruel
00062;CALLE;15 DE AGOSTO;44750;MARTIN DEL RIO;Teruel
00064;CALLE;4 DE DICIEMBRE;44750;MARTIN DEL RIO;Teruel
00111;CALLE;8 DE MARZO;44500;ANDORRA;Teruel
00127;CTRA;A-1515;44415;RUBIELOS DE MORA;Teruel
00001;CALLE;AAIUN (EL);44003;TERUEL;Teruel
00015;CALLE;ABAD ZAPATER;44409;CABRA DE MORA;Teruel
00009;CALLE;ABADIA;44415;FUENTES DE RUBIELOS;Teruel
00001;CALLE;ABADIA;44530;HIJAR;Teruel
00015;CALLE;ABADIA;44750;MARTIN DEL RIO;Teruel
00005;CALLE;ABADIA;44169;MEZQUITA DE JARQUE;Teruel
00025;CALLE;ABADIA;44700;MONTALBAN;Teruel
00023;CALLE;ABADIA;44780;MUNIESA;Teruel
00002;CALLE;ABADIA;44001;TERUEL;Teruel
00006;CALLE;ABADIA;44164;VISIEDO;Teruel
00151;CALLE;ABADIA (DE LA);44610;CALACEITE;Teruel
00007;CALLE;ABADIAS;44791;HOZ DE LA VIEJA (LA);Teruel
01576;PLAZA;ABADIAS;44396;CAUDE;Teruel
00004;CALLE;ABAJO;44121;BEZAS;Teruel
00014;CALLE;ABAJO;44126;CALOMARDE;Teruel
00030;BARRO;ABAJO;44125;ROYUELA;Teruel
00004;CALLE;ABAJO;44121;BEZAS;Teruel
00005;PLAZA;ABAJO;44133;TRAMACASTIEL;Teruel
00071;BARRO;ABAJO (DE);44477;FUEN DEL CEPO;Teruel
00021;PLAZA;ABAJO (DE);44134;ALOBRAS;Teruel
00030;CALLE;ABANDOLEROS;44394;VILLAFRANCA DEL CAMPO;Teruel
00146;CALLE;ABEL MARTIN;44410;MOSQUERUELA;Teruel
00007;CALLE;ABENAIRE;44490;FERRERUELA DE HUERVA;Teruel
00167;BARRO;ABENFIGO;44565;ABENFIGO;Teruel
00081;PLAZA;ABREVADERO (DEL);44422;CEREZOS (LOS);Teruel
00126;.;ABRICUESTAS;44460;SARRION;Teruel
00410;CALLE;ABUAN;44370;CELLA;Teruel
00020;CALLE;ABUELA ANICA;44114;GRIEGOS;Teruel
01831;CMNO;ACARREA-MONTE (DE);44192;CASTRALVO;Teruel
