Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
00079;CALLE;1 DE MAYO;45683;CAZALEGAS;Toledo
00071;CALLE;1 DE MAYO;45544;DOMINGO PEREZ;Toledo
00042;CALLE;1 DE MAYO;45512;PORTILLO DE TOLEDO;Toledo
00054;TRVA;1 DE MAYO;45512;PORTILLO DE TOLEDO;Toledo
00071;CALLE;1 DE MAYO;45544;DOMINGO PEREZ;Toledo
00235;POLIG;11;45340;ONTIGOLA;Toledo
00360;PLAZA;11 DE MARZO;45210;YUNCOS;Toledo
00174;CALLE;11 DE SEPTIEMBRE;45700;CONSUEGRA;Toledo
00030;AVDA;12 DE MAYO;45571;ALCOLEA DE TAJO;Toledo
00093;CALLE;12 DE OCTUBRE;45250;AÑOVER DE TAJO;Toledo
00023;CALLE;13 ROSAS;45500;TORRIJOS;Toledo
00023;CALLE;16 DE SEPTIEMBRE;45684;LUCILLOS;Toledo
00081;CALLE;17 DE MAYO;45310;VILLATOBAS;Toledo
00121;CALLE;18 DE JULIO;45510;FUENSALIDA;Toledo
00063;CALLE;18 DE OCTUBRE;45212;LOMINCHAR;Toledo
00031;CALLE;2 DE MAYO;45593;BARGAS;Toledo
00284;CALLE;2 DE MAYO;45870;LILLO;Toledo
00105;AVDA;2 DE MAYO;45270;MOCEJON;Toledo
00132;CALLE;2 DE MAYO;45770;ROMERAL (EL);Toledo
00032;CALLE;2 DE MAYO;45789;TURLEQUE;Toledo
00087;PLAZA;2 DE MAYO;45220;YELES;Toledo
00159;CALLE;2 DE MAYO;45220;YELES;Toledo
00092;CALLE;20 DE MARZO;45695;ALBERCHE DEL CAUDILLO;Toledo
00025;CALLE;24 DE AGOSTO;45654;S BARTOLOME LAS ABIERTAS;Toledo
00020;AVDA;27 DE MARZO;45160;GUADAMUR;Toledo
00024;PLAZA;27 DE MARZO;45123;LAYOS;Toledo
00010;TRVA;28 DE MARZO;45789;TURLEQUE;Toledo
00018;CALLE;28 DE MARZO;45789;TURLEQUE;Toledo
00124;CALLE;30 DE MAYO;45140;NAVALMORALES (LOS);Toledo
00328;CALLE;6 DE OCTUBRE;45510;FUENSALIDA;Toledo
00044;CALLE;8 DE MARZO;45360;VILLARRUBIA DE SANTIAGO;Toledo
00125;CALLE;A;45919;HORMIGOS;Toledo
00093;CALLE;A;45646;REGADIOS SAN ROMAN;Toledo
00303;CALLE;A;45909;CALALBERCHE;Toledo
00160;CALLE;A;45215;GUADARRAMA CENTRO;Toledo
00309;CALLE;A-BARRERO;45215;GUADARRAMA CENTRO;Toledo
00331;CALLE;A-CAMINO DE HUERTAS;45215;GUADARRAMA OESTE;Toledo
00355;CALLE;A-CAMINO DE ILLESCAS;45215;GUADARRAMA OESTE;Toledo
00084;CALLE;A-CAMINO DEL RIO;45215;GUADARRAMA CENTRO;Toledo
00312;CALLE;A-CAMINO MADRID B;45215;GUADARRAMA CENTRO;Toledo
00083;CALLE;ABADESA;45918;PELAHUSTAN;Toledo
00026;CALLE;ABADESA DÑA LEOCADIA FDEZ;45571;AZUTAN;Toledo
00025;CALLE;ABAJO;45638;PEPINO;Toledo
00041;CALLE;ABAJO;45646;SAN ROMAN DE LOS MONTES;Toledo
00013;BARRO;ABAJO;45370;SANTA CRUZ DE LA ZARZA;Toledo
00035;PLZLA;ABAJO (DE);45635;SOTILLO DE LAS PALOMAS;Toledo
00014;BARRO;ABAJO ALTO;45370;SANTA CRUZ DE LA ZARZA;Toledo
00090;CALLE;ABANICO (DEL);45592;CABAÑAS DE LA SAGRA;Toledo
00001;CALLE;ABARCA;45680;CEBOLLA;Toledo
00204;PLAZA;ABDON DE PAZ;45161;POLAN;Toledo
00002;PLAZA;ABDON DE PAZ;45001;TOLEDO;Toledo
00270;CALLE;ABEDUL;45900;PINAR (EL);Toledo
00128;TRVA;ABEDUL;45919;SOTOALBERCHE FUENTEROMERO;Toledo
00144;CALLE;ABEDUL;45919;SOTOALBERCHE FUENTEROMERO;Toledo
00589;CALLE;ABEDUL;45200;ILLESCAS;Toledo
02166;CALLE;ABEDUL;45005;TOLEDO;Toledo
00230;CALLE;ABEDUL;45612;VELADA;Toledo
00394;CALLE;ABEDUL;45215;GUADARRAMA OESTE;Toledo
00425;CMNO;ABEJAS;45200;ILLESCAS;Toledo
00194;CALLE;ABEL RESINO;45612;VELADA;Toledo
00266;VREDA;ABERO;45530;SANTA OLALLA;Toledo
00318;CALLE;ABETO;45900;PINAR (EL);Toledo
00184;CALLE;ABETO;45122;ARGES;Toledo
00088;CALLE;ABETO;45216;CARRANQUE;Toledo
00134;CALLE;ABETO;45518;GERINDOTE;Toledo
00520;CALLE;ABETO;45200;MORATALAZ;Toledo
00216;CALLE;ABETO;45690;PUEBLANUEVA (LA);Toledo
00017;CALLE;ABETO;45513;SANTA CRUZ DEL RETAMAR;Toledo
00001;CALLE;ABETO;45860;VILLACAÑAS;Toledo
00280;CALLE;ABETO;45520;VILLALUENGA DE LA SAGRA;Toledo
00297;CALLE;ABETO;45215;GUADARRAMA CENTRO;Toledo
00121;CALLE;ABETOS;45191;NIEVES (LAS);Toledo
