Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
00153;POLIG;01 (BENICULL-MONTSERRAT);46612;CORBERA;Valencia
00142;POLIG;02 (LES BASSES - EL RAFAL;46612;CORBERA;Valencia
00146;POLIG;03 (SANT MIQUEL-COLOM-MOL;46612;CORBERA;Valencia
00147;POLIG;04 (EL MOLI DE MONTSALVA);46612;CORBERA;Valencia
00148;POLIG;05 (BUDELL-MALLADES-TANCA;46612;CORBERA;Valencia
00150;POLIG;07 (LES ESTRETES);46612;CORBERA;Valencia
00152;POLIG;09 (MONTANERS-FIGUERAL-FO;46612;CORBERA;Valencia
00870;.;0ARTIDA LA TANCA (DISEMI);46930;PAI I CAPELLANS;Valencia
00124;CARRE;1;46267;GAVARDA;Valencia
00184;POLIG;1;46613;LLAURI;Valencia
00500;POLIG;1;46192;MONTSERRAT;Valencia
00540;C/;1;46182;CAÑADA (LA);Valencia
00611;CALLE;1;46185;RASCANYA;Valencia
00450;CALLE;1;46190;MONTE ALCEDO;Valencia
01611;CALLE;1 (LA LLOMA DEL PORRET);46185;CONARDA (LA);Valencia
00033;CALLE;1 DE MAIG;46115;ALFARA DEL PATRIARCA;Valencia
00403;PLAÇA;1 DE MAIG;46680;ALGEMESI;Valencia
00409;CARRE;1 DE MAIG;46291;BENIMODO;Valencia
00012;CARRE;1 DE MAIG;46418;FORTALENY;Valencia
00064;CARRE;1 DE MAIG;46660;MANUEL;Valencia
01140;CARRE;1 DE MAIG;46130;MASSAMAGRELL;Valencia
00316;CARRE;1 DE MAIG;46136;MUSEROS;Valencia
00041;CARRE;1 DE MAIG;46850;OLLERIA (L');Valencia
00005;CALLE;1 DE MAIG;46670;POBLA LLARGA (LA);Valencia
00210;CALLE;1 DE MAIG;46138;RAFELBUNYOL;Valencia
00042;CALLE;1 DE MAIG;46016;TAVERNES BLANQUES;Valencia
01195;PLAZA;1 DE MAYO;46520;PUERTO (EL);Valencia
00061;CARRE;1 DE MAYO;46389;TURIS;Valencia
00576;CALLE;1 PARALELA A BATANEJO;46340;REQUENA;Valencia
00054;POLIG;1 TERRERS;46591;ALBALAT DELS TARONGERS;Valencia
00055;POLIG;10;46591;ALBALAT DELS TARONGERS;Valencia
00552;POLIG;10;46370;CHIVA;Valencia
00133;CARRE;10;46267;GAVARDA;Valencia
00165;POLIG;10;46613;LLAURI;Valencia
00615;POLIG;10;46192;MONTSERRAT;Valencia
00630;C/;10;46182;CAÑADA (LA);Valencia
00612;CALLE;10;46185;RASCANYA;Valencia
00459;CALLE;10;46190;MONTE ALCEDO;Valencia
00517;CALLE;100 URB ENTRE NARANJOS;46190;MONTE ALCEDO;Valencia
00820;C/;101;46182;CAÑADA (LA);Valencia
00162;CARRE;101 DEL PLANO;46116;MASIAS;Valencia
00569;CALLE;101 URB ENTRE NARANJOS;46190;MONTE ALCEDO;Valencia
00825;C/;102;46182;CAÑADA (LA);Valencia
00163;CARRE;102 DEL PLANO;46116;MASIAS;Valencia
00570;CALLE;102 URB ENTRE NARANJOS;46190;MONTE ALCEDO;Valencia
00830;C/;103;46182;CAÑADA (LA);Valencia
00164;CARRE;103 DEL PLANO;46116;MASIAS;Valencia
00571;CALLE;103 URB ENTRE NARANJOS;46190;MONTE ALCEDO;Valencia
00165;CARRE;104 DEL PLANO;46116;MASIAS;Valencia
00572;CALLE;104 URB ENTRE NARANJOS;46190;MONTE ALCEDO;Valencia
00850;C/;105;46182;CAÑADA (LA);Valencia
00166;CARRE;105 DEL PLANO;46116;MASIAS;Valencia
00573;CALLE;105 URB ENTRE NARANJOS;46190;MONTE ALCEDO;Valencia
