Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
00623;CALLE;1 DE MAYO;47320;TUDELA DE DUERO;Valladolid
00237;PLAZA;19 DE MAYO;47162;ALDEAMAYOR DE SAN MARTIN;Valladolid
00432;CALLE;28 DE OCTUBRE;47140;LAGUNA DE DUERO;Valladolid
00089;CALLE;3 DE ABRIL;47140;LAGUNA DE DUERO;Valladolid
00203;CALLE;6 DE DICIEMBRE;47140;LAGUNA DE DUERO;Valladolid
00013;CALLE;8 DE MAYO;47132;SAN MIGUEL DEL PINO;Valladolid
00101;CALLE;8 DE SEPTIEMBRE;47810;VILLAFRECHOS;Valladolid
00001;CALLE;A;47150;VIANA DE CEGA;Valladolid
00348;CALLE;A-URBANIZACION CABALLERO;47410;OLMEDO;Valladolid
00076;CALLE;A.RICO LORENZO;47220;POZALDEZ;Valladolid
00113;TRVA;A.RICO LORENZO;47220;POZALDEZ;Valladolid
00001;CALLE;AAIUN;47013;VALLADOLID;Valladolid
00001;CALLE;ABAD GARCIA DEL RINCON;47400;MEDINA DEL CAMPO;Valladolid
00002;CALLE;ABAD POLANCO;47400;MEDINA DEL CAMPO;Valladolid
00023;CALLE;ABADESA MARÍA MANUELA;47113;VILLALBARBA;Valladolid
00022;CALLE;ABADIA;47330;TRASPINEDO;Valladolid
00002;CALLE;ABAJO;47185;CANILLAS DE ESGUEVA;Valladolid
00029;CALLE;ABAJO;47318;CASTRILLO DE DUERO;Valladolid
00029;CALLE;ABAJO;47318;CASTRILLO DE DUERO;Valladolid
00016;CALLE;ABAJO;47316;CURIEL DE DUERO;Valladolid
00007;CALLE;ABAJO;47133;MARZALES;Valladolid
00022;CALLE;ABAJO;47114;MATILLA DE LOS CAÑOS;Valladolid
00018;CALLE;ABAJO;47209;SAN MARTIN DE VALVENI;Valladolid
00023;CALLE;ABAJO;47690;VALVERDE DE CAMPOS;Valladolid
00051;CALLE;ABAJO;47131;VELLIZA;Valladolid
00066;CALLE;ABAJO;47810;VILLAFRECHOS;Valladolid
00301;CALLE;ABANICO;47500;NAVA DEL REY;Valladolid
00002;PLAZA;ABANICO;47009;VALLADOLID;Valladolid
00307;CALLE;ABEDUL;47130;SIMANCAS;Valladolid
01262;CALLE;ABEDUL;47009;VALLADOLID;Valladolid
00007;CALLE;ABEDUL;47150;VIANA DE CEGA;Valladolid
01240;CALLE;ABEJARUCO;47011;VALLADOLID;Valladolid
00001;CALLE;ABELARDO;47320;TUDELA DE DUERO;Valladolid
00217;CALLE;ABELARDO CONDE;47270;CIGALES;Valladolid
00051;CALLE;ABELARDO JIMENEZ;47470;CARPIO;Valladolid
00002;CALLE;ABELARDO MERINO;47641;CASTROMONTE;Valladolid
01502;CALLE;ABIERTA;47013;VALLADOLID;Valladolid
00197;CALLE;ABRAZAMOZAS;47500;NAVA DEL REY;Valladolid
00304;CALLE;ABRAZAMOZAS;47410;OLMEDO;Valladolid
00096;CALLE;ABRAZAMOZAS;47511;SIETE IGLESIAS TRABANCOS;Valladolid
01646;CMNO;ABREVADERO;47008;PINAR DE ANTEQUERA;Valladolid
00255;CALLE;ABROJO;47130;SIMANCAS;Valladolid
00003;CALLE;ABROJO;47011;VALLADOLID;Valladolid
00004;CALLE;ABUBILLA;47012;VALLADOLID;Valladolid
00047;CALLE;ACACIA;47171;CASTRONUEVO DE ESGUEVA;Valladolid
00404;CALLE;ACACIA;47140;LAGUNA DE DUERO;Valladolid
00255;CALLE;ACACIA;47430;PEDRAJAS DE SAN ESTEBAN;Valladolid
00008;CALLE;ACACIA;47150;VIANA DE CEGA;Valladolid
00005;CALLE;ACACIAS;47132;SAN MIGUEL DEL PINO;Valladolid
00199;PASEO;ACACIAS;47130;SIMANCAS;Valladolid
00263;CALLE;ACACIAS;47130;SIMANCAS;Valladolid
00005;CALLE;ACACIAS;47132;SAN MIGUEL DEL PINO;Valladolid
00113;PLAZA;ACACIAS;47620;VILLANUBLA;Valladolid
00001;CTRA;ACCESO;47173;OLMOS DE ESGUEVA;Valladolid
00057;CALLE;ACEBO;47151;BOECILLO;Valladolid
00048;CALLE;ACEBO;47171;CASTRONUEVO DE ESGUEVA;Valladolid
00312;CALLE;ACEBO;47250;MOJADOS;Valladolid
01789;CALLE;ACEBO;47009;VALLADOLID;Valladolid
00001;CALLE;ACEITEROS;47160;ARRABAL DE PORTILLO;Valladolid
00100;CALLE;ACEQUIA;47155;SANTOVENIA DE PISUERGA;Valladolid
00264;CALLE;ACEQUIA;47130;SIMANCAS;Valladolid
01376;CALLE;ACEQUIA;47010;VALLADOLID;Valladolid
00083;CALLE;ACERA DE FELIPE II;47150;VIANA DE CEGA;Valladolid
00649;CALLE;ACERA DEL MIRADOR;47009;VALLADOLID;Valladolid
00841;CALLE;ACERA RECOLETOS;47004;VALLADOLID;Valladolid
00001;CALLE;ACERAS;47511;SIETE IGLESIAS TRABANCOS;Valladolid
00002;CALLE;ACERCAS;47100;TORDESILLAS;Valladolid
00150;CALLE;ACHICORIA;47330;TRASPINEDO;Valladolid
00007;CALLE;ACIBELAS;47004;VALLADOLID;Valladolid
00046;CALLE;ACILLA;47231;SERRADA;Valladolid
01744;CALLE;ACONCAGUA;47013;VALLADOLID;Valladolid
00492;CALLE;ACONTIA;47320;TUDELA DE DUERO;Valladolid
00167;CALLE;ADAJA;47140;LAGUNA DE DUERO;Valladolid
00008;CALLE;ADAJA;47013;VALLADOLID;Valladolid
02840;CALLE;ADAJA;47239;VILLANUEVA DE DUERO;Valladolid
00004;CALLE;ADAJUELA;47400;MEDINA DEL CAMPO;Valladolid
00009;CALLE;ADALBERTO MORO;47315;PESQUERA DE DUERO;Valladolid
00044;CTRA;ADANERO;47630;MUDARRA (LA);Valladolid
00457;CTRA;ADANERO-GIJON;47800;MEDINA DE RIOSECO;Valladolid
00055;CTRA;ADANERO-GIJON;47620;VILLANUBLA;Valladolid
00132;CTRA;ADANERO-GIJON;47610;ZARATAN;Valladolid
00002;CALLE;ADARMES LLANADA;47160;PORTILLO;Valladolid
01566;CALLE;ADELFA;47008;PINAR DE ANTEQUERA;Valladolid
00214;CALLE;ADOBERAS;47270;CIGALES;Valladolid
00003;CALLE;ADOBERAS;47160;ARRABAL DE PORTILLO;Valladolid
00541;PLAZA;ADOLFO MUÑOZ ALONSO;47300;PEÑAFIEL;Valladolid
00058;CALLE;ADOLFO SUAREZ;47513;TORRECILLA DE LA ORDEN;Valladolid
01831;CALLE;ADOLFO SUAREZ;47007;VALLADOLID;Valladolid
00086;CALLE;ADOLFO SUÁREZ;47480;FRESNO EL VIEJO;Valladolid
00071;CALLE;ADOLFO SUÁREZ GONZÁLEZ;47331;SANTIBAÑEZ DE VALCORBA;Valladolid
00010;CALLE;AFLUENTE;47008;VALLADOLID;Valladolid
00046;CALLE;AFRODISIO FERNANDEZ;47120;MOTA DEL MARQUES;Valladolid
00047;CALLE;AFUERAS;47329;CASTRILLO-TEJERIEGO;Valladolid
00053;CALLE;AFUERAS;47664;CASTROPONCE;Valladolid
00015;CALLE;AFUERAS;47606;GATON DE CAMPOS;Valladolid
00082;CALLE;AFUERAS;47200;VALORIA LA BUENA;Valladolid
00547;TRVA;AFUERAS DE D. JUAN MANUEL;47300;PEÑAFIEL;Valladolid
00616;CALLE;AFUERAS DE D. JUAN MANUEL;47300;PEÑAFIEL;Valladolid
00042;CALLE;AFUERAS DEL MORAL;47177;AMUSQUILLO;Valladolid
00003;CALLE;AGUA;47270;CIGALES;Valladolid
00062;CALLE;AGUA;47194;FUENSALDAÑA;Valladolid
00061;CALLE;AGUA;47112;PEDROSA DEL REY;Valladolid
00007;CALLE;AGUA;47114;TORRECILLA DE LA ABADESA;Valladolid
00011;PLAZA;AGUA;47011;VALLADOLID;Valladolid
