Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
00145;GRUP;1 DE MAYO;48910;SESTAO;Vizkaya
00042;CALLE;22 DE DICIEMBRE;48003;ABUSU/PEÑA (LA);Vizkaya
00103;GRUPO;8 DE MARZO-MARTXOAREN 8;48980;SANTURTZI;Vizkaya
00072;CMNO;A LA ERMITA;48550;POBEÑA;Vizkaya
00049;CMNO;A MELLO;48550;SAN JUAN;Vizkaya
00077;CMNO;A MONTE ATRAS;48550;RIGADA (LA);Vizkaya
00074;CMNO;A MORENILLO;48550;POBEÑA;Vizkaya
00080;CMNO;A VALLES;48550;SAN JULIAN DE MUSKIZ;Vizkaya
00032;URB;ABADENESOLO HIRIALDEA;48650;GOIERRI;Vizkaya
00089;CALLE;ABADEORTU;48220;ZELAIETA;Vizkaya
00002;CALLE;ABADETXE KALEA;48180;ZABALOETXE;Vizkaya
00053;CALLE;ABADIÑOBEASKOA;48220;ZELAIETA;Vizkaya
00001;BARRO;ABANTO;48500;ABANTO;Vizkaya
00036;CMNO;ABARKOETXE BIDEA;48170;ARTEAGA (SAN MARTIN);Vizkaya
00020;ESTDA;ABARO;48013;BILBAO;Vizkaya
00035;AVDA;ABARO;48920;PORTUGALETE;Vizkaya
00007;CALLE;ABARO;48600;UGERAGA;Vizkaya
00028;URB;ABAROA;48650;ELEJALDE;Vizkaya
00001;CALLE;ABAROA;48970;ELEXALDE;Vizkaya
00001;BARRO;ABAROA AUZOA;48395;SUKARRIETA;Vizkaya
00002;CALLE;ABAROA KALEA;48280;LEKEITIO;Vizkaya
00047;CMNO;ABAROTXU BIDEA;48640;BASERRI-SANTA ANA;Vizkaya
00120;CALLE;ABARRA;48920;PORTUGALETE;Vizkaya
00030;CALLE;ABASOLO;48007;BILBAO;Vizkaya
00115;CALLE;ABASOLO APEZPIKU;48340;AMOREBIETA;Vizkaya
00001;CALLE;ABASOTA;48993;ALGORTA;Vizkaya
00001;CALLE;ABATXOLO;48920;PORTUGALETE;Vizkaya
00045;BARRO;ABELETXE;48240;BERRIZ-OLAKUETA;Vizkaya
00075;CALLE;ABELETXE;48260;ERMUA;Vizkaya
00036;CALLE;ABELETXE;48250;ZALDIBAR;Vizkaya
00001;CALLE;ABESUA KALEA;48270;MARKINA-XEMEIN;Vizkaya
00005;BARRO;ABIÑA ANDONI DEUNA;48350;AXPE-SAN BARTOLOME-ABIÑA;Vizkaya
00025;PLAZA;ABOITIZ ETA KORTAZAR;48287;EA;Vizkaya
00001;BARRO;ABRISQUETA;48480;ARRIGORRIAGA;Vizkaya
00033;CALLE;ABUSU;48003;BILBAO;Vizkaya
00002;CALLE;ACACIAS;48992;ALGORTA;Vizkaya
00037;CALLE;ACCESO A LA IGLESIA;48450;KUKULLAGA;Vizkaya
05000;CALLE;ACEBAL IDIGORAS;48001;BILBAO;Vizkaya
00142;CALLE;ACETA;48910;SESTAO;Vizkaya
02780;CALLE;ACHUCARRO DOCTOR;48011;BILBAO;Vizkaya
00002;BARRO;ADARO;48410;GALLARTU;Vizkaya
00001;CALLE;ADOLFO URIOSTE;48300;GERNIKA-LUMO;Vizkaya
00136;CALLE;ADUBIDXE;48370;BERMEO;Vizkaya
00010;CALLE;AFORADOS;48902;SAN VICENTE DE BARAKALDO;Vizkaya
00073;CALLE;AGARRE;48003;BILBAO;Vizkaya
00051;BARRO;AGARRE;48141;OLAZABAL;Vizkaya
00039;BARRO;AGARRE;48195;URIA;Vizkaya
00010;BARRO;AGARRE;48330;LEMOA;Vizkaya
00003;BARRO;AGARRE;48410;GALLARTU;Vizkaya
00011;BARRO;AGARRE;48140;ELEXALDE;Vizkaya
01121;CALLE;AGARREBASO;48100;BERREAGAMENDI;Vizkaya
00015;CALLE;AGARRETXU;48288;ISPASTER-ELEXALDE;Vizkaya
00069;CMNO;AGEO BIDEA;48630;ELEXALDE;Vizkaya
00129;CMNO;AGERREGOITI BIDEA;48100;TROBIKA;Vizkaya
00012;BARRO;AGIRRE;48114;AGIRRE;Vizkaya
00041;BARRO;AGIRRE;48480;AGIRRE;Vizkaya
00020;CALLE;AGIRRE;48903;SAN VICENTE DE BARAKALDO;Vizkaya
00001;BARRO;AGIRRE;48111;AGIRRE;Vizkaya
00001;BARRO;AGIRRE;48111;AGIRRE;Vizkaya
00001;BARRO;AGIRRE;48111;AGIRRE;Vizkaya
00001;BARRO;AGIRRE;48111;AGIRRE;Vizkaya
00001;BARRO;AGIRRE AUZOA;48370;AGIRRE;Vizkaya
00011;CALLE;AGIRRE LEHENDAKARI KALEA;48200;DURANGO;Vizkaya
00231;AVDA;AGIRRE LEHENDAKARIA;48970;ARIZGOITI;Vizkaya
00242;PLAZA;AGIRRE LEHENDAKARIA;48993;ALGORTA;Vizkaya
00024;PLAZA;AGIRRE LEHENDAKARIA;48390;ELEXALDE;Vizkaya
00017;PLAZA;AGIRRE LEHENDAKARIA PLAZA;48940;ELEXALDE;Vizkaya
00006;PLAZA;AGIRRE LEHENDAKARIA PLAZA;48170;ARTEAGA (SAN MARTIN);Vizkaya
00079;PLAZA;AGIRRE LEHENDAKARIA PLAZE;48130;URKITZAURREALDE;Vizkaya
00055;CALLE;AGIRRE LEHENDAKARIAREN KA;48640;BASERRI-SANTA ANA;Vizkaya
00048;PASEO;AGIRRE LEHENDAKARIAREN PA;48240;BERRIZ-OLAKUETA;Vizkaya
00041;CALLE;AGIRRE SOLARTE;48280;LEKEITIO;Vizkaya
00005;CMNO;AGIRREBENGOABIDEA;48950;ERANDIOGOIKOA;Vizkaya
00050;CMNO;AGIRREBIDEA;48950;ARRIAGA;Vizkaya
00232;CALLE;AGIRREBURU KALEA;48300;GERNIKA-LUMO;Vizkaya
00196;BARRO;AGIRREGANA;48300;GERNIKA-LUMO;Vizkaya
00019;BARRO;AGIRRETA;48314;ZELAIETA;Vizkaya
