Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
00029;TRVA;1  MOZAR;49699;MILLES DE LA POLVOROSA;Zamora
00030;TRVA;2  MOZAR;49699;MILLES DE LA POLVOROSA;Zamora
00016;CALLE;ABADIA DE MORERUELA;49740;GRANJA DE MORERUELA;Zamora
00019;CALLE;ABAIXO;49574;ACIBEROS;Zamora
00004;CALLE;ABAJO;49251;ARGAÑIN;Zamora
00013;CALLE;ABAJO;49619;CARRACEDO;Zamora
00006;CALLE;ABAJO;49627;SAN JUANICO EL NUEVO;Zamora
00001;RONDA;ABAJO;49110;CASTROVERDE DE CAMPOS;Zamora
00023;CALLE;ABAJO;49396;BARRIO DE LOMBA;Zamora
00007;CALLE;ABAJO;49327;CUBO DE BENAVENTE;Zamora
00005;CALLE;ABAJO;49717;CUELGAMURES;Zamora
00065;CALLE;ABAJO;49213;PALAZUELO DE SAYAGO;Zamora
00016;CALLE;ABAJO;49335;FERRERAS DE ABAJO;Zamora
00011;CALLE;ABAJO;49335;FERRERAS DE ARRIBA;Zamora
00014;CALLE;ABAJO;49520;FIGUERUELA DE ARRIBA;Zamora
00069;CALLE;ABAJO;49514;ARCILLERA;Zamora
00019;CALLE;ABAJO;49522;POBLADURA DE ALISTE;Zamora
00008;CALLE;ABAJO;49337;VAL DE SANTA MARIA;Zamora
00005;CALLE;ABAJO;49717;CUELGAMURES;Zamora
00046;CALLE;ABAJO;49519;GRISUELA;Zamora
00028;CALLE;ABAJO;49525;TOLA;Zamora
00009;CALLE;ABAJO;49330;VILLAR DE FARFON;Zamora
00008;CALLE;ABAJO;49337;VAL DE SANTA MARIA;Zamora
00011;CALLE;ABAJO;49335;FERRERAS DE ARRIBA;Zamora
00044;CALLE;ABAJO;49331;VEGA DE TERA;Zamora
00003;CALLE;ABAJO;49618;VILLAGERIZ;Zamora
00003;CALLE;ABAJO;49618;VILLAGERIZ;Zamora
00004;CALLE;ABAJO;49251;ARGAÑIN;Zamora
00006;CALLE;ABAJO;49627;SAN JUANICO EL NUEVO;Zamora
00008;CALLE;ABASTOS;49126;VILLALBA DE LA LAMPREANA;Zamora
00025;CALLE;ABAYO;49540;SAN MARTIN DE TABARA;Zamora
00132;CALLE;ABEDULES;49300;PUEBLA DE SANABRIA;Zamora
00039;CALLE;ABEL GUERRA;49332;CAMARZANA DE TERA;Zamora
00001;CALLE;ABETO;49023;ZAMORA;Zamora
00023;CALLE;ABEZAMES;49835;POZOANTIGUO;Zamora
00001;CALLE;ABOGADOS;49820;VILLABUENA DEL PUENTE;Zamora
00029;CTRA;ABRAVESES;49624;MICERECES DE TERA;Zamora
00041;CALLE;ABRAVESES;49625;SANTIBAÑEZ DE TERA;Zamora
00008;CALLE;ABRAZAMOZAS;49721;ENTRALA;Zamora
00001;CALLE;ABRAZAMOZAS;49400;FUENTESAUCO;Zamora
00109;CALLE;ABRAZAMOZAS;49280;PERERUELA;Zamora
00001;CALLE;ABRAZAMOZAS;49400;FUENTESAUCO;Zamora
00001;CALLE;ABRAZAMOZAS;49400;FUENTESAUCO;Zamora
00002;CALLE;ABRAZAMOZAS;49026;ZAMORA;Zamora
00818;CMNO;ABROJAL (DEL);49836;TAGARABUENA;Zamora
00003;CALLE;ABUCHES;49027;ZAMORA;Zamora
00084;CALLE;ABUELOS;49396;COBREROS;Zamora
00097;CALLE;ACACIAS;49190;MORALES DEL VINO;Zamora
00004;CALLE;ACACIAS;49023;ZAMORA;Zamora
00005;TRVA;ACEDO;49610;SANTIBAÑEZ DE VIDRIALES;Zamora
00007;CALLE;ACEÑA;49751;BRETO;Zamora
00029;CALLE;ACEÑA;49743;FONTANILLAS DE CASTRO;Zamora
00029;CALLE;ACEÑA;49743;FONTANILLAS DE CASTRO;Zamora
00084;CALLE;ACEÑAS;49149;MONTAMARTA;Zamora
00006;CALLE;ACEÑAS;49028;ZAMORA;Zamora
02679;CMNO;ACEÑAS;49028;ZAMORA;Zamora
00072;CMNO;ACEÑAS  LAS;49159;VILLARALBO;Zamora
02411;CMNO;ACEÑAS (CARRASCAL);49193;CARRASCAL;Zamora
