Codigo;Tipo Via;Calle;Codigo Postal;Municipio;Provincia
00167;CALLE;1;50170;MEQUINENZA;Zaragoza
00165;CALLE;10;50170;MEQUINENZA;Zaragoza
90002;POLIG;106 PARC. 5028-VALAREÑA;50600;EJEA DE LOS CABALLEROS;Zaragoza
00150;CALLE;13 SEPTIEMBRE;50700;CASPE;Zaragoza
00034;CALLE;19 DE AGOSTO;50370;VILLANUEVA DE JILOCA;Zaragoza
00161;CALLE;2;50170;MEQUINENZA;Zaragoza
00018;CALLE;29 OCTUBRE;50343;VELILLA DE JILOCA;Zaragoza
00168;CALLE;3;50170;MEQUINENZA;Zaragoza
00086;CALLE;3 DE ABRIL DE 1979;50409;COSUENDA;Zaragoza
00221;CALLE;3 DE ABRIL DE 1979;50298;PINSEQUE;Zaragoza
00164;CALLE;4;50170;MEQUINENZA;Zaragoza
00169;CALLE;5;50170;MEQUINENZA;Zaragoza
00012;PLAZA;50 ANIVERSARIO;50679;ALERA;Zaragoza
00163;CALLE;6;50170;MEQUINENZA;Zaragoza
00166;CALLE;7;50170;MEQUINENZA;Zaragoza
00162;CALLE;8;50170;MEQUINENZA;Zaragoza
00286;CALLE;8 DE MARZO;50360;DAROCA;Zaragoza
00019;CMNO;A;50548;BUSTE (EL);Zaragoza
00007;CALLE;A;50685;BAGÜES;Zaragoza
00019;CMNO;A;50548;BUSTE (EL);Zaragoza
00011;CMNO;A;50491;FOMBUENA;Zaragoza
00003;CALLE;A;50170;MEQUINENZA;Zaragoza
00032;CALLE;A;50584;SAN MARTIN URBANIZACION;Zaragoza
00171;CALLE;A-1;50170;MEQUINENZA;Zaragoza
00409;CTRA;A-126 CTRA REMOLINOS;50630;ALAGON;Zaragoza
00040;CTRA;A-132;22808;MURILLO DE GALLEGO;Zaragoza
00181;PLAZA;A-2;50170;MEQUINENZA;Zaragoza
00173;CALLE;A-3;50170;MEQUINENZA;Zaragoza
00174;CALLE;A-4;50170;MEQUINENZA;Zaragoza
00175;CALLE;A-5;50170;MEQUINENZA;Zaragoza
00176;CALLE;A-6;50170;MEQUINENZA;Zaragoza
00177;CALLE;A-7;50170;MEQUINENZA;Zaragoza
00178;CALLE;A-8;50170;MEQUINENZA;Zaragoza
00179;CALLE;A-9;50170;MEQUINENZA;Zaragoza
00069;PLAZA;A. IRSEM;50470;ENCINACORBA;Zaragoza
00111;CALLE;A.GASCON DE GOTOR;50321;PIETAS;Zaragoza
00001;CALLE;ABADIA;50200;ATECA;Zaragoza
00276;CALLE;ABADIA;50540;BORJA;Zaragoza
00001;CALLE;ABADIA;50200;ATECA;Zaragoza
00074;CALLE;ABADIA;50611;ERLA;Zaragoza
00060;CALLE;ABADIA;50610;LUNA;Zaragoza
00039;CALLE;ABADIA;50161;PERDIGUERA;Zaragoza
00358;CALLE;ABADIA CAMACHO;50540;BORJA;Zaragoza
50002;CALLE;ABALOJERO-PINSORO;50694;EJEA DE LOS CABALLEROS;Zaragoza
00159;CALLE;ABANTO;50420;COLINAS (LAS);Zaragoza
00001;CALLE;ABARCA DE BOLEA;50710;MAELLA;Zaragoza
00178;TRVA;ABARCA DE BOLEA;50710;MAELLA;Zaragoza
00218;CALLE;ABDERRAMAN EL TUYIBI;50360;DAROCA;Zaragoza
00055;CALLE;ABEDUL (DEL);50012;ZARAGOZA;Zaragoza
00052;CALLE;ABEJAR;50760;VELILLA DE EBRO;Zaragoza
00080;CMNO;ABEJAR;50011;GARRAPINILLOS;Zaragoza
00158;AVDA;ABELARDO ALGORA;50690;PEDROLA;Zaragoza
00060;CALLE;ABEN AIRE;50003;ZARAGOZA;Zaragoza
00070;CALLE;ABENOZA CAMERANO;50059;MONTAÑANA;Zaragoza
00143;CALLE;ABETO (DEL);50298;URBANIZACION LAGO AZUL;Zaragoza
00032;CALLE;ABORNE;50293;TERRER;Zaragoza
00050;CALLE;ABRIGO;50258;JARQUE DE MONCAYO;Zaragoza
00090;CMNO;ACACIAS;50011;ZARAGOZA;Zaragoza
00142;CALLE;ACACIAS (DE LAS);50298;URBANIZACION LAGO AZUL;Zaragoza
00085;CMNO;ACACIAS (DE LAS);50162;VILLAMAYOR DE GÁLLEGO;Zaragoza
12950;AVDA;ACADEMIA GENERAL MILITAR;50015;ZARAGOZA;Zaragoza
00521;PRAJE;ACAMPO GASTON;50800;ZUERA;Zaragoza
00028;CTRA;ACCESO;50216;VILLALENGUA;Zaragoza
00249;CALLE;ACCESO PISCINAS;50690;PEDROLA;Zaragoza
00036;CALLE;ACEQUIA;50692;JOYOSA (LA);Zaragoza
00001;CALLE;ACEQUIA;50171;PUEBLA DE ALFINDEN (LA);Zaragoza
00024;CALLE;ACEQUIA;50325;TOBED;Zaragoza
00005;CALLE;ACEQUIA;50490;VILLADOZ;Zaragoza
00092;CMNO;ACEQUIA (MONTAÑANA);50059;MONTAÑANA;Zaragoza
00105;CMNO;ACEQUIA CANO (GRP);50190;GARRAPINILLOS;Zaragoza
00055;CALLE;ACEQUIA MOLINO;50580;VERA DE MONCAYO;Zaragoza
00021;CALLE;ACERAS (LAS);50376;CUBEL;Zaragoza
00067;.;ACERAS ALTAS;50470;ENCINACORBA;Zaragoza
00001;CALLE;ACEÑA;50100;ALMUNIA DOÑA GODINA (LA);Zaragoza
00434;CALLE;ACEÑA (LA);50800;ZUERA;Zaragoza
00091;CALLE;ACIERTO (EL)(SANTA ISABEL;50016;ZARAGOZA;Zaragoza
00093;CALLE;ACONCAGUA;50012;ZARAGOZA;Zaragoza
50003;CALLE;ACUERDO-PINSORO;50694;EJEA DE LOS CABALLEROS;Zaragoza
00012;CALLE;ADELFA;50171;PUEBLA DE ALFINDEN (LA);Zaragoza
00110;CMNO;ADELFA (DE LA) (SJN);50820;SAN JUAN DE MOZARRIFAR;Zaragoza
00145;URB;ADELFAS (LAS);50180;UTEBO;Zaragoza
00011;CALLE;ADENTRO;50583;TRASMOZ;Zaragoza
10017;CALLE;ADMINISTRACION;50108;ALMONACID DE LA SIERRA;Zaragoza
00002;CALLE;ADOBARES;50100;ALMUNIA DOÑA GODINA (LA);Zaragoza
03010;CALLE;ADOLFO AZNAR;50018;ZARAGOZA;Zaragoza
